"letm_prg_m021_250","letm_prg_skewness_234","letm_prg_m012_228","sub"
-0.206812426712564,-1.11864056005043,-0.0372045132912797,1085983
0.120330801111935,-1.41765397788148,0.272700317015914,1125173
-0.536076222362556,0.427292122140158,-0.455153668518866,1154608
-0.2519353646334,1.60210231546885,-0.109392464551114,1181124
-0.0682937357617536,-0.547010116708082,0.179789565916746,1183075
-0.163919974722553,0.019664091178911,-0.0296340137714611,1232870
0.487706294477513,0.598170829092807,-1.48997184910216,1279943
0.259645842803386,0.115703193836149,-0.194197858679377,1329352
0.0123743562966239,-1.8409097511277,-0.245947723264817,1330263
-0.133356297611511,-1.25156361244765,0.0709673906631346,1364384
-0.210017067556749,0.491340914749843,-0.0689613383949909,1386095
-0.617044195164404,0.304326249511843,-0.0197299586617947,1458656
-0.186467782819792,0.402311857261104,0.128320596584602,1485662
-0.150756305445126,-0.51981880886177,0.0854329862888132,1497807
0.0273809986211468,-1.41874046481766,0.849542315672095,1501387
-0.183899204843372,-1.05122858091544,0.107644716022263,1518948
-0.196617665179229,-0.712508970212088,0.114861951009202,1526417
-0.867742303826192,0.423732982994274,-1.25403416033989,1565177
0.103818454684002,-1.76977408433264,0.261403303212957,1606693
-0.207613062532413,-1.0596398225239,-0.0153425976397868,1612262
-0.148841973563704,1.81173867174974,0.00565853785404081,1614566
-0.313567770875292,0.502335244695326,0.112939306218718,1644034
-0.73162591308568,-0.9367946314387,-0.0359513728087755,1668599
-0.214621577063732,-0.37906741472238,0.0848302258761845,1671370
-0.0794792024473028,0.333480608483626,0.216432762219908,1684230
-0.130696982870087,0.212943185140354,0.0343690037539478,1692385
-0.491709218768285,-1.07204416997212,0.224109217773269,1720713
0.179898830536712,0.675946468823406,-1.14136959391411,1738800
-0.205232457612342,-1.02278879588798,-0.0082749497691756,1740845
0.15473966840117,-0.285117734607306,-0.0386163919962699,1742294
-0.229292912152276,0.604821680081754,0.0654639093799906,1767700
-0.307446316072219,-0.621683568301045,-0.0654038068257511,1768972
-0.332595296336718,0.865414163514878,0.946416347450582,1889409
-0.102546973775594,1.60708981209508,0.281778071108624,1915938
-0.215132326065887,1.33593246029572,-0.0604207616027765,1916742
-0.129854734407385,-0.827648402306435,-0.0281691210408145,1919296
-0.162539293865232,0.100519767380925,0.0204279479170141,1926770
-0.0471003182129969,0.305428890712559,-0.0517419037794687,1938156
-0.183753530140853,-0.706822842737119,-0.187917326415615,1938561
-0.0852177048228047,-0.509589855582989,0.0970677454199945,1966316
