"mkm10d_ctv_wavelet.HHL_glszm_SmallAreaEmphasis_245","sub"
0.152051694699897,1085983
0.0679378025408355,1125173
0.938202640661386,1154608
-0.0797812501186034,1181124
0.223993302148301,1183075
-0.180352615476122,1232870
0.0925472163109636,1279943
0.667763066521736,1329352
-0.271016720167137,1330263
1.50813850309005,1364384
0.1553820469167,1386095
0.246865787102738,1458656
-0.722970846716939,1485662
0.169993750198225,1497807
-0.308878802962899,1501387
-0.297218327628455,1518948
1.02543636427473,1526417
0.649861804891564,1565177
-1.00205271497008,1606693
-1.00562478691942,1612262
0.228558031849171,1614566
-1.50436922738931,1644034
0.293600270315774,1668599
1.21486921346381,1671370
0.783370844311551,1684230
-0.668692843061345,1692385
0.369589315251542,1720713
0.297885169928622,1738800
0.954630913256159,1740845
0.191338247295313,1742294
2.036958820752,1767700
-0.270187523874271,1768972
0.0470748352337472,1889409
-2.59121742586567,1915938
0.495843518296922,1916742
-3.08358268344266,1919296
-1.10356192866371,1926770
0.220830019545043,1938156
0.142115094681237,1938561
-0.532092190206498,1966316
-0.194448026633086,1967281
-2.60093150660022,1973544
-0.324097447952884,1975401
-0.41581793686353,1976407
0.0391728908154191,1978972
-0.578515480708432,1979045
-1.70920710722712,1979422
-0.992463228649222,1980052
0.0238332955918258,2001182
3.34218111611456,2002465
-4.68867816209482,2004451
0.573225586599379,2006164
0.279603142984576,2007309
-2.07848588005244,2009915
0.363944565049721,2010259
0.412497355556886,2010554
0.904783259238218,2026671
0.309190749431656,2033049
-0.581478149121151,2034136
-0.618720488546854,2040495
0.875937152444491,2047354
-0.179472045120323,2051378
0.997579558438239,2055667
-0.851249615922512,2057358
0.959279662367411,2059713
-1.4368782265223,2069079
-1.44488610851185,2070958
-0.159969761439239,2072215
-0.842981846073953,2075832
0.263674136634034,2075846
0.206405441862984,2076301
-0.21580801684134,2078198
2.00465655233528,2078899
-0.13361430434234,2085349
1.38049419085505,2086044
-0.344527303481873,2091555
-1.07346924958163,2092954
0.442063666619524,2096627
1.35600246767036,2100050
-0.278711053834856,2108003
0.210223897210928,2109902
0.954385961518828,2110540
0.265356932037574,2116787
0.367431488230449,2119177
1.19068892001182,2131601
0.230094568444032,2132424
-0.994653295806342,2132982
-0.535067576054149,2133204
1.18058116170658,2133380
0.570820719459398,2134220
1.10384383859632,2135748
1.37376211087032,2137799
0.133739193860773,2138375
0.726893880573073,2138678
1.13830988530483,2139733
-0.0151215404555258,2141116
2.34723691457461,2144796
0.430175463787606,2145166
0.338283968859542,2145694
0.885887069055351,2146138
0.0295769341756065,2151024
-0.451807736236521,215131
1.19043415309437,2152442
-0.195382218518065,2157529
0.0556365109803766,2158101
-0.0175627520216093,2158329
-0.697900672036634,2168082
-2.065657754303,2172217
-0.675037798022388,2176530
-1.61694561185551,2176784
0.938398760683651,2181724
0.221218586253619,2183291
0.609703557398447,2183356
-0.668465875303132,2185290
0.88111965935884,2186951
-0.000102622065737885,2196212
0.475107575279811,2199403
1.29629013062139,2200416
0.0881200871751055,2200813
0.610327915314126,2205389
0.678654548558917,2212664
0.155983511987559,2217034
-0.32039928821581,2218615
-0.231167009696188,2219842
-0.382938617700869,2224150
-0.400088440864382,2228399
0.191753554984755,2228400
2.09537733459051,2234271
2.01527607773818,2234422
-2.60760250888411,2237571
0.00423483947800848,2244172
0.897887734438436,2247869
-0.275848706574652,2250648
0.61954637142468,2250836
0.657111691211179,2267382
1.48662398659937,2269346
1.04742396176145,2271329
-0.718239983447982,2274521
-1.41767957500072,2276121
0.589971919881894,2278618
0.743335144662373,2285214
-0.322106940494023,2286108
-0.146006656910076,2293123
-1.36019957200517,2294852
-0.120555677535049,2294873
-2.15485739856781,2296332
0.247900026181639,2305114
0.203776096837808,2305115
-0.0415037232210823,2306459
-0.0714744538524661,2306893
0.0616364668755886,2317120
-1.05189290155566,2319068
0.458583733670451,2321962
-0.033122725990158,2331869
-0.334953362573716,2336735
-0.0625872535452374,2339674
-0.419059770799807,2340155
0.971855132767914,2340322
0.658475505761252,2350037
-0.224515487980816,2352038
0.124722784926868,2359944
-0.577690854644969,2381907
-0.330494400432925,2393207
0.251983545295257,2395415
-0.559622968657728,2395943
-0.312563047089781,2401405
-0.0451761402975209,2405144
0.410860372746626,2414406
0.005073498397796,2419459
0.684903135783718,2425694
-0.455454741833836,2426863
0.438698050436025,2430773
-0.498566888350985,2439458
0.150559554192015,2443354
0.0557709224879128,2445526
-0.119801734467898,2448298
0.522794591823294,2453577
-0.429075153547112,2474709
-0.506179993602998,2480056
0.669756599686638,2480330
0.00547581188755576,2487135
-0.633185873667754,2488660
0.712874916956854,2490180
-0.422656463064907,2493534
0.414062133137092,2498991
0.0760381395886457,2500377
-0.186408649602464,2504802
0.167210209730777,2510402
0.140282019805087,2520618
0.155959253166694,2559453
-1.11536403208483,277752
-3.64018017451138,308862
-0.238955473408042,58325
0.71180171518268,92173
-2.02359726945705,923666
0.832762327333977,965005
0.0214800698392116,983079
