"lemd_prg_wavelet.HHL_firstorder_Skewness_237","lemd_prg_lbp.3D.m2_firstorder_Maximum_226","sub"
-0.441572926241781,-0.476656442192434,1916742
-0.177081534793022,-0.542270040178927,1980052
-0.0892309607895245,-0.542270040178927,1926770
1.31002153333886,-0.542270040178927,2196212
2.39224551936297,-0.37703495047561,2393207
-0.826350173974539,-0.384861371907707,2146138
-0.229177128934752,-0.542270040178927,2228399
-0.151758472129706,-0.476656442192434,2234271
0.807701393186807,0.207780446657439,2296332
-0.00963103623840298,-0.542270040178927,1684230
0.709223710562988,0.0230698434871167,1720713
-2.8227171493317,-0.542270040178927,2186951
-0.116673912059819,-0.384861371907707,2439458
1.46096109446259,0.112571820498639,2135748
-0.389429524674751,-0.542270040178927,2141116
-0.738836583180724,0.789890290046922,2108003
-1.06313209134451,-0.542270040178927,2006164
-0.514342381683168,1.12193965964257,308862
-0.185896260459983,0.208351826923126,1085983
1.47517177516554,0.643835426461312,2004451
-1.16963517987341,-0.504827157768498,2359944
-5.35118998226136,-0.542270040178927,2069079
-0.2030245138973,-0.542270040178927,2059713
0.652701340985746,-0.402880875485366,2294873
-0.298726871076573,0.300197036622123,2033049
-0.2992265499185,1.52749386178084,1485662
-1.08777730566817,-0.542270040178927,1526417
-0.103548767895882,2.50823151498458,1386095
-0.475009175984429,-0.384861371907707,2132424
0.820471522813306,-0.542270040178927,2138375
-0.34814704582527,-0.542270040178927,2490180
0.0464675059911533,-0.476656442192434,2034136
-0.413852401191813,0.183040434741793,2510402
-0.337436454764815,1.30485539776457,1330263
-1.46732686207847,-0.219174699646451,1768972
-0.188302777946878,-0.542270040178927,2306459
-1.94792117447606,-0.542270040178927,2181724
-0.556382789443355,-0.542270040178927,2217034
-0.53524283785884,-0.280646739182348,2218615
-0.115196375085382,-0.384861371907707,92173
0.407582582656966,-0.476656442192434,2414406
0.183884603434252,1.27207240961222,2381907
-0.960102062499848,-0.476656442192434,2002465
0.979551923241347,-0.542270040178927,2474709
0.315228938737514,0.814170958881175,2176530
