"lemm_prg_kurtosis_250","lemm_prg_gradx_250","lemm_prg_grady_250","lemm_prg_gradz_249","lemm_prg_eigen_max_246","lemm_prg_density_245","lemm_prg_m004_244","lemm_prg_m101_239","lemm_prg_m111_229","sub"
-0.153057642699699,-1.70029465714871,-0.108914741229189,-0.741990905705072,-0.327583175613538,-0.324845067379536,-0.330792052618933,-0.200773487438245,-0.0709894451065462,1085983
-0.269400107260805,0.492075743787402,-0.0600751765110555,0.60734750110246,0.441293848571674,-0.444030532391657,0.31473853824242,-2.01786340427727,-0.98950208805464,1125173
0.295861041455387,0.255527995258193,-0.629684808312812,0.869114564407603,-0.570101808405909,1.7214115985344,-0.184269297971046,2.09152936806569,-0.671946688466361,1154608
-0.00176163310297141,0.806337222705421,-0.939581498279607,-1.01890153770957,-0.196476513064172,-0.357610122283364,-0.341541569921177,0.136894301252582,-0.0821299126418954,1181124
-0.529552319822421,-0.210374645987301,-0.192735042084618,-0.302671682814449,-0.542342532966855,0.287528660543761,-0.304345629382531,-0.311629040648228,-0.102132343649297,1183075
-0.523838332281377,-0.464299234923937,-0.103488976090841,-0.711154080901233,-0.551303194413352,0.658731642234019,-0.316254397315216,-0.605964611873137,0.0287412245407935,1232870
-0.542934815374924,-0.389251968824608,0.143979562932263,-0.193990132631662,-0.0179558902217696,-0.401147394822064,-0.00891463256705604,-0.135718516274074,0.29794377113135,1279943
-0.417437350700544,0.0845236556372748,0.0862502410563863,-0.627771382639723,-0.296691595402068,-0.298832087227652,-0.283046003952979,-1.26318039553656,-0.182453846225323,1329352
-0.467981796347719,-0.593480332734952,-0.283884066702371,0.433400377366441,-0.152570437740501,-0.376270753361248,-0.282076938721584,1.34889941921673,-0.126085325717281,1330263
-0.496908986333961,0.209605144241131,0.164896042379976,-0.116690831528462,-0.579000617228215,6.82326654032299,-0.341300793876328,1.05286438168625,-0.00113340517515151,1364384
-0.384971029636053,-2.41492645257155,1.97360027887575,8.26832098583172,-0.566551664807134,1.22035647641266,-0.327703068552522,-0.143848680127636,-0.121670923349502,1386095
