"mkm5d_gtv_wavelet.HHH_glszm_SmallAreaEmphasis_247","mkm5d_gtv_wavelet.HHH_glcm_ClusterShade_247","mkm5d_gtv_wavelet.HHH_glszm_SizeZoneNonUniformityNormalized_240","mkm5d_gtv_wavelet.LLH_firstorder_Skewness_237","mkm5d_gtv_wavelet.HLH_glcm_ClusterShade_231","mkm5d_gtv_wavelet.LHH_firstorder_Skewness_228","mkm5d_gtv_log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis_226","sub"
0.438491185547583,0.289211297335162,0.438026347061755,0.715895975336015,-0.118614902093377,0.108719902237419,-0.196473160451283,1085983
-0.616971923559181,0.066529927200454,-0.931545505554975,0.521571902734325,-0.0932520387906947,-0.138349396036393,2.53659970005657,1125173
-0.591160339339706,-3.35126752455046,-0.956037383179486,-0.69538790505804,1.78381675127747,0.208236632454295,-0.345438225950366,1154608
0.565517414662271,0.0166248913851171,0.633815279636621,0.346766674226843,-0.145875628065602,-0.25136324047468,-0.354178991023272,1181124
0.0562249671803845,-0.135148798021766,-0.0791509102504508,0.648894041530991,-0.259866462001111,-0.133983852184687,-0.280920066828498,1183075
-0.635608819606851,-0.364712047001645,-0.869229876702008,-0.142697090878418,1.94456731877516,-0.551771224699527,-0.334292371596028,1232870
-0.0578244490091066,-0.000108063696548045,-0.270250961400609,-1.63370896415095,-0.113390259381144,-0.41432707090047,-0.240292566060755,1279943
0.291144152502499,-0.00582576058452223,0.251638307621856,-0.148866707770044,-0.191805737649353,-0.37550747207348,-0.309694565304702,1329352
0.578717353506233,0.0219025007323198,0.683556730635638,0.686844382874637,-0.125305238635236,-0.422981872512511,-0.344694710924924,1330263
-2.2080529353342,0.711975106107061,-2.21883335653621,0.612656366721327,-0.0776041527795406,0.0832518604225968,-0.102118974631925,1364384
0.707043404405351,0.441332361384663,0.934142122086207,-1.25738025593705,-0.0341741473540387,0.177265176673696,-0.33011959277,1386095
0.250286887547625,0.202436961189173,0.196265151272119,1.25421010754938,-0.167789308410354,-0.170006003077244,-0.276180855955638,1458656
-1.78153957795517,0.00469170491104245,-2.2499714472648,0.852137552326123,-0.123465729300837,0.14408314522656,10.9182852404107,1485662
-0.14932718237459,0.0768195260494305,-0.368877596582276,0.333651057730958,-0.114055088882526,-0.294360922474118,-0.341610475164562,1497807
-0.841419338755397,0.108852980836871,-1.15082002906382,-0.277178346380705,-0.122153019157911,-1.6514522489384,-0.242974925529865,1501387
