"lemm_ctv_density_243","sub"
-0.308516123733804,1085983
-0.44643790287121,1125173
0.966455859777556,1154608
-0.354391638802594,1181124
0.302274924115887,1183075
0.913494352674483,1232870
-0.416345315657788,1279943
-0.278771878144651,1329352
-0.379961085816834,1330263
7.56548451409684,1364384
1.12296457034755,1386095
-0.435975863598864,1458656
-0.394270400831074,1485662
-0.330040817376601,1497807
-0.348151581033268,1501387
1.2957151286732,1518948
-0.181880444602327,1526417
-0.382395749611802,1565177
-0.458806023096104,1606693
-0.314663248822713,1612262
-0.249839417771649,1614566
-0.26746777028819,1644034
-0.378393895365723,1668599
0.293299558361868,1671370
0.335049990488954,1684230
0.290799037586487,1692385
-0.405579099624844,1720713
-0.376453563653064,1738800
-0.444915979625065,1740845
0.381430674009551,1742294
-0.138140094409609,1767700
-0.439125558992464,1768972
-0.410657362027496,1889409
0.218759367409387,1915938
-0.424639832807122,1916742
1.44303700649215,1919296
0.785159058276729,1926770
-0.449542733178764,1938156
-0.315859848995081,1938561
0.0941019186059109,1966316
-0.142035632368394,1967281
1.74849241600446,1973544
0.0221745607410608,1975401
-0.279618795009247,1976407
0.256874755024426,1978972
0.403623863458722,1979045
-0.0885604805639623,1979422
7.79189442273206,1980052
-0.448054263865567,2001182
1.86188638364099,2002465
-0.000306446521437205,2004451
0.371079363529373,2006164
-0.407157282257205,2007309
-0.277927802425144,2009915
-0.402773627294924,2010259
-0.366072930221895,2010554
-0.230650184379394,2026671
-0.312302767269474,2033049
-0.439703900010433,2034136
0.025121581704284,2040495
3.53181737475918,2047354
-0.284778935045522,2051378
-0.362135985877367,2055667
-0.389028626238151,2057358
-0.367399191406596,2059713
0.597543108370764,2069079
-0.330508748392747,2070958
-0.244745401275726,2072215
-0.401138345959978,2075832
-0.382927796389769,2075846
-0.222147399692348,2076301
-0.455319324060185,2078198
-0.44181197386778,2078899
-0.348253410868805,2085349
-0.259282795422573,2086044
-0.325170783729065,2091555
-0.378910600351594,2092954
-0.413495809257648,2096627
0.271808824695998,2100050
-0.379590942555975,2108003
-0.395942537314683,2109902
-0.341836181582255,2110540
-0.388029622288395,2116787
-0.370333392741653,2119177
-0.326742365452343,2131601
-0.0366449034648067,2132424
-0.446627187406097,2132982
-0.4122169486785,2133204
-0.220995845828779,2133380
-0.368553317477275,2134220
-0.413701271755635,2135748
-0.0700329456437297,2137799
-0.405837052874461,2138375
-0.429524007561101,2138678
-0.166523420551113,2139733
-0.2054098067421,2141116
0.930077407322642,2144796
1.03756975795131,2145166
-0.342169822473777,2145694
-0.178534815953459,2146138
-0.40899719522554,2151024
-0.274953429548621,215131
1.43059767433459,2152442
0.901138693431342,2157529
0.143612062255427,2158101
-0.459922376436717,2158329
0.497117092755211,2168082
-0.103746660603102,2172217
-0.126148305374875,2176530
3.16518771220616,2176784
0.237234183698904,2181724
-0.332354450569438,2183291
-0.373990909338478,2183356
-0.147222965968882,2185290
-0.267169537778749,2186951
-0.432552778242421,2196212
-0.341696933209109,2199403
0.0935168631627414,2200416
-0.235353802096874,2200813
-0.365244864062651,2205389
-0.314255245713126,2212664
-0.347958164146713,2217034
0.517612208915955,2218615
-0.244711569504491,2219842
-0.402626489117018,2224150
0.165918386422648,2228399
-0.360208643017685,2228400
-0.299241507299612,2234271
-0.303533711606457,2234422
-0.336624640924529,2237571
-0.306089862278234,2244172
-0.281796291348912,2247869
0.296709758016763,2250648
-0.396896257217166,2250836
-0.36828638213978,2267382
-0.35880021948202,2269346
-0.236173333000981,2271329
-0.366135243571103,2274521
-0.434422770587728,2276121
-0.264765861891181,2278618
-0.384467787792656,2285214
-0.421923202265509,2286108
-0.455199159125134,2293123
-0.45036481044869,2294852
-0.0940254462886108,2294873
-0.370554258749223,2296332
-0.173437768584721,2305114
-0.384249697926394,2305115
1.68528730035026,2306459
-0.28463061321327,2306893
-0.457935108317236,2317120
-0.460306472807554,2319068
-0.426589821875442,2321962
-0.359089319923647,2331869
0.387207266288619,2336735
-0.45585644847362,2339674
-0.39610541967592,2340155
-0.424184667137388,2340322
-0.330257254528383,2350037
-0.271290700376959,2352038
-0.0296580342790312,2359944
-0.397918869982421,2381907
-0.431995347791777,2393207
-0.42347434226452,2395415
-0.391936511514598,2395943
-0.389790705322852,2401405
-0.424904206341843,2405144
-0.432125639856516,2414406
-0.226851055714033,2419459
-0.387522203327722,2425694
-0.463442326299291,2426863
0.0820698158300946,2430773
0.393707054339511,2439458
-0.317805339579737,2443354
-0.418715821610623,2445526
-0.244398089963466,2448298
-0.231120036612731,2453577
0.122296091148653,2474709
0.0389368771661794,2480056
-0.43810432955604,2480330
-0.394012914952307,2487135
-0.293644743395101,2488660
-0.240562983430034,2490180
-0.42047477881874,2493534
0.223461574557068,2498991
-0.415119690039006,2500377
0.884365106202387,2504802
-0.44842822627058,2510402
-0.401047801857683,2520618
-0.428907771067354,2559453
2.78463188422012,277752
-0.27466762485784,308862
-0.445881310366348,58325
-0.440300622441911,92173
-0.383108186626048,923666
-0.382197382535008,965005
2.03455672844101,983079
