"lemm_gtv_grady_412","lemm_gtv_m012_408","sub"
-0.0967803906525269,-0.0660893577607038,1085983
-0.0539196402890996,-0.0494678666527646,1125173
-1.62097241115503,-0.124036745744436,1154608
-0.451367858451183,-0.0940635814542334,1181124
-0.232096365231072,0.338723283593469,1183075
-0.41847949793043,-0.121716855780294,1232870
-0.384706195585429,-0.146416383071914,1279943
0.176774696412516,-0.190539804241665,1329352
-0.0729774846003224,-0.0708647929148416,1330263
0.00442470638610237,0.0461603911776131,1364384
0.677631108133787,-0.0672012543676721,1386095
0.0109417454585613,0.0164919923747794,1458656
-0.141334327845671,-0.199724632872474,1485662
0.143295392247969,-0.0371666455921722,1497807
-0.0684802823075543,-0.0826121883985916,1501387
0.662895801832686,0.257955459961904,1518948
0.0990367167917033,0.093452408984348,1526417
1.26932236839513,-0.0500526592351649,1565177
0.0288282082206463,-0.0400504612167369,1606693
-0.037349044425929,-0.0892905125452551,1612262
0.34834079473039,-0.0677556507328249,1614566
0.00704191287442019,0.0907139420130258,1644034
-0.17925142886351,0.0851337207493768,1668599
-0.10733550054777,-0.222615833167117,1671370
-0.0236265042572072,0.0551808499936036,1684230
-0.0105538122997328,-0.0572489923618442,1692385
0.455329349902344,-0.056460059553431,1720713
0.15814134334886,-0.00964732591012152,1738800
-0.041911522904086,-0.114733033305893,1740845
-0.162133797386238,-0.354204338644637,1742294
0.590837568684527,-0.0746939141724803,1767700
0.296553219430056,-0.105951505436327,1768972
0.0831849672178285,-0.0393844158898349,1889409
-0.0626620884325987,0.393655113992966,1915938
-0.270095649648763,-0.0305284306532141,1916742
-0.232554322134505,-0.131684199151739,1919296
0.0798986967738357,-0.044825701972264,1926770
0.190020162067761,-0.27880629432581,1938156
-0.0255165715762033,-0.0161371328892909,1938561
0.00797958364365354,-0.00825135257440169,1966316
0.0288885116718535,-0.038728225104509,1967281
-0.230921982615241,-0.197920458661504,1973544
-0.000507551454824256,-0.224046773703769,1975401
-0.0923663161613859,0.181314770879353,1976407
1.00066136309528,0.186795699801618,1978972
-0.104719272496909,-0.102626702011515,1979045
0.0670474179207781,0.189134153514717,1979422
-0.254861815673952,-0.0493465254270242,1980052
0.459980757185343,-2.71121322700114,2001182
-0.128764041762232,-0.0533388361525167,2002465
-0.120792736796222,0.0162572303045418,2004451
-0.16244555998969,-0.10355013294617,2006164
0.0318771699002194,-0.0162814684475041,2007309
