"letm_prc_m012_250","sub"
-0.0915077416584529,1085983
0.0224745224269323,1125173
-0.0121903559058603,1154608
-0.164969705939555,1181124
9.7237081695744,1183075
-0.0661223777165792,1232870
-0.136480852526505,1279943
-0.126172035502049,1329352
-0.118151880290299,1330263
0.0250276274009283,1364384
-0.0630504164547282,1386095
0.0769970994135368,1458656
0.437586247302402,1485662
0.0487953916175045,1497807
0.488508262269597,1501387
0.0226067047169278,1518948
0.128376454606163,1526417
0.0543495492870535,1565177
0.575291072226959,1606693
-0.0227155341374812,1612262
0.0273959574752198,1614566
0.0953493590117378,1644034
1.20918131444597,1668599
0.100653648278884,1671370
0.117477906679364,1684230
0.0535924780138567,1692385
0.0241834815131741,1720713
-0.0471850057281504,1738800
-0.0699686826103191,1740845
0.295124370371343,1742294
-0.292539730761478,1767700
0.0359212773309634,1768972
0.0989448428030019,1889409
1.86765838543117,1915938
0.00727863655015879,1916742
-0.0306185683640609,1919296
0.00722831695124127,1926770
0.0363099130415622,1938156
0.528404167423504,1938561
1.35984865816891,1966316
-0.0149861831112541,1967281
0.168892568274078,1973544
-1.51612632088806,1975401
0.713434685922874,1976407
0.025459120572907,1978972
-0.168483556895556,1979045
0.0817671839087128,1979422
-0.845356576473498,1980052
-2.16628951663641,2001182
-0.00665853033844558,2002465
-0.578276885124191,2004451
-0.0139137085810643,2006164
0.535120845108721,2007309
-1.15494205139776,2009915
0.366068617079172,2010259
-1.42015754681055,2010554
-0.185287078628226,2026671
0.476205341486584,2033049
0.135956329300873,2034136
-1.50386447982045,2040495
0.022701900639312,2047354
-0.457290137033231,2051378
1.65708271027889,2055667
-1.35456714236093,2057358
0.0775636110123415,2059713
0.14418193486259,2069079
0.827367701417156,2070958
0.117419655627528,2072215
0.0619931052344015,2075832
-0.0175686552763402,2075846
-0.0694553187052315,2076301
0.212333765865091,2078198
-0.246113464483676,2078899
0.578335065861975,2085349
0.663360129169982,2086044
0.337590016410387,2091555
-0.948006882426286,2092954
-0.528324629956245,2096627
1.87839884360557,2100050
0.158736757316379,2108003
-0.257226859505026,2109902
-1.62980668771434,2110540
0.310186355968526,2116787
0.40145629676368,2119177
-0.172987466689307,2131601
-0.259896022143481,2132424
-0.0918880872844456,2132982
-0.00332873290982024,2133204
-0.0731903629166443,2133380
0.566250558132412,2134220
-0.147226341472885,2135748
0.12209799914183,2137799
-1.0802873227866,2138375
-2.52518247510191,2138678
-0.316739059830979,2139733
-1.75959148486739,2141116
-0.403656702033314,2144796
-0.0408455395643344,2145166
-2.44720468850755,2145694
-0.155411936576945,2146138
-0.143658618189224,2151024
0.0236497544358622,215131
0.264218152549121,2152442
-0.173811151954186,2157529
-0.0143009744561016,2158101
-0.446210902300581,2158329
-0.546076914831663,2168082
-4.74783368200166,2172217
-0.151689033626332,2176530
0.37510247191372,2176784
0.533057208122435,2181724
-0.0390552910558103,2183291
-0.151902978766218,2183356
-0.394855384999045,2185290
-0.231430042118181,2186951
0.137609385342421,2196212
0.0463340539014051,2199403
0.205720859675021,2200416
-0.145537782074732,2200813
-0.0872388284469346,2205389
0.0497407341340326,2212664
0.120802878062533,2217034
-0.153339863608147,2218615
-0.1888473280483,2219842
0.298567229484785,2224150
-0.0007094266094383,2228399
-0.198925597426137,2228400
-0.0167706642724115,2234271
-0.0568562192831757,2234422
-0.234419935579222,2237571
-0.486296420122177,2244172
-0.0893752844988922,2247869
0.0843925537042079,2250648
0.161473523582881,2250836
-0.0849010326376963,2267382
-0.162253528022439,2269346
0.871628298757111,2271329
-0.0835369637517994,2274521
-0.0565793033725777,2276121
1.7200138600642,2278618
-0.0566713589409157,2285214
0.0388202032574244,2286108
1.53001714941451,2293123
0.00135341265244062,2294852
-0.0124977611894562,2294873
-1.07604703316731,2296332
-0.00370758387392003,2305114
0.0537503395666236,2305115
-0.0877219790635183,2306459
0.0321539254022535,2306893
-0.13678546440353,2317120
-0.556290609057741,2319068
-0.202430543566229,2321962
0.0544508962573649,2331869
-0.0180363185451118,2336735
0.495368198611923,2339674
-0.0341312736937306,2340155
-0.0360379666266266,2340322
0.0744596500293898,2350037
0.409731973903978,2352038
0.121496636833083,2359944
-0.343266214735775,2381907
-0.0305828648872008,2393207
-0.0389613381808697,2395415
-0.0545974509025213,2395943
-0.0682450884146088,2401405
0.0275184567564504,2405144
-0.153699009074494,2414406
0.001580968345719,2419459
0.129881821055783,2425694
0.712914373029647,2426863
-0.0661926758049263,2430773
-0.0418068114014979,2439458
-0.535849024867182,2443354
-0.210542480063051,2445526
0.214225112226278,2448298
-0.00337864353275063,2453577
-0.296914347173294,2474709
-0.0154935830000975,2480056
-0.016653745420511,2480330
-0.191644163626421,2487135
0.0163456911794245,2488660
-0.0847303626754823,2490180
-0.182564880626719,2493534
-0.325491520636547,2498991
-0.64647614729515,2500377
-0.180834765184172,2504802
3.38472483822128,2510402
-0.131842323298814,2520618
0.0935696036861477,2559453
0.382343984061893,277752
0.102629876678419,308862
-0.725814960976633,58325
0.027162764153883,92173
0.432960321838683,923666
0.121570627317547,965005
-0.00541193309654471,983079
