"mkm2d_gtvper_lbp.3D.m1_glcm_JointAverage_238","mkm2d_gtvper_lbp.3D.k_glcm_ClusterProminence_233","sub"
-0.141177420374645,-0.176763302946478,1085983
0.174570232692934,0.39936033103676,1125173
-0.916470972184284,-0.750016479233202,1154608
-0.586035181573528,-0.499955263561685,1181124
0.585470620372714,0.211942449065114,1183075
0.196221840439324,4.23114651842954,1232870
-0.472579540835119,0.386223381950284,1279943
-0.391155050375026,0.276191941218177,1329352
-0.418956485206343,0.335721910962575,1330263
-5.87493759218587,-1.36876940106878,1364384
0.776306444957867,3.61688604866611,1386095
0.716377598019656,0.4051086553565,1458656
0.620465279400482,-0.537951424718382,1485662
0.141989301620066,-0.696304618638854,1497807
0.309081915853077,-0.702128143235801,1501387
-3.59216593381172,0.0858258471308263,1518948
-0.391210347203215,-0.620458009151121,1526417
-0.481102831561923,0.081127992328596,1565177
-1.93139686114594,-0.0750553682231522,1606693
1.30477734065105,-0.178911687648749,1612262
-0.00722437924086764,-0.694764226965125,1614566
2.04808434583644,-0.81693257036878,1644034
-1.22991782682115,-0.593563939032385,1668599
-0.204498969851431,0.898437478300418,1671370
1.85689477623188,-0.686903716065125,1684230
0.487757092442398,-0.197290396743214,1692385
-0.165302913284154,-0.462459436014722,1720713
0.419294272502608,-0.525314272997423,1738800
-0.216507800276038,1.07782595614552,1740845
0.45586317516119,-0.146640356444443,1742294
-1.15967860677522,-0.512097137848265,1767700
-0.190459745302091,-0.797519677623798,1768972
-0.26479161056426,-0.583478490459595,1889409
0.10475861837784,0.64035297417365,1915938
0.391541719950786,0.0325770998632377,1916742
1.89341602945321,-0.80518013884102,1919296
2.17739556738091,-0.447555204211313,1926770
-0.247771900874048,1.68390596706618,1938156
-0.852870785568437,1.26831303980314,1938561
1.68934824690342,0.465392011659881,1966316
1.48109100494885,-1.29506023323247,1967281
0.912828419916535,-0.944732322178808,1973544
-0.121261962844067,0.390452599504292,1975401
1.02669444586781,-0.0436516762753055,1976407
0.420001935169982,-0.924946274748712,1978972
-1.988462237908,0.026409219981704,1980052
-0.525109781685994,0.332982367281094,2001182
0.413114035258789,-0.615151948696746,2002465
1.63933838728354,-0.647873960299132,2004451
-1.22123127058854,-0.712606503540398,2006164
0.478870320663782,-0.538253258413145,2007309
0.572689521724556,0.459737994358317,2009915
-0.371016813055569,2.03527777885988,2010259
-1.25748749119091,-0.466182726031339,2010554
-1.51103084824316,-0.255652699887857,2026671
0.198609415009041,0.26538041899804,2033049
-0.109624318905065,2.28760872787916,2034136
-1.57659460684832,-0.391566735200676,2040495
0.781788312814229,-0.02813973293492,2047354
-0.488265503599414,-0.468334751480143,2051378
1.06322810193673,-1.02043270156359,2055667
0.227191833514369,-0.296682268974231,2057358
0.389397141383663,0.252427774648066,2059713
-2.19139081691831,-1.29581395444391,2069079
-0.649656720646934,-0.296493700060963,2070958
1.32620740628903,0.278868995374953,2072215
-0.0348248314223204,-1.05324564125253,2075832
0.876283009660515,0.0304087433192216,2075846
0.150952264501395,-0.754828891537247,2076301
0.245782918364563,-0.423925302429711,2078198
0.478419075594127,-0.484640808655799,2078899
-1.22861631442996,-0.326509730138589,2085349
-0.649909405138834,-0.325238745550092,2086044
-0.887786775308806,-0.506983933104728,2091555
0.350635852115978,0.204354825369811,2092954
-1.7914726547512,-0.613902656433085,2096627
0.421018504498912,0.0727994516428999,2100050
-0.502065768408591,-0.233371314382886,2108003
-0.749138335298009,-0.447344833067581,2109902
-1.69537792179245,1.78803196582153,2110540
0.0778851346425741,-0.424231445916552,2116787
0.938598811412603,-0.880277080931005,2119177
-0.502525720507335,0.0686894059529433,2131601
0.236567552915575,-0.0949305064447384,2132424
-1.27338177885531,-0.0935094928772609,2132982
-0.704785936322921,-0.056342043350757,2133204
0.0590510010032534,-0.739498654323256,2133380
0.319385565676091,-0.587547137810342,2134220
-0.280736968097204,0.183758298764112,2135748
-0.662487436208317,0.813429736446255,2137799
-0.23801081871643,-0.519850033454788,2138375
-0.934226213621087,0.147458812128857,2138678
0.522427353385235,-0.434242486404938,2139733
-1.85733408175403,0.267732944791453,2141116
-0.264834158532122,-0.00187429882341917,2145166
-0.539638177610732,-0.0754354396552258,2145694
0.506299565401989,0.520346473159113,2146138
-0.232161652557648,-0.678686633291582,2151024
0.196245867152353,-0.549055341022961,215131
0.407077627682774,-0.869750014882672,2152442
0.711699890724518,0.059285106869531,2157529
0.761373823858763,-0.0418576419445439,2158101
0.369520901095035,-0.384084457007841,2158329
-2.94298456663607,-1.18408291653152,2168082
-0.303912723545248,-1.13023640471309,2172217
-0.187462302475728,-0.808824706020006,2176530
0.0860344098823736,1.28924052350499,2176784
0.943908852684296,-0.797368344823888,2181724
-0.583932124185046,-0.65442492415213,2183291
0.446377502509583,-0.621396432582495,2183356
-1.15818015098437,-0.604937464110583,2185290
0.218699189400171,0.791079092359421,2186951
0.525837781061495,-0.551118988543193,2196212
0.796398638198795,-0.891481168910689,2199403
0.378376104813556,-0.770589619922912,2200416
