"letd_prc_log.sigma.2.0.mm.3D_firstorder_90Percentile_240","sub"
-0.171620696353757,1916742
1.97670835505959,1980052
-0.887219113000254,1926770
0.269343663635243,1979045
-0.701176335077957,2196212
0.145199339783319,2393207
1.23681470284338,2146138
-2.30330306777059,2228399
1.45159775493485,2144796
1.03613626253918,2234271
-1.33642957965116,2296332
1.62160597670524,1684230
-0.42383106485396,1720713
1.23378611190472,2186951
0.750396237490068,2439458
0.206416475900747,2135748
-2.07882284538642,2141116
-0.15820213904343,2108003
0.623520921679175,2006164
0.961552443885261,308862
-0.403654713566142,1085983
-0.615993325833259,2004451
1.02849777775419,2359944
0.634409539610831,2069079
0.172470550017289,2059713
-1.88569410652468,2294873
1.84554217223498,2033049
-0.948380697106374,1485662
-0.0223603260779875,1526417
-0.157943007296849,1386095
0.646286350798461,983079
1.51787470927896,2132424
-1.07917289126099,2138375
-0.50471467226217,2490180
-0.54173885448912,2034136
-0.0900847500450784,2510402
-1.01775252345958,1330263
-0.600239177954196,1768972
0.172688006405888,2306459
0.30832495335958,2181724
-1.10051588018435,2217034
0.187463358413625,2218615
0.608107697598217,92173
1.17175907558424,2414406
-0.28373070824613,2381907
2.60017703716785,2002465
0.47656362187617,2474709
0.0622585071695125,2176530
0.103405008793188,1279943
0.95166551754629,1976407
-0.10347177088263,2250836
-1.044245021912,1915938
0.563497843585322,2133380
0.642209399129846,2271329
0.0882052763427354,2286108
-0.721446009507629,2040495
-0.342150904252777,1125173
0.560687314341837,1767700
-0.409974628764199,2138678
0.331676924554166,2443354
1.56215530677807,2234422
-0.0445826741343597,2151024
-2.13293319801809,2057358
0.132743189668685,2425694
-0.355913850741373,2500377
-0.287009260536698,2183356
0.227671483512805,2131601
2.04375314079949,2152442
1.32790468713777,2306893
2.70330965638725,2009915
-0.413561493960913,58325
-0.245372278991848,2395943
-1.17165362795188,2480330
1.40871384183672,2076301
-1.27943612151716,2205389
2.15758994103585,1975401
-0.494137635892186,2250648
0.309207793005429,2185290
0.044453686528573,2091555
2.63045883046975,1232870
0.377985420155103,2139733
0.149464965512685,2559453
-0.625683920983247,1938156
1.63801123773896,2158101
1.29090093400786,2199403
-0.863024055669416,2430773
-0.114222681567504,1738800
0.614202317687471,1565177
0.464341574081064,1978972
-0.718392252947936,2487135
0.203659879473473,1612262
-0.425690687726761,2051378
-0.827132704705549,1497807
-0.900968546019472,2026671
0.00462781253419201,2340322
-1.24051457555219,2293123
-1.35780561831374,2395415
-0.988506500510775,1966316
0.569638224851969,1973544
1.05463406841738,2010259
-0.0275258005680778,2145694
0.273539376454702,965005
-1.0456690056397,2096627
1.09586416287965,2047354
1.20691679497405,1364384
-0.674065425158836,2244172
-0.756314165362585,2132982
-0.118445542387045,2134220
-0.404938039177492,1889409
-1.01751235294159,1938561
-1.12464152398321,2055667
0.985372952637521,2176784
-0.911411325390174,923666
-0.357114113157385,2086044
-0.863050795087555,2078198
0.103588114033415,1501387
-1.94572718730976,1518948
-0.913808763158646,1606693
-0.504914650423293,2305115
-0.364871631481183,2237571
0.268176057509179,2285214
-0.616608892359036,2426863
-1.22227208798912,1979422
2.50857974542939,2480056
1.34087325953707,1668599
-0.218358838564656,2339674
-0.693798919020608,2133204
-0.347146650778043,2294852
-0.986754213627144,2445526
1.38689314496102,2200416
-0.644422608614668,2168082
-0.597928798404488,2075846
0.530057772410152,215131
0.108916567319975,2274521
-0.685832690988283,277752
-0.26885508720354,2078899
-0.510687837586298,2172217
-1.13376518899107,1614566
2.51140773776769,2100050
-0.0692882924321411,2183291
-0.0504762113779842,2336735
0.0967140103967191,2352038
0.918354346407173,2305114
-0.34913683827999,2448298
0.0983624115386859,1329352
1.67272030389222,1183075
-1.11938401262774,2110540
0.0208249994312798,2070958
0.27342243122359,2340155
-0.299815398915461,2075832
-0.280699605285162,2498991
0.218692849961342,1919296
0.0627616077328627,2401405
-1.67657916037406,1644034
0.364033981197727,2405144
-0.931657241536615,2158329
-0.573165040409769,2319068
1.24166908001706,2504802
-0.279434756657143,2331869
-0.138568838553193,2317120
1.01334138525481,2072215
-2.18655108834953,2228400
0.6930641405903,2145166
0.94526606506372,1692385
0.615949625924489,2109902
0.348500966944731,2219842
0.403483626887767,2520618
1.38073221353601,2419459
-1.95388379182759,2276121
-1.30597525884151,2350037
0.535144284656978,2001182
1.63758001733189,2278618
0.969573815346954,1740845
0.680073383704861,2321962
-0.140047663056982,2212664
-0.255633224266143,2453577
-0.01438020625967,2224150
-1.09558353952326,1967281
0.414854613632436,1742294
-1.28770907352586,2488660
-0.125562888472618,2085349
0.494631781144417,2247869
-2.0140997432966,2157529
-0.445876602858532,2119177
-2.27484275546066,2010554
-1.2207907211977,2493534
0.335658056191282,2200813
0.222608093977305,2116787
-0.800867302149004,1154608
0.127449511245104,2267382
-0.179226191930173,1181124
-0.148443870617882,2137799
-0.0584278817870777,1458656
-0.392894874609223,2269346
-1.27496780887973,2092954
0.493681873529586,2007309
0.619210472997615,1671370
