"mkm2d_gtvper_lbp.3D.k_glcm_ClusterProminence_232","mkm2d_gtvper_lbp.3D.m1_glcm_JointAverage_231","sub"
-0.176763302946478,-0.141177420374645,1085983
0.39936033103676,0.174570232692934,1125173
-0.750016479233202,-0.916470972184284,1154608
-0.499955263561685,-0.586035181573528,1181124
0.211942449065114,0.585470620372714,1183075
4.23114651842954,0.196221840439324,1232870
0.386223381950284,-0.472579540835119,1279943
0.276191941218177,-0.391155050375026,1329352
0.335721910962575,-0.418956485206343,1330263
-1.36876940106878,-5.87493759218587,1364384
3.61688604866611,0.776306444957867,1386095
0.4051086553565,0.716377598019656,1458656
-0.537951424718382,0.620465279400482,1485662
-0.696304618638854,0.141989301620066,1497807
-0.702128143235801,0.309081915853077,1501387
0.0858258471308263,-3.59216593381172,1518948
-0.620458009151121,-0.391210347203215,1526417
0.081127992328596,-0.481102831561923,1565177
-0.0750553682231522,-1.93139686114594,1606693
-0.178911687648749,1.30477734065105,1612262
-0.694764226965125,-0.00722437924086764,1614566
-0.81693257036878,2.04808434583644,1644034
-0.593563939032385,-1.22991782682115,1668599
0.898437478300418,-0.204498969851431,1671370
-0.686903716065125,1.85689477623188,1684230
-0.197290396743214,0.487757092442398,1692385
-0.462459436014722,-0.165302913284154,1720713
-0.525314272997423,0.419294272502608,1738800
1.07782595614552,-0.216507800276038,1740845
-0.146640356444443,0.45586317516119,1742294
-0.512097137848265,-1.15967860677522,1767700
-0.797519677623798,-0.190459745302091,1768972
-0.583478490459595,-0.26479161056426,1889409
0.64035297417365,0.10475861837784,1915938
0.0325770998632377,0.391541719950786,1916742
-0.80518013884102,1.89341602945321,1919296
-0.447555204211313,2.17739556738091,1926770
1.68390596706618,-0.247771900874048,1938156
1.26831303980314,-0.852870785568437,1938561
0.465392011659881,1.68934824690342,1966316
-1.29506023323247,1.48109100494885,1967281
-0.944732322178808,0.912828419916535,1973544
0.390452599504292,-0.121261962844067,1975401
-0.0436516762753055,1.02669444586781,1976407
-0.924946274748712,0.420001935169982,1978972
0.026409219981704,-1.988462237908,1980052
0.332982367281094,-0.525109781685994,2001182
-0.615151948696746,0.413114035258789,2002465
-0.647873960299132,1.63933838728354,2004451
-0.712606503540398,-1.22123127058854,2006164
-0.538253258413145,0.478870320663782,2007309
0.459737994358317,0.572689521724556,2009915
2.03527777885988,-0.371016813055569,2010259
-0.466182726031339,-1.25748749119091,2010554
-0.255652699887857,-1.51103084824316,2026671
0.26538041899804,0.198609415009041,2033049
