"mkm9d_ptvper_gradient_firstorder_Skewness_234","sub"
-2.35164149788807,1085983
-0.405241250781797,1125173
-1.08639994032011,1154608
0.552565532491013,1181124
0.730220629679444,1183075
-1.26062001471428,1232870
1.15096846828627,1279943
-0.713757735743197,1329352
-0.463433534781713,1330263
0.39287543829504,1364384
-0.958900050286389,1386095
-0.890503035651662,1458656
-0.0702706486603292,1485662
-0.364096682274178,1497807
0.824248736056905,1501387
-1.32216432015342,1518948
0.565053733695789,1526417
-0.243890747210486,1565177
-0.935433263394325,1606693
0.481068195052088,1612262
0.52601516677475,1614566
0.618481590346705,1644034
1.03871178475926,1668599
-1.0134565294317,1671370
0.397633950245803,1684230
-1.00098092707764,1692385
0.153344805888512,1720713
-0.0264392927070163,1738800
-0.0247384914333623,1740845
0.712147031535694,1742294
0.538890748286482,1767700
-0.950609263939484,1768972
-0.451949335783252,1889409
-0.743812295850448,1915938
0.0912848998914937,1916742
-0.556659363443242,1919296
0.0887503820900803,1926770
-0.482385429196981,1938156
-0.342119737168617,1938561
-0.147884712264593,1966316
-0.194501044992614,1967281
0.338325734347125,1973544
1.20401292940223,1975401
1.27241378759578,1976407
0.664021436549782,1978972
0.244309454400361,1979045
-2.46029458908815,1979422
-0.152695429601783,1980052
-0.409752457399545,2001182
0.165782004308155,2002465
0.277399391660821,2004451
-0.345484899230941,2006164
0.209309897071046,2007309
1.7409371852985,2009915
0.122966339219665,2010259
-0.329126705400861,2010554
0.343638159943251,2026671
1.46221710292516,2033049
-0.107140914488079,2034136
-1.34206440438593,2040495
0.176944139041909,2047354
0.806834383672095,2051378
0.109772655177307,2055667
-1.70149035221662,2057358
0.498761778121721,2059713
0.70444875308095,2069079
1.4638281194529,2070958
1.90075194944557,2072215
-0.299672856853525,2075832
0.00960600388769801,2075846
1.74856815400098,2076301
-0.728634098527981,2078198
-0.236065768027323,2078899
-0.180593291098782,2085349
-0.98824876032957,2086044
0.652621062991403,2091555
-0.665926317616894,2092954
-0.444206026372171,2096627
0.140590285231108,2100050
0.645025078053788,2108003
-0.307286614840764,2109902
-0.413536612242803,2110540
0.605592169827366,2116787
-0.328927959264015,2119177
-0.64760813669924,2131601
1.08127088041212,2132424
-1.01795293138431,2132982
-0.853327042401925,2133204
-0.578989323332679,2133380
-0.893449902422553,2134220
0.379624842739928,2135748
1.07213409943643,2137799
-0.431512597225527,2138375
0.388306040952964,2138678
0.0467873378429967,2139733
-2.61716672404739,2141116
1.37997801728634,2144796
0.46569573556622,2145166
-0.417956492811714,2145694
-0.356972840519298,2146138
-0.964773498434421,2151024
-0.0503718145888564,215131
0.776006278655744,2152442
-2.90778533808267,2157529
0.171639982997219,2158101
-0.00496046578748374,2158329
-0.366670838608257,2168082
-0.552736263961113,2172217
-0.332278192899353,2176530
1.69878247070501,2176784
0.324274041642991,2181724
-0.039685125868907,2183291
-0.155911367641961,2183356
6.3290481008749,2185290
-0.220908922796878,2186951
-0.272521083464636,2196212
1.10518112829485,2199403
1.71567110064408,2200416
-0.53468275457689,2200813
-0.625873912578411,2205389
-0.123567598645867,2212664
-0.701005780115877,2217034
-0.158313866243057,2218615
-0.215232155271303,2219842
1.05331418505032,2224150
-2.80230365487157,2228399
-2.23439207985296,2228400
0.116610144129089,2234271
0.37033486417494,2234422
0.400432714503331,2237571
-0.46403233464962,2244172
1.38236706132624,2247869
0.0064593957673459,2250648
0.56487889836854,2250836
-0.584790726819189,2267382
-0.150662742654112,2269346
0.270866798964608,2271329
-0.286833855706711,2274521
-2.24563793422364,2276121
0.900061821206978,2278618
0.358422529679909,2285214
0.0218854587954581,2286108
-1.75651392699686,2293123
0.377007612366823,2294852
-2.85932241644795,2294873
-0.786056214921975,2296332
0.765024531636193,2305114
0.358103346894584,2305115
-0.248368577209972,2306459
0.775966790114912,2306893
-0.281564894760113,2317120
-0.263334381802713,2319068
0.261535160643069,2321962
0.32561572675077,2331869
-0.0869436730381838,2336735
0.238950177365429,2339674
1.02088256704714,2340155
1.56165190477614,2340322
-0.178523659880974,2350037
0.158890858008671,2352038
0.189872547574413,2359944
0.613478832292897,2381907
1.91832073216996,2393207
0.140451749049181,2395415
0.559328984972644,2395943
0.725541567730336,2401405
-0.273533222610149,2405144
-0.00116782687087505,2414406
-0.513227527560927,2419459
-0.650484752454653,2425694
1.06545536485373,2426863
-0.580613831442543,2430773
-0.16262742713005,2439458
-0.148539807383233,2443354
0.522675565692569,2445526
-0.291013413354047,2448298
-0.895821858949692,2453577
-0.240626281254153,2474709
1.04108208184862,2480056
1.28517400593452,2480330
0.0170037106959681,2487135
-1.78578084941519,2488660
0.257456996505478,2490180
0.0506046210124997,2493534
-0.704632713254286,2498991
0.273168201924511,2500377
-1.1935631639229,2504802
1.26676872930792,2510402
0.00812325391445124,2520618
-0.246415106292287,2559453
-0.396324138314886,277752
1.58009802700251,308862
0.744756699580061,58325
0.390946791711327,92173
-0.273913814878672,923666
0.203469737989064,965005
0.624439126003386,983079
