"sub","lemm_prc_v7_250.x","lemm_prc_v45_250","lemm_prc_grady_247","lemm_prc_m210_248","lemm_prc_m003_250","lemm_prc_m120_250","lemm_prc_eigen_min_250","lemm_prc_gradx_245","lemm_prc_m011_250","lemm_prc_m021_250","lemm_prc_m110_250","lemm_prc_skewness_250","lemm_prc_v30_249","lemm_prc_v43_250","lemm_prc_gradz_250.x","lemm_prc_m101_250","lemm_prc_m111_247","lemm_prc_m201_250","lemm_prc_m012_250","lemm_prc_m102_250","lemm_prc_m030_250.x","lemm_prc_m040_238","lemm_prc_m004_250.x","lemm_prc_m310_250","lemm_prc_density_247","lemm_prc_sphericity_250"
58325,0.235564704803533,-0.257577163791884,-0.722614913145216,-0.223524973302965,-0.396715714119664,-0.00310896884050549,0.970682305265655,-0.227271062744632,0.722238350367254,-0.443509858910075,0.796815371742214,-3.13708294080459,0.345142753406157,0.989890077177615,-0.213065289531751,0.202181076264023,0.125125673480022,0.0760675990954858,-0.359338394989075,-0.250315738092724,0.933328256446107,-0.135816860945319,-0.500823352258513,0.116977483458285,-0.451748543534147,-0.127293479658336
92173,0.235564704803533,-0.259601498697698,-0.512182436395189,-0.0560789690815232,0.00980122704876508,-0.334764510808762,2.92801568765077,-0.550491118163959,-0.451160055846406,-0.508351450542921,0.0974302248732621,-0.478677630285941,0.347942769989492,-0.987600571547417,-1.04189697212297,0.108217094750458,0.101314231295919,-0.0495322262314,0.0942495784731102,-0.485663685967936,0.374256905348936,-0.438426070482964,-0.515576827563171,0.028074877662383,-0.450362236219736,1.77848119149995
215131,0.235564704803533,-0.259601498697698,-0.117974088700865,-0.202568100601927,-0.142472060780516,-0.0595530825562191,-0.342952878440784,-0.463780137848422,0.358461494797927,-0.351228895181617,-0.405829240558213,0.452985587066097,0.375942670475015,0.985739529861335,-0.541394355129894,-0.368506680391676,0.23307324934329,-0.049597699829245,0.0701414737054167,-0.281122216854121,0.106963930331492,-0.449646505873066,-0.520899142006738,-0.0632724824964488,-0.304915297801511,-0.0683586303905909
277752,0.235564704803533,-0.259601498697698,0.380116160700113,0.392478720004477,-0.286887007212415,1.41242400940712,-0.718049548639873,-0.59281551824057,0.0993408307773699,0.546137369282409,0.195489387625697,0.618297391962658,-4.19034247034892,-0.987600571547417,0.800911720001039,0.0489966637532422,-0.562656426973595,0.571306841426992,0.571926807168812,-1.64030716660827,-1.03758821776007,0.394981248965121,0.85599664845329,0.254851867556974,4.60913596985682,-0.352456738953442
308862,0.235564704803533,-0.259601498697698,0.00248891781724541,0.748238898034378,2.14779997590307,0.0243300406128203,-0.65660965159011,0.202782054095027,1.6017129183574,1.13718186571208,-2.26018509764878,0.80941275289385,0.0384568705932925,-0.987600571547417,0.866552347971922,1.18781639600905,-1.11411458916703,1.52546393319964,-0.938903975437631,1.73423680721068,0.775250728753361,1.14688325513055,1.11938876688108,-1.90091321663179,0.0477722588253011,-1.05576797930896
923666,0.235564704803533,-0.244479590693372,0.52919429371516,-0.134912801287245,-0.320659778649051,-0.464058960441373,-0.0512046471731215,0.289650081896121,-0.413426323963569,-0.15347284080828,0.147651373859082,-0.140861049890612,0.359804032763162,0.870812931208287,1.00420309837,-0.330000915342127,0.104316834061675,-0.176355654491865,0.421764730606658,-0.238286901653617,-0.00585058608266271,-0.393001731979154,-0.464693832642633,0.034196684177295,-0.396940437048509,-0.35314734781096
965005,0.235564704803533,-0.237857448137806,-0.0115929053797374,-0.0769918447942731,-0.0495245439186464,0.00542057114701201,-0.0109581409233657,0.158904830965392,0.390566211142792,-0.438064641101021,-0.426148933319689,0.657993459780843,0.375942670475015,0.993608349071723,-0.609717388205269,-0.153397077304318,0.185149144929355,0.0374025616232993,0.126031468938062,-0.30718396976854,-0.00246987639047668,-0.400207482890481,-0.501806110922533,-0.0388998002958999,-0.394262345648242,-0.106286520534568
983079,0.235564704803533,-0.259601498697698,-0.162320845095907,-0.0129134684639288,-0.162769247659572,-0.184121764248397,-0.670715377200003,-0.389158830198314,-0.308382649098699,-0.196494350987923,-0.134748455731686,0.0616941502429671,0.254342790691824,-0.987600571547417,-0.130156810660216,-0.0415817103493967,0.0110950535143902,-0.0413937716072109,0.0681852978551015,-0.186573305266736,0.161500086776873,-0.460660721310224,-0.542015210217323,-0.014148305103242,0.451835000163157,2.9779627489135
1085983,0.235564704803533,-0.240663124382992,-0.0135989780343782,-0.00857054286491606,-0.114117169170111,-0.207462760463953,-0.0919210086988422,-1.44991173755037,-0.19306421395496,-0.23023759091036,0.13831922264019,0.507294424567809,0.375942670475015,0.840540487858975,-0.780944920821737,-0.120686157416815,-0.0460126477060913,0.0146885567922124,-0.00889191801277651,-0.315320767922309,0.204620687574177,-0.474621623563152,-0.533341007402694,0.0405462695559852,-0.339997586823418,0.752428346435609
1125173,0.235564704803533,-0.259601498697698,-0.103937198532617,-0.0610644380442283,-0.125431796962429,-0.158073741697046,2.31975401831939,0.267426081553634,-0.00506006766863168,-0.170356288519643,-0.260151057498405,-0.300132584377928,0.369230561330039,-0.987600571547417,-0.30208402196895,-0.34902021015771,-0.190608563478162,-0.0867229587631119,0.0707362347250467,-0.168148480300561,0.18826283211679,-0.451505827702081,-0.511343835185022,-0.0185429102538998,-0.452123285700162,-0.22915037648958
