"mkm8d_ptv2_lbp.3D.m2_firstorder_Maximum_235","sub"
-0.463011195241364,1085983
-0.205264713545995,1125173
-0.463011195241364,1154608
-0.463011195241364,1181124
-0.463011195241364,1183075
-0.463011195241364,1232870
-0.205264713545995,1279943
-0.463011195241364,1329352
-0.463011195241364,1330263
-0.463011195241364,1364384
-0.463011195241364,1386095
-0.35557318551721,1458656
-0.463011195241364,1485662
1.72304707971444,1497807
-0.35557318551721,1501387
-0.463011195241364,1518948
-0.463011195241364,1526417
3.58614788708474,1565177
-0.0149947255155225,1606693
0.193094219587254,1612262
-0.463011195241364,1614566
-0.35557318551721,1644034
-0.205264713545995,1668599
-0.35557318551721,1671370
-0.463011195241364,1684230
-0.463011195241364,1692385
1.39584900638098,1720713
-0.463011195241364,1738800
1.39132362834573,1740845
-0.463011195241364,1742294
-0.205264713545995,1767700
3.63772065080996,1768972
2.8043320532033,1889409
-0.463011195241364,1915938
-0.271304771480969,1916742
-0.463011195241364,1919296
-0.463011195241364,1926770
0.582431608175674,1938156
-0.463011195241364,1938561
-0.463011195241364,1966316
-0.463011195241364,1967281
-0.463011195241364,1973544
-0.35557318551721,1975401
-0.35557318551721,1976407
-0.463011195241364,1978972
-0.463011195241364,1979045
0.877032217521159,1979422
-0.463011195241364,1980052
-0.35557318551721,2001182
-0.35557318551721,2002465
0.989136352517078,2004451
-0.463011195241364,2006164
-0.123090903060015,2007309
-0.463011195241364,2009915
-0.261904423416942,2010259
0.949635513876905,2010554
-0.463011195241364,2026671
0.145134513031329,2033049
-0.463011195241364,2034136
-0.463011195241364,2040495
-3.20187752082326,2047354
-0.205264713545995,2051378
-0.463011195241364,2055667
2.40434218404288,2057358
1.38594853043954,2059713
-0.463011195241364,2069079
-0.463011195241364,2070958
-0.205264713545995,2072215
-0.463011195241364,2075832
-0.463011195241364,2075846
-0.35557318551721,2076301
3.15865780346941,2078198
-0.205264713545995,2078899
-0.463011195241364,2085349
-0.463011195241364,2086044
1.69785042461282,2091555
2.39671940001057,2092954
-0.463011195241364,2096627
-0.35557318551721,2100050
-0.463011195241364,2108003
-0.463011195241364,2109902
-0.463011195241364,2110540
-0.35557318551721,2116787
-0.463011195241364,2119177
-0.463011195241364,2131601
-0.463011195241364,2132424
-0.205264713545995,2132982
-0.35557318551721,2133204
-0.205264713545995,2133380
2.74115202343287,2134220
1.88721308356114,2135748
-0.463011195241364,2137799
-0.463011195241364,2138375
-0.35557318551721,2138678
-0.463011195241364,2139733
-0.463011195241364,2141116
-0.463011195241364,2144796
-0.463011195241364,2145166
-0.463011195241364,2145694
-0.205264713545995,2146138
-0.35557318551721,2151024
-0.463011195241364,215131
-0.463011195241364,2152442
-0.463011195241364,2157529
-0.35557318551721,2158101
-0.35557318551721,2158329
-0.463011195241364,2168082
-0.463011195241364,2172217
-0.463011195241364,2176530
0.387384551470149,2176784
-0.463011195241364,2181724
-0.463011195241364,2183291
-0.463011195241364,2183356
0.112756440077438,2185290
-0.463011195241364,2186951
0.0310113135935192,2196212
-0.463011195241364,2199403
-0.463011195241364,2200416
-0.463011195241364,2200813
-0.463011195241364,2205389
-0.463011195241364,2212664
-0.463011195241364,2217034
-0.463011195241364,2218615
1.0957621482694,2219842
0.381880225163689,2224150
-0.463011195241364,2228399
-0.35557318551721,2228400
-0.35557318551721,2234271
-0.35557318551721,2234422
-0.463011195241364,2237571
-0.463011195241364,2244172
-0.35557318551721,2247869
-0.463011195241364,2250648
-0.35557318551721,2250836
-0.35557318551721,2267382
-0.35557318551721,2269346
-0.35557318551721,2271329
1.43939497318806,2274521
1.34779529026145,2276121
-0.463011195241364,2278618
0.410513783439292,2285214
3.06243622898383,2286108
-0.463011195241364,2293123
0.347575235790565,2294852
-0.205264713545995,2294873
-0.35557318551721,2296332
-0.35557318551721,2305114
-0.35557318551721,2305115
-0.463011195241364,2306459
-0.205264713545995,2306893
-0.205264713545995,2317120
5.42272028357749,2319068
-0.35557318551721,2321962
-0.133386599358557,2331869
2.40019051325981,2336735
-0.234059409861087,2339674
2.06375671829112,2340155
-0.463011195241364,2340322
-0.463011195241364,2350037
-0.463011195241364,2352038
1.0613987792559,2359944
-0.205264713545995,2381907
-0.463011195241364,2393207
-0.35557318551721,2395415
-0.35557318551721,2395943
-0.463011195241364,2401405
-0.35557318551721,2405144
-0.35557318551721,2414406
-0.410130621097425,2419459
-0.463011195241364,2425694
0.0121728778719668,2426863
-0.153702313635278,2430773
-0.463011195241364,2439458
0.600828825811572,2443354
-0.463011195241364,2445526
-0.463011195241364,2448298
-0.163399558116562,2453577
-0.463011195241364,2474709
0.896264063402827,2480056
0.976466528524129,2480330
-0.463011195241364,2487135
3.378587921339,2488660
-0.463011195241364,2490180
2.31932445739078,2493534
-0.463011195241364,2498991
-0.463011195241364,2500377
-0.463011195241364,2504802
-0.463011195241364,2510402
0.906332455171872,2520618
-0.463011195241364,2559453
-0.463011195241364,277752
-0.463011195241364,308862
-0.35557318551721,58325
-0.205264713545995,92173
1.72454032863242,923666
0.366960487448667,965005
-0.463011195241364,983079
