"mkm2d_ptv2_log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis_230","sub"
-0.35429355973527,1085983
-0.301513231059363,1125173
-0.410793517803921,1154608
-0.564859634212535,1181124
0.0669398760031129,1183075
-0.144735651726549,1232870
-0.00482872869716724,1279943
-0.648362493170687,1329352
-0.760707976423936,1330263
0.897283674397516,1364384
-0.550835220306771,1386095
-0.0761634978823314,1458656
-0.0231652020592322,1485662
0.100866849944845,1497807
-0.65955781597208,1501387
3.21720642365582,1518948
0.920335100600001,1526417
-0.767002790337742,1565177
-0.301166053616042,1606693
0.452902302314021,1612262
-0.386333762334437,1614566
0.833729806830941,1644034
-0.442488756897065,1668599
-0.520814903447751,1671370
1.24336341216027,1684230
2.81743427728007,1692385
-0.632607370439502,1720713
-0.507078759117847,1738800
-0.428081000444628,1740845
-0.0443991891828161,1742294
-0.452462599097278,1767700
-0.327414930432752,1768972
-0.823629475246082,1889409
1.64411476510583,1915938
-0.386671086380163,1916742
0.686683849529058,1919296
0.104193002313937,1926770
-0.80955969216711,1938156
0.836125073502858,1938561
-0.242970189915374,1966316
0.0497570080029287,1967281
3.76917757533022,1973544
0.776566771764029,1975401
0.928593077684633,1976407
-0.546797533799566,1978972
-0.523149744499333,1979045
1.45358462989333,1979422
0.828759426750939,1980052
-0.667603299984186,2001182
-0.0158749381832439,2002465
1.31421910471103,2004451
-0.170126090913441,2006164
-0.345227099754202,2007309
-0.261315062104083,2009915
0.0735781591630161,2010259
-0.369804469678889,2010554
-0.43713539586994,2026671
0.25457853523485,2033049
-0.42347072622422,2034136
0.00872416018586603,2040495
0.0558365374299889,2047354
-0.228438755014576,2051378
0.750392940545036,2055667
-0.142410573649355,2057358
0.970566513519156,2059713
0.0105021010354679,2069079
-0.559281826350811,2070958
0.321127699281004,2072215
0.256585753303757,2075832
-0.381661692630125,2075846
0.699343281002069,2076301
-0.78589974823594,2078198
-0.503475629108281,2078899
-0.0404622817743345,2085349
-0.389616476883818,2086044
-0.591563022912846,2091555
-0.0211964141256152,2092954
-0.348805754088001,2096627
1.12137831452193,2100050
2.3611365740006,2108003
0.746645851426197,2109902
-0.55871099690081,2110540
0.0324537098551436,2116787
-0.755688466238978,2119177
-0.813158136941069,2131601
-0.506088800377142,2132424
0.70366214429622,2132982
-0.57885675129775,2133204
-0.166554868995594,2133380
-0.669892235049235,2134220
-0.803262298436464,2135748
-0.6184280128741,2137799
-0.445491741857322,2138375
-0.638236792019511,2138678
-0.503782443068466,2139733
0.477974667589028,2141116
-0.402561983031577,2144796
0.481346064716071,2145166
-0.241774138536641,2145694
-0.157732403442326,2146138
-0.327828860471502,2151024
0.45599093038089,215131
4.2717410765553,2152442
0.926202238826385,2157529
-0.256414102445227,2158101
0.552273141243344,2158329
0.794126841978899,2168082
0.065729493813481,2172217
-0.613911785229946,2176530
1.50782082576493,2176784
0.12439976959916,2181724
-0.650514004902349,2183291
-0.762657725395675,2183356
-0.429927100329324,2185290
-0.714478912926785,2186951
-0.708756416664773,2196212
-0.459334053046645,2199403
4.03724364691545,2200416
0.340374782241181,2200813
0.102809071921159,2205389
0.347576634146202,2212664
-0.208271789797444,2217034
-0.177687140356825,2218615
-0.664412113679727,2219842
-0.370378773287352,2224150
0.679169652873612,2228399
-0.0060139382201712,2228400
-0.14542035645752,2234271
-0.601742129965338,2234422
-0.581219283633847,2237571
0.100739882231548,2244172
0.0896154338561969,2247869
1.64869062954674,2250648
0.41656285636053,2250836
-0.390833091592343,2267382
-0.154706093027441,2269346
-0.234474242758006,2271329
-0.624385495258581,2274521
-0.4104980741192,2276121
-0.500557697882343,2278618
-0.598530156516527,2285214
-0.563671425878289,2286108
-0.713370854517882,2293123
-0.422700463818522,2294852
-0.529584608334251,2294873
-0.631950281336777,2296332
-0.519198083816787,2305114
1.25505852305314,2305115
0.235808716636402,2306459
-0.606623902754233,2306893
-0.316210061497465,2317120
-0.171859736862587,2319068
-0.582094202624086,2321962
-0.256454816922603,2331869
0.0208158796516112,2336735
-0.596121383631176,2339674
-0.420566387614793,2340155
-0.764627402980687,2340322
0.73301624063032,2350037
-0.513916731706964,2352038
-0.51834021603286,2359944
-0.286052790206603,2381907
-0.679732052174757,2393207
-0.554516558058032,2395415
-0.449346575102897,2395943
-0.591772784125078,2401405
-0.574373023535383,2405144
-0.515591033716968,2414406
-0.595431095058706,2419459
0.0262327955332589,2425694
-0.337757458502104,2426863
0.615889214393565,2430773
-0.43531724895212,2439458
-0.668089272409866,2443354
-0.69388807162706,2445526
-0.611388961647125,2448298
-0.690172201663484,2453577
-0.565423201230355,2474709
-0.627922668068144,2480056
-0.602187206256962,2480330
-0.637743713374625,2487135
0.16522998316263,2488660
-0.667086549362423,2490180
-0.695766310155442,2493534
-0.595195078246558,2498991
-0.681730330130489,2500377
-0.241394032372695,2504802
0.158395543821502,2510402
-0.814481384323732,2520618
-0.78956205020171,2559453
6.92172517348524,277752
0.875310324529147,308862
-0.674218380667015,58325
-0.725156104137801,92173
-0.370619021125367,923666
-0.547319308350816,965005
3.08929373800479,983079
