"lemd_prg_lbp.3D.m2_firstorder_Maximum_241","lemd_prg_wavelet.HHL_firstorder_Skewness_238","lemd_prg_lbp.3D.k_glszm_LargeAreaEmphasis_231","sub"
-0.476656442192434,-0.441572926241781,0.272790728871011,1916742
-0.542270040178927,-0.177081534793022,-0.324002524488764,1980052
-0.542270040178927,-0.0892309607895245,-0.314485296185207,1926770
-0.542270040178927,1.31002153333886,-0.368086707642544,2196212
-0.37703495047561,2.39224551936297,-0.214139268787232,2393207
-0.384861371907707,-0.826350173974539,-0.323332933907344,2146138
-0.542270040178927,-0.229177128934752,-0.354045995773021,2228399
-0.476656442192434,-0.151758472129706,-0.340660443547409,2234271
0.207780446657439,0.807701393186807,-0.378213630342033,2296332
-0.542270040178927,-0.00963103623840298,-0.246267892490597,1684230
0.0230698434871167,0.709223710562988,-0.297191584008224,1720713
-0.542270040178927,-2.8227171493317,-0.147816224754416,2186951
-0.384861371907707,-0.116673912059819,-0.303241440332283,2439458
0.112571820498639,1.46096109446259,0.113660219260199,2135748
-0.542270040178927,-0.389429524674751,-0.0143513345144883,2141116
0.789890290046922,-0.738836583180724,0.151516214304182,2108003
-0.542270040178927,-1.06313209134451,-0.353757665280292,2006164
1.12193965964257,-0.514342381683168,-0.325253853463054,308862
0.208351826923126,-0.185896260459983,0.195180213137405,1085983
0.643835426461312,1.47517177516554,-0.352686693688996,2004451
-0.504827157768498,-1.16963517987341,-0.381269357882934,2359944
-0.542270040178927,-5.35118998226136,-0.362974754495193,2069079
-0.542270040178927,-0.2030245138973,-0.314108770591167,2059713
-0.402880875485366,0.652701340985746,0.17197849560987,2294873
0.300197036622123,-0.298726871076573,-0.233577036391749,2033049
1.52749386178084,-0.2992265499185,0.831998425172327,1485662
-0.542270040178927,-1.08777730566817,-0.316274805545433,1526417
2.50823151498458,-0.103548767895882,-0.0816513203381328,1386095
-0.384861371907707,-0.475009175984429,-0.223677361383714,2132424
-0.542270040178927,0.820471522813306,-0.260679498926342,2138375
-0.542270040178927,-0.34814704582527,-0.338194163510291,2490180
-0.476656442192434,0.0464675059911533,-0.413549542539506,2034136
0.183040434741793,-0.413852401191813,-0.357571670246314,2510402
1.30485539776457,-0.337436454764815,-0.280884450833383,1330263
-0.219174699646451,-1.46732686207847,5.50222825412164,1768972
-0.542270040178927,-0.188302777946878,-0.392987490467997,2306459
-0.542270040178927,-1.94792117447606,-0.0106849053802255,2181724
-0.542270040178927,-0.556382789443355,-0.327066592049157,2217034
-0.280646739182348,-0.53524283785884,-0.309104341709424,2218615
-0.384861371907707,-0.115196375085382,-0.263978995438424,92173
-0.476656442192434,0.407582582656966,0.0424721716356687,2414406
1.27207240961222,0.183884603434252,-0.299212983263471,2381907
-0.476656442192434,-0.960102062499848,-0.268214569525316,2002465
-0.542270040178927,0.979551923241347,-0.093384453628126,2474709
0.814170958881175,0.315228938737514,0.156557009388487,2176530
1.36149598143448,-0.463690666949084,-0.253344399576347,1279943
-0.542270040178927,-0.853771831897978,-0.294562024936034,1976407
1.96102546580905,-0.543230556957284,-0.131524471376031,2250836
-0.542270040178927,1.12305030608218,-0.348403855155254,1915938
-0.542270040178927,-0.592925890418861,-0.222607113547399,2133380
-0.32487454590302,-0.143845687946508,-0.375837785320695,2271329
0.187189788409864,-0.449109762812784,0.488228580300388,2286108
-1.02592164087229,0.639816033677308,-0.204285501489723,2040495
-0.542270040178927,-0.581537570702291,-0.333356105629155,1125173
-0.542270040178927,-0.292240835638226,-0.0853084149830376,1767700
-0.542270040178927,-0.0379374163773028,0.100751612086853,2138678
-0.542270040178927,-0.338961883729509,-0.161993617301071,2443354
-0.122486196877534,-0.367953552203664,-0.23263460899131,2234422
-0.542270040178927,-0.639988579147089,-0.234494631724772,2151024
-0.384861371907707,0.53258991334973,-0.233255262263006,2057358
-0.542270040178927,-0.367968858389177,-0.0254785598434973,2425694
-0.476656442192434,-1.67088922865121,-0.320819843520526,2500377
