"mkm10d_ptv_wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis_233","sub"
-0.378457322295826,1085983
0.269456839123953,1125173
-0.493146754808757,1154608
-0.0344332948327688,1181124
0.173160463714963,1183075
-0.569800170977782,1232870
-0.297189161767421,1279943
-0.0598173400546424,1329352
-0.354262405434266,1330263
-0.273687108538451,1364384
-0.0377576508763287,1386095
3.10439915334712,1458656
-0.448110757471697,1485662
-0.420763268245397,1497807
0.287607233268074,1501387
-0.432541326940134,1518948
-0.124913201917426,1526417
1.14429601164673,1565177
-0.550500811574422,1606693
-0.630340529431864,1612262
-0.0618479779206883,1614566
-0.604581359687125,1644034
-0.347399400305082,1668599
0.615014543695262,1671370
-0.358859286159908,1684230
-0.600647566381103,1692385
1.78852970442968,1720713
-0.556832227445767,1738800
-0.349850421926791,1740845
-0.25886886997821,1742294
1.57136934506446,1767700
-0.135017945110267,1768972
-0.0306295506084422,1889409
-0.632387492214945,1915938
-0.291472701303692,1916742
-0.6668471845411,1919296
-0.495977925504289,1926770
-0.105100818035981,1938156
-0.598644502901044,1938561
-0.610403803270279,1966316
-0.461727683146016,1967281
-0.572860820559032,1973544
-0.384032966963802,1975401
-0.565438698187539,1976407
-0.418870625469446,1978972
-0.627864838777199,1979045
-0.668513001138999,1979422
-0.600954735063959,1980052
0.424461764230169,2001182
3.35878243508729,2002465
-0.635988411515641,2004451
-0.570424012714998,2006164
-0.305156992590101,2007309
-0.633413375725708,2009915
-0.14472312507335,2010259
0.629097280925477,2010554
-0.202225450597472,2026671
0.0534198501091799,2033049
-0.475237272048456,2034136
-0.534635238920365,2040495
-0.396283337265381,2047354
-0.401920543576281,2051378
-0.613902934913177,2055667
-0.541631304126815,2057358
-0.554709028493897,2059713
-0.123715508744323,2069079
-0.546868361510701,2070958
-0.525721775562605,2072215
-0.590418861250405,2075832
-0.450927039088012,2075846
0.205458710356899,2076301
-0.0513245578830353,2078198
5.27909108224785,2078899
1.50026407657219,2085349
2.11005744539347,2086044
-0.59597210902309,2091555
-0.589441586726135,2092954
-0.310287551093656,2096627
1.30582882965421,2100050
-0.26165073886265,2108003
-0.424918951696644,2109902
-0.526174736752225,2110540
0.0454990372841219,2116787
0.673213774042017,2119177
0.18828420401212,2131601
0.701877670208503,2132424
-0.47465155311932,2132982
-0.452705664097116,2133204
0.107490012760681,2133380
0.0399220123522329,2134220
0.541939013884297,2135748
6.9072830353324,2137799
-0.520419809404606,2138375
0.428566301845028,2138678
1.09303757673034,2139733
-0.386886699492228,2141116
4.22012137099296,2144796
-0.20743402508094,2145166
-0.467806741494951,2145694
0.486776532793818,2146138
-0.487669680558512,2151024
-0.570456801454398,215131
-0.11302186039648,2152442
-0.568255428527314,2157529
-0.326302440481189,2158101
-0.303018012842519,2158329
-0.650749075285698,2168082
-0.637371398768459,2172217
-0.518099216850758,2176530
-0.375297706727566,2176784
1.55220301448933,2181724
-0.144480764815894,2183291
0.101866520507553,2183356
-0.561061940724498,2185290
1.07727311883114,2186951
-0.260401001945775,2196212
-0.146037888106218,2199403
0.127300535007388,2200416
-0.601502441547335,2200813
-0.130086749709541,2205389
-0.0518063792145617,2212664
-0.576080632450639,2217034
-0.168625533621262,2218615
-0.65818421693405,2219842
-0.487373218196914,2224150
-0.60415154845481,2228399
-0.476437990807296,2228400
2.82997803380225,2234271
0.983799450122641,2234422
-0.261400303303195,2237571
0.260084394780525,2244172
-0.273018485562964,2247869
-0.31791190677342,2250648
-0.377622149112226,2250836
-0.28967733727225,2267382
2.19777332701938,2269346
3.74309590347864,2271329
-0.573896852931353,2274521
-0.247319641383459,2276121
-0.408947045609746,2278618
0.274598409792646,2285214
-0.560489100554742,2286108
-0.121009528230883,2293123
0.822944887464996,2294852
-0.140588709481155,2294873
-0.530052323898693,2296332
-0.516148474551951,2305114
0.126621826351391,2305115
-0.589003051311271,2306459
-0.215607776448072,2306893
-0.0798791816285064,2317120
-0.534042084821705,2319068
-0.0875412093147031,2321962
0.316357060928493,2331869
-0.563120617236122,2336735
-0.186645809525948,2339674
-0.592609707298713,2340155
0.754388030907442,2340322
-0.191731562594483,2350037
-0.00653105700264779,2352038
-0.288566418170728,2359944
-0.554917571425251,2381907
0.952047369229059,2393207
-0.294138432384505,2395415
-0.419510390502477,2395943
-0.507336258842592,2401405
-0.160710844654771,2405144
0.521174715746846,2414406
-0.512136683624875,2419459
-0.47116207896298,2425694
-0.53245366773594,2426863
-0.451170943536908,2430773
-0.218081658003209,2439458
-0.308333871913535,2443354
-0.0694531954081092,2445526
-0.555538808150575,2448298
-0.289653753548808,2453577
0.100735625078963,2474709
0.011876488229502,2480056
-0.188855810220152,2480330
-0.349418665212037,2487135
-0.602350857266237,2488660
-0.416053429960261,2490180
0.177959870590276,2493534
-0.325771241596166,2498991
0.412672259115683,2500377
-0.340173767588775,2504802
-0.27803641206425,2510402
0.352733931356392,2520618
0.509290838279243,2559453
-0.516340203467209,277752
-0.651212340139192,308862
-0.464397919577317,58325
-0.213830463978111,92173
-0.308520905131073,923666
-0.0910084102511376,965005
-0.371749268416025,983079
