"lemd_ptv4_wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis_240","sub"
2.04658671290393,1916742
-0.796985331214702,1980052
-0.0360518570180513,1926770
-0.855631196197578,1979045
-0.0511787611702642,2196212
1.02986788748029,2393207
-0.878084197429156,2146138
-0.639822155620926,2228399
-0.955492979254347,2144796
0.519180234803219,2234271
-0.115540187205895,2296332
-0.873127705656842,1684230
0.203591012082141,1720713
0.422305348182621,2186951
-0.551373656966936,2439458
0.139485512773034,2135748
-0.938959507907107,2141116
-0.719522636226866,2108003
-0.778524191066097,2006164
4.72708743728505,308862
-0.797127027566076,1085983
1.99508690110414,2004451
-0.567579119902721,2359944
-0.480099624620876,2069079
0.135795030043373,2059713
-0.817700830165553,2294873
-0.619085017082448,2033049
0.320551327016101,1485662
-0.582070178995251,1526417
-0.839131719102563,1386095
-0.486683762556021,983079
-0.900213818310412,2132424
0.383317802700527,2138375
0.0737345453957867,2490180
-0.255882066828628,2034136
-0.426332305079964,2510402
0.0135167231322995,1330263
1.21244323945311,1768972
-0.644151290146269,2306459
-0.582219069704105,2181724
-0.362422408063322,2217034
-0.577246693439394,2218615
0.233498651049553,92173
2.64835694367444,2414406
0.410001967706929,2381907
-0.750800915570863,2002465
-0.920801045918295,2474709
-0.637014506613849,2176530
0.102268764840032,1279943
2.9755263013125,1976407
1.02944366748653,2250836
-0.775623513248215,1915938
-0.669869926398219,2133380
-0.834774804050306,2271329
-0.293260820954113,2286108
-1.02110626144944,2040495
-0.580292416115297,1125173
-0.960154535603662,1767700
-0.481420271996721,2138678
-0.423292015375832,2443354
0.0596172767368726,2234422
-0.472336691284102,2151024
-0.757631682690358,2057358
0.647721020945799,2425694
0.101394911950213,2500377
-0.52064682988532,2183356
0.704050968611759,2131601
-0.941065144147393,2152442
0.029219830864706,2306893
-0.837717062141247,2009915
1.7695234914294,58325
-0.374728601150508,2395943
0.172906130090619,2480330
-0.603128136941595,2076301
-0.251355902885025,2205389
-0.390047250864545,1975401
-0.177789804332857,2250648
0.431623268990652,2185290
-0.367731453403609,2091555
-0.912703023804856,1232870
-0.592447775568882,2139733
-0.256090555732417,2559453
2.9646767660919,1938156
1.58098299003064,2158101
0.499745357361116,2199403
-0.499984820614402,2430773
1.25520463735789,1738800
-0.425513860718076,1565177
-1.09244773487328,1978972
-0.69015058526657,2487135
-1.07802271035523,1612262
-0.490753498184492,2051378
-0.505020426475916,1497807
-0.982730222681089,2026671
1.34278502614819,2340322
-0.671914590762109,2293123
0.961519598032392,2395415
-0.620749905287714,1966316
0.553566061872426,1973544
-0.500469945580702,2010259
-0.849491076683066,2145694
-0.0557472903360949,965005
-0.427642142660887,2096627
0.0912142144900494,2047354
-0.80895341961112,1364384
-0.121834263868368,2244172
0.227373755523628,2132982
-0.409380338360405,2134220
0.476812441501826,1889409
-0.505375190780154,1938561
-0.632647192206817,2055667
-0.926603144949688,2176784
3.83847799892326,923666
-0.627579526927254,2086044
2.99332217414566,2078198
-0.355948853059581,1501387
-0.966038675214433,1518948
2.29430050539662,1606693
1.74046791393816,2305115
3.7060618272218,2237571
-0.062852730435036,2285214
0.238447940569686,2426863
-0.804155726414592,1979422
-0.86088413639832,2480056
-0.41493820556407,1668599
0.54306274978786,2339674
1.42267485327926,2133204
0.785712024254623,2294852
0.54466541573926,2445526
-0.108949864749456,2200416
-0.155911702230204,2168082
-0.382811376723813,2075846
-0.0649491378295705,215131
0.814271564358259,2274521
-0.847472592009372,277752
0.464798667094108,2078899
-0.159788039136662,2172217
-0.532511253013963,1614566
-0.773310354198401,2100050
-0.387456811099135,2183291
-0.525607724798604,2336735
-0.427869365953768,2352038
-0.276154111073539,2305114
0.601296754079147,2448298
-0.732635955379433,1329352
-1.00698965120487,1183075
-0.512768437050803,2110540
0.172883435145348,2070958
1.10642601427809,2340155
-0.435786602655605,2075832
-0.871855133489671,2498991
-0.428027362164275,1919296
-0.321780361333223,2401405
0.0613276852722524,1644034
0.145154209152595,2405144
-0.459442446106038,2158329
1.61737841120057,2319068
-0.921069672374391,2504802
1.82183194810618,2331869
0.172103361140394,2317120
-0.335133506045161,2072215
-0.56196474055743,2228400
-0.923196793772011,2145166
-0.571050097947294,1692385
-0.647110026409238,2109902
0.613270744043632,2219842
1.27010191897441,2520618
-0.67987968822691,2419459
0.126267872062164,2276121
0.474749230108867,2350037
1.66170903760214,2001182
1.16483284069198,2278618
0.348995500513473,1740845
0.344121781027013,2321962
-0.256769634593487,2212664
-0.488111967302917,2453577
-0.679813139478095,2224150
-0.537776643637107,1967281
-0.86340257431989,1742294
-0.520647404325182,2488660
0.18795169920252,2085349
-0.183982965769488,2247869
-0.873284835463755,2157529
2.06511551524147,2119177
0.282914906472823,2010554
-0.434273128122122,2493534
-0.619774345410325,2200813
-0.366327985762884,2116787
0.479166014804406,2267382
0.0644051493996175,1181124
-0.681048994913183,2137799
-0.215448546769397,1458656
1.22144817913633,2269346
-0.492715461655647,2092954
-0.614995205007591,2007309
-0.728130216764308,1671370
2.04658671290393,1154608
