"lemm_prg_m012_228","sub"
-0.030693930601337,1085983
0.360617808643057,1125173
-0.516986838958251,1154608
-0.0490708554252061,1181124
0.289470311036407,1183075
-0.0311856381493912,1232870
-1.23525945279622,1279943
-0.0850566372651027,1329352
-0.284387431431084,1330263
0.12356268091349,1364384
-0.0306305587983715,1386095
-0.0598517647958089,1458656
0.118299849408765,1485662
0.065506598387578,1497807
0.793355157782359,1501387
0.12908556195311,1518948
0.149209813871903,1526417
-1.15585113286429,1565177
0.0517164836879587,1606693
-0.0451280714975979,1612262
0.0613892438890503,1614566
0.147261608727811,1644034
-0.0571370292131753,1668599
0.109171976162191,1671370
0.22714404039908,1684230
0.0401997825370826,1692385
0.345924848304218,1720713
-0.134573577755118,1738800
-0.0660137795689706,1740845
-0.0602251426136873,1742294
0.0727924795029935,1767700
-0.141172790659879,1768972
0.825462229881267,1889409
0.334706237360783,1915938
-0.0829600561451514,1916742
-0.0263636490544116,1919296
0.0249768316902752,1926770
-0.0636915944060884,1938156
-0.278811225232409,1938561
0.13400755393482,1966316
0.0339031720422384,1967281
-0.0383036538187521,1973544
-0.100892639205247,1975401
0.18768000103154,1976407
0.0826094691460471,1978972
-0.106757617454862,1979045
0.110937711059928,1979422
-0.192315628956926,1980052
-3.67320619202105,2001182
0.0245202876828756,2002465
0.0716751286115269,2004451
0.0310044687117701,2006164
0.235485115260136,2007309
-0.0979807682788235,2009915
0.559000834353567,2010259
-0.683763989047748,2010554
-0.0178184458740573,2026671
-0.316288343605097,2033049
5.5798363101242,2034136
-1.71158664466283,2040495
0.0376966343840541,2047354
-0.111027258362683,2051378
0.125901111534589,2055667
-0.0897510282124237,2057358
-0.133701826452672,2059713
5.64857069448065,2069079
0.0952042677619447,2070958
-0.0909888620126541,2072215
0.0567161471497904,2075832
-0.0316553324508745,2075846
0.096989589763508,2076301
0.315739062039722,2078198
-0.699564265882912,2078899
0.303047964765916,2085349
0.67187808780493,2086044
0.231641703709746,2091555
-0.284689694753462,2092954
0.0368987223840812,2096627
0.196147497372727,2100050
0.097349517968525,2108003
-0.214734752357821,2109902
-0.157770566069574,2110540
0.191230727025557,2116787
0.266428107382041,2119177
0.203059045552494,2131601
0.0139593854574588,2132424
-0.0309870818454451,2132982
0.0971303853516002,2133204
-0.0893056563461892,2133380
1.92191592321691,2134220
-0.0117982815107127,2135748
0.140250349278396,2137799
-0.0786393421031153,2138375
-0.232776625043338,2138678
-0.423791847782551,2139733
-0.368562728231968,2141116
-0.321850198210598,2144796
-0.00881879658369694,2145166
-0.182150024670528,2145694
-0.172178164171215,2146138
-0.300517675187673,2151024
0.0574139291040133,215131
0.0308308576836477,2152442
-0.0969430364215035,2157529
0.0218768350753385,2158101
-0.362712896589431,2158329
0.0109085619014041,2168082
-0.484341805727476,2172217
-0.00270032503381608,2176530
0.064399813763136,2176784
0.108106658593081,2181724
-0.417476623330676,2183291
-0.528590376394268,2183356
-0.00344637230104205,2185290
-0.23931495695009,2186951
1.50522720174487,2196212
-0.124605875456499,2199403
0.144465848446675,2200416
-0.0599061739461275,2200813
-0.0525968840237867,2205389
-0.0725583131157333,2212664
0.0909537341627769,2217034
-0.0686188730131034,2218615
-0.307234249075995,2219842
0.276391129990749,2224150
0.0298458147121606,2228399
-0.0442057578061206,2228400
0.0981878722257437,2234271
-0.0293997446516607,2234422
-0.209757741690998,2237571
-0.267429021714063,2244172
-0.0108665584964985,2247869
0.0822264259948703,2250648
0.060375859256083,2250836
-0.307227748446717,2267382
-0.0886429167250601,2269346
1.02213299980621,2271329
0.0169652498397959,2274521
-0.0298115680536121,2276121
2.76629879082644,2278618
-0.0053698421546456,2285214
0.0389892462649395,2286108
1.21303290203747,2293123
0.0301877953722801,2294852
0.355657148685944,2294873
-5.62385571377354,2296332
0.0577749749350851,2305114
0.0633532741432215,2305115
-0.10089741316855,2306459
0.0286787126538676,2306893
-0.447349910992533,2317120
-0.210833534991903,2319068
-0.327211966368638,2321962
0.0265317642276185,2331869
0.0489148690011767,2336735
0.836476905427675,2339674
0.0129905098084361,2340155
-0.124615900933443,2340322
0.113864666004032,2350037
0.361836101704492,2352038
0.00377996561182091,2359944
-0.176262015766706,2381907
0.133651744260441,2393207
-1.626219126319,2395415
-0.00320837237879269,2395943
-0.0140995379599841,2401405
0.166262014442193,2405144
-0.0318635043758288,2414406
-0.0123893722242884,2419459
0.0973881274800319,2425694
0.246822045325182,2426863
0.0408816668846397,2430773
-0.0399551825170609,2439458
-0.287046593351861,2443354
-1.44283355026264,2445526
0.233789693489149,2448298
-0.440595117168258,2453577
-0.573804917563156,2474709
0.104354094630349,2480056
-0.600793724032724,2480330
-2.06742520596157,2487135
-0.821681973684243,2488660
-0.126281483520336,2490180
-1.72791583644671,2493534
-2.13998020370907,2498991
-0.944716273164978,2500377
-0.11665515009241,2504802
6.1154819176256,2510402
-0.041690265791506,2520618
0.495459296046057,2559453
0.060323622220629,277752
-0.0620418044777192,308862
-0.380618594975715,58325
-0.221531772387983,92173
0.262192666221964,923666
0.314887977016226,965005
0.0389169627489029,983079
