"lemm_gtv_density_388","sub"
-0.157106175810323,1085983
-0.18613612777372,1125173
-0.0288439033012647,1154608
-0.176534938680643,1181124
-0.0281392578377701,1183075
-0.00507580469741664,1232870
-0.184273583004886,1279943
-0.153026036437831,1329352
-0.176074848545425,1330263
12.881598503322,1364384
0.262002711519916,1386095
-0.183926588180937,1458656
-0.164523340184193,1485662
-0.168596956161486,1497807
-0.170331771881928,1501387
0.343109528733003,1518948
-0.143594118009803,1526417
-0.181896023253203,1565177
-0.187025194099502,1606693
-0.171800539266239,1612262
-0.162540864205406,1614566
-0.161461366761797,1644034
-0.179403948079757,1668599
0.0160807534766227,1671370
-0.0314301237002691,1684230
-0.0952029243352067,1692385
-0.18268483778905,1720713
-0.18116747581108,1738800
-0.185687888230424,1740845
0.00693894277081116,1742294
-0.147458915896489,1767700
-0.18479992687675,1768972
-0.18283608830503,1889409
-0.0501644685311211,1915938
-0.180841656179094,1916742
0.32752169772471,1919296
0.0972550115624668,1926770
-0.186010396540435,1938156
-0.166551371572405,1938561
-0.0253431115115646,1966316
-0.138088619308129,1967281
0.427366371891272,1973544
-0.118299704880171,1975401
-0.168475730847486,1976407
0.0653954146907341,1978972
-0.0818608461888309,1979045
-0.171381759960171,1979422
3.40169238348872,1980052
-0.185574113399154,2001182
0.914772218443918,2002465
-0.125176969216846,2004451
-0.0835027771919766,2006164
-0.182375311298308,2007309
-0.157976026399597,2009915
-0.183414925088822,2010259
-0.177821453982114,2010554
-0.159836178661138,2026671
-0.172181186958904,2033049
-0.187831079959024,2034136
-0.150725755914895,2040495
1.7707568219467,2047354
-0.164791957996722,2051378
-0.176540539319739,2055667
-0.178723828986131,2057358
-0.178775861972689,2059713
-0.0876564076138113,2069079
-0.171166344440758,2070958
-0.166234736739328,2072215
-0.181429251864438,2075832
-0.178676034258667,2075846
-0.157722734266233,2076301
-0.186754948476081,2078198
-0.185503550640157,2078899
-0.173363897177105,2085349
-0.151367284931428,2086044
-0.162604112561656,2091555
-0.178525880019564,2092954
-0.182683418418161,2096627
-0.0418344634079902,2100050
-0.177798614243535,2108003
-0.181156377240199,2109902
-0.172553732931386,2110540
-0.179137806532954,2116787
-0.174015778901887,2119177
-0.167897632180151,2131601
-0.0961618792706854,2132424
-0.185960895696705,2132982
-0.181832419572718,2133204
-0.158953254985561,2133380
-0.177906121782212,2134220
-0.182556191830822,2135748
-0.0876203791312217,2137799
-0.182623637769847,2138375
-0.184397175473789,2138678
-0.129629336478261,2139733
-0.158557004022328,2141116
-0.00664110741383222,2144796
0.291157377178209,2145166
-0.173639296808033,2145694
-0.148301164321613,2146138
-0.181834190233601,2151024
-0.154282127750724,215131
0.313099479651524,2152442
0.162923357985329,2157529
-0.0820872732905124,2158101
-0.170794977646635,2158329
0.00353761258205466,2168082
-0.135947085386636,2172217
-0.144664031626057,2176530
1.36231240806516,2176784
-0.0318988040847854,2181724
-0.176663030481991,2183291
-0.176844593932266,2183356
-0.141303934540192,2185290
-0.160725852482002,2186951
-0.185224593578305,2196212
-0.17179468577411,2199403
0.0456789661789471,2200416
-0.146917162348869,2200813
-0.174714907351705,2205389
-0.168338304660368,2212664
-0.174657151232344,2217034
0.0367830538983632,2218615
-0.160948741316329,2219842
-0.179140574805719,2224150
-0.0789124218216601,2228399
-0.176374862492918,2228400
-0.171577464380667,2234271
-0.169237441864018,2234422
-0.169802905264074,2237571
-0.167120883390572,2244172
-0.165168480729372,2247869
0.00510434841938449,2250648
-0.176362583077454,2250836
-0.179898310466408,2267382
-0.173283949494618,2269346
-0.164301944769135,2271329
-0.178182153480224,2274521
-0.184522273786672,2276121
-0.133700858938384,2278618
-0.179310676014317,2285214
-0.17964098605825,2286108
-0.186447859074638,2293123
-0.186222534085467,2294852
0.00229254519970806,2294873
-0.180773519724034,2296332
-0.0747144943244844,2305114
-0.179087404452935,2305115
0.0796589030432153,2306459
-0.157397042249064,2306893
-0.187088155610033,2317120
-0.186969581026082,2319068
-0.183945967328117,2321962
-0.174604532498255,2331869
-0.0908819771483114,2336735
-0.186917515404611,2339674
-0.18106453656747,2340155
-0.183401002607948,2340322
-0.172178848747647,2350037
-0.138808772217514,2352038
-0.141443906882558,2359944
-0.179929741230258,2381907
-0.184935524218551,2393207
-0.185237261360412,2395415
-0.179948823305873,2395943
-0.177832967340777,2401405
-0.183366300528231,2405144
-0.184110991678923,2414406
-0.145470746839613,2419459
-0.178518772208397,2425694
-0.18719140196877,2426863
2.48489451101512,2430773
0.0812401232456015,2439458
-0.158796474021293,2443354
-0.185034035832342,2445526
-0.150347174703813,2448298
-0.171001714700517,2453577
-0.103712027347481,2474709
-0.122850676961377,2480056
-0.186041243114143,2480330
-0.183311726616381,2487135
-0.177468116759823,2488660
-0.160525717536633,2490180
-0.184949818670807,2493534
-0.121358625511128,2498991
-0.182184248906364,2500377
0.35157226888191,2504802
-0.185805495759041,2510402
-0.176928711863205,2520618
-0.184676026612127,2559453
1.0534375169045,277752
-0.164358798974352,308862
-0.185414563201349,58325
-0.184877154640679,92173
-0.178536116855127,923666
-0.17798018183301,965005
0.109354288168345,983079
