"letdfirst_ctv_original_firstorder_Maximum_229","sub"
0.688322822884392,1916742
-0.611112737167731,1980052
-0.691771491693082,1926770
-0.516148279122706,1979045
0.106938911038171,2196212
2.03873521879148,2393207
-0.723005226659584,2146138
-1.43013677763518,2228399
-0.280707929723797,2144796
-0.372142637184434,2234271
-0.106940746552182,2296332
-0.658509303294916,1684230
1.77897182377027,1720713
2.28269490786704,2186951
0.532079193018467,2439458
2.19636977246423,2135748
-1.21719803909062,2141116
-0.569188437600707,2108003
-0.717734487551892,2006164
-0.713012045886408,308862
-0.854374493294818,1085983
-0.331469784658764,2004451
-0.746678112871196,2359944
1.16270087412029,2069079
-0.346373206521796,2059713
-0.436749208455567,2294873
-0.0684682223699518,2033049
0.388634478308252,1485662
0.131847045217982,1526417
0.452093111869886,1386095
-0.539352490455075,983079
-0.314794074368365,2132424
0.131134835120292,2138375
-0.351943765763134,2490180
-0.691749252287564,2034136
0.17139667048473,2510402
0.128706346949873,1330263
0.162948441993627,1768972
-0.861743149656345,2306459
0.803686032439814,2181724
-1.1493409453266,2217034
0.868178661077739,2218615
-0.631111453939372,92173
1.85249914225962,2414406
-0.693431484850611,2381907
-0.7761744286017,2002465
-0.378160730141745,2474709
-0.766221059110005,2176530
-0.224675061120576,1279943
-0.756459882011674,1976407
-0.600270615137015,2250836
-0.512966945891429,1915938
-0.68963321403664,2133380
-0.238373436677225,2271329
-0.795543578004797,2286108
-0.157743511010879,2040495
-0.408932654243054,1125173
0.536444156832295,1767700
0.936223005145007,2138678
0.157133249291595,2443354
-0.608786385526356,2234422
-0.679506047709234,2151024
-0.946390720025658,2057358
-1.10503812761143,2425694
1.37868119457009,2500377
-0.0840561237139182,2183356
2.46406247651447,2131601
0.239922044656528,2152442
-0.4542082400292,2306893
-0.588219602952047,2009915
1.53221436256848,58325
-0.619138142393435,2395943
-0.562339798943507,2480330
-0.525640661430892,2076301
-0.0105367674808696,2205389
-0.501358525332319,1975401
-0.273561941978008,2250648
-1.01109695678078,2185290
-0.438396297266686,2091555
-0.76437985598159,1232870
1.34889521744674,2139733
0.425103259509394,2559453
2.10066564826532,1938156
-0.653627067382379,2158101
1.8312036759539,2199403
-0.489756419666135,2430773
-0.966622813274954,1738800
1.26720905729858,1565177
-0.537153534914444,1978972
0.176782999588999,2487135
-0.6557878590049,1612262
-0.313406719848848,2051378
-0.775062458325816,1497807
0.404529338360475,2026671
2.74933694070952,2340322
2.57121852175218,2293123
0.801909625604018,2395415
-0.395359203742092,1966316
0.056285782085735,1973544
-0.527354193898001,2010259
-0.51827008314543,2145694
-0.488575809249763,965005
0.83082469662488,2096627
0.683312092628863,2047354
0.466770570390436,1364384
0.883914276004032,2244172
-1.01054316812733,2132982
-0.794812148667771,2134220
1.78339060145425,1889409
0.240416253668032,1938561
-0.582611154353161,2055667
0.0329626860300431,2176784
1.04260094575016,923666
0.755868564971164,2086044
2.21935049149918,2078198
-0.403319538114614,1501387
-1.45181058839526,1518948
0.389340648073581,1606693
0.964213356193232,2305115
0.170416489278579,2237571
1.27185077815885,2285214
0.336418001516092,2426863
-1.88132050171893,1979422
-0.799135379276185,2480056
-0.206441494201691,1668599
1.11181491781132,2339674
-0.135755877528495,2133204
-0.349808508272874,2294852
1.32424077722617,2445526
-0.565327017857488,2200416
-1.5492655852977,2168082
-0.675824465134089,2075846
-0.770581355394283,215131
0.329893893443113,2274521
-0.521687538459982,277752
-0.362456964240638,2078899
-0.540294233182553,2172217
0.533932476811607,1614566
0.0906646082893384,2100050
0.663665087937076,2183291
-0.953035909306456,2336735
0.661384038788422,2352038
-0.589064151240596,2305114
-0.622666520175013,2448298
-0.0470253170424715,1329352
-0.352443465985878,1183075
0.628572404272411,2110540
0.236233048946212,2070958
-0.909366502807698,2340155
-0.410920747272111,2075832
-0.28569532233156,2498991
-0.862106393279801,1919296
-0.317226131826089,2401405
-1.02568216295251,1644034
0.335980351980348,2405144
2.6797836117938,2158329
0.332398434889191,2319068
-1.20094103365719,2504802
-1.9611443175754,2331869
1.26701302105735,2317120
-0.475143482877642,2072215
-1.85700981132192,2228400
-0.759764767495828,2145166
-0.918082153286136,1692385
-0.547566793347399,2109902
-1.1302337266996,2219842
1.86958284954507,2520618
-0.97529316126067,2419459
-1.64433245443233,2276121
-1.03569154279884,2350037
0.0545291436104005,2001182
0.753189403007688,2278618
-0.497855956243565,1740845
-0.786664563992001,2321962
-0.267752515047777,2212664
-0.0776484293192045,2453577
2.15602254876503,2224150
-1.21053308144936,1967281
-0.0260944671630214,1742294
-0.318362537991987,2488660
1.32312606134466,2085349
-0.180651746057469,2247869
-1.53872410708232,2157529
1.46800013834037,2119177
1.84289611204497,2010554
0.0422771530940868,2493534
-0.808347160690061,2200813
0.152600803534977,2116787
0.130626623520128,1154608
-0.439167263324632,2267382
2.55485800698689,1181124
1.09735326389246,2137799
1.68553117684405,1458656
3.08103849768753,2269346
0.111019979230948,2092954
-0.59853237221933,2007309
-0.789898887411734,1671370
