"letdfirst_prp_original_firstorder_Maximum_246","sub"
-0.241850407249706,1916742
-0.270807229879315,1980052
-0.485715568412998,1926770
0.679368515895827,1979045
-0.164270006955848,2196212
-0.238652623386832,2393207
1.41752805821904,2146138
-3.36759486248163,2228399
1.29253426025119,2144796
1.74817914611893,2234271
-1.30349632262086,2296332
0.748548599882129,1684230
0.261584468697397,1720713
0.482577996600753,2186951
-0.202839099473877,2439458
-0.0581407098717961,2135748
-2.14348538720197,2141116
0.26489280637472,2108003
-0.205217484476714,2006164
0.968272828108356,308862
-0.852932773839719,1085983
0.149494724782969,2004451
0.181547645414034,2359944
0.255770047493594,2069079
0.535271373509227,2059713
-1.47334540941178,2294873
1.32513462918268,2033049
0.322223531521387,1485662
0.921992163634822,1526417
-0.210365626809475,1386095
0.725079857784791,983079
1.35677962397434,2132424
0.136892181132595,2138375
0.0243081966359214,2490180
-0.233660557027411,2034136
1.57052448707039,2510402
0.104928531228705,1330263
-0.147539135571244,1768972
-0.359055777669115,2306459
0.585734755828913,2181724
-1.43044757342102,2217034
-0.0118464478702803,2218615
0.808028325646571,92173
0.553681835197849,2414406
0.53057667917477,2381907
1.54751274015257,2002465
-0.231843217852985,2474709
-0.194179838937824,2176530
0.71689769312179,1279943
0.749971019548255,1976407
0.432423219046536,2250836
-1.17355893643683,1915938
0.146746841737188,2133380
1.32097851519562,2271329
-0.486423822261718,2286108
-1.18441212855268,2040495
0.234987703967694,1125173
0.857794095661174,1767700
0.713617141697296,2138678
-0.305713857795662,2443354
1.55196149658964,2234422
-0.144707302570104,2151024
-2.5326025938349,2057358
-0.894396957423841,2425694
-0.395592926549375,2500377
0.585670906567092,2183356
0.442560471754374,2131601
1.23662477237691,2152442
1.76824909741803,2306893
0.889495254155352,2009915
0.0120911133439475,58325
-0.198419902880242,2395943
-0.994802877621875,2480330
1.30397805803889,2076301
-0.75829870867094,2205389
1.70907975000967,1975401
0.201603407988286,2250648
-0.498397332443781,2185290
-0.140484383336879,2091555
-1.42657523393095,1232870
0.431960311898333,2139733
0.339751336285019,2559453
-0.108367613443995,1938156
0.77185476284057,2158101
0.114867141788655,2199403
-0.910131662084663,2430773
-0.628749147632783,1738800
0.906826190361703,1565177
0.404837381955475,1978972
-0.899809364756917,2487135
0.454060433244598,1612262
-0.132830748674511,2051378
-0.172572775780067,1497807
-0.950263879123572,2026671
0.891754808587579,2340322
0.428516590138074,2293123
-0.110995483525428,2395415
0.277539689790249,1966316
0.917786389110792,1973544
0.701475140407649,2010259
-0.267678024853212,2145694
0.524676534425005,965005
1.34495095702511,2096627
0.194501360004425,2047354
2.0001626226834,1364384
-0.00285907307208975,2244172
-1.09425933564875,2132982
-0.410899013480379,2134220
0.0753947004552313,1889409
-0.0777459804320871,1938561
-0.978452737020722,2055667
0.617269196806116,2176784
0.241274491469597,923666
0.253065913016098,2086044
-0.33144392791583,2078198
0.411172647600613,1501387
-3.18602677576064,1518948
-0.382421060314428,1606693
0.0500199396531598,2305115
0.406113184798159,2237571
0.689966310964395,2285214
-0.822429971398423,2426863
-2.76361720426139,1979422
1.01505009795161,2480056
1.38572580506031,1668599
0.497353188743652,2339674
-0.256800002468875,2133204
-0.238643755433801,2294852
-0.393031270517237,2445526
1.47317860186482,2200416
-2.47251423089411,2168082
-0.249428368712881,2075846
-0.0769656005653847,215131
1.03644196544916,2274521
-0.0830484251475814,277752
0.688372444206342,2078899
-1.46690727551148,2172217
0.527941123534043,1614566
1.0941983523413,2100050
-0.518900039850781,2183291
-0.615526438467127,2336735
-0.254957833025963,2352038
0.563474420131227,2305114
0.015405362989958,2448298
0.198885675982809,1329352
1.30078677734157,1183075
0.00489624745169876,2110540
0.051026156723711,2070958
-0.742440443864557,2340155
0.0152492870166175,2075832
-0.103596654713473,2498991
-0.604098011798017,1919296
0.333547907541604,2401405
-2.30826732563114,1644034
-0.0185925953391741,2405144
-0.993645905349802,2158329
-0.679448417503085,2319068
-1.12551295811332,2504802
1.0049217131968,2331869
0.181329493769479,2317120
0.817253361585983,2072215
-3.32478511482432,2228400
1.04166341619364,2145166
-0.989551867033958,1692385
-0.0887073615749124,2109902
-0.905279118186259,2219842
0.175300468102333,2520618
0.624969536021114,2419459
-2.67010345715882,2276121
-1.65407429217763,2350037
0.892623276787719,2001182
0.640609649182942,2278618
0.551885779110696,1740845
0.651765534095574,2321962
0.561741030912157,2212664
-0.422953517633457,2453577
0.049172163343424,2224150
-1.78286534763323,1967281
0.430600559100291,1742294
-2.15946662095705,2488660
0.507687310008772,2085349
0.60978760043254,2247869
-3.34552903055375,2157529
0.626465264098961,2119177
0.861388572622955,2010554
-0.598003954475314,2493534
-0.533223557585983,2200813
0.73038998805958,2116787
-0.507112756682362,1154608
-0.098841658298407,2267382
1.260869164766,1181124
1.08637681776821,2137799
0.0809401270837682,1458656
0.93620217157123,2269346
-0.524427139376388,2092954
-0.138473131589515,2007309
-0.210022732625621,1671370
