"lemdfirst_prg_original_firstorder_Kurtosis_244","lemdfirst_prg_original_shape_Flatness_242","lemdfirst_prg_original_shape_LeastAxisLength_240","lemdfirst_prg_original_shape_SurfaceVolumeRatio_236","lemdfirst_prg_original_shape_Sphericity_227","sub"
-0.442711828970339,-0.310135452200856,0.677223862063798,-1.03305457050963,0.27157862488709,1916742
-0.332305675975565,0.468613531450938,-2.04292022748968,0.298606137036551,2.26736587772638,1980052
-0.514702352275608,2.84964260983316,-0.841474728241041,-0.315798338208773,1.43567374449709,1926770
2.85062082292175,0.0573668448000064,1.20463963926196,1.38238840853188,-1.67546335306405,2196212
0.274248922880027,-0.536563652911634,0.798667878648583,-0.0744798186410225,-0.792603778980048,2393207
-0.461753774422211,-0.598949273915394,-0.774618376716532,-0.112778283142443,0.11016991083759,2146138
-0.506284188993352,1.20381274182398,-0.836811521621161,-0.460774765790896,1.0446493989686,2228399
-0.471005400326888,0.343779171843127,0.209954565832741,-0.0645485898598313,-0.160039481654322,2234271
-0.436889771386143,0.570615316427289,0.917399327305452,3.09560793018485,-1.80279686320165,2296332
-0.531010253520342,1.80180862000305,-0.755087875573107,-0.262380957344454,0.985321869855975,1684230
-0.171529606192122,-1.19190119731126,0.104163156606245,-0.286375679402087,-0.303619704452546,1720713
-0.197284774474388,0.77990289333199,0.0886851727937718,-0.30052389171012,0.0446228725659195,2186951
2.08760896067807,0.294303373386066,-1.19153612814454,-0.58193079356746,1.6474487849597,2439458
-0.189377165157141,1.96013133537285,1.73499549928869,-0.158095403510815,-0.734635559153553,2135748
-0.410344632058691,0.590171394763454,-0.197361066109192,-0.152939530663933,0.0817545821612186,2141116
-0.497557694294433,1.51649364770679,0.936741605216513,-0.461030178744528,-0.2234824446437,2108003
-0.528385921480804,0.861942698842227,-0.9169238501355,1.0935418011783,-0.366423068222787,2006164
-0.541651469472636,0.654557482028563,-0.0628821129719227,-0.249715336380976,0.0112032239376817,308862
-0.279326471580045,1.31168292717136,0.199391858272318,-0.883493588008831,0.810057323802183,1085983
-0.521954785369851,0.953760217246064,-0.529146734510361,-0.2590328915466,0.571140534001014,2004451
-0.535885184431522,-0.756044369234142,-0.983153842392481,0.720309105261632,-0.350642888036409,2359944
-0.00676314616306606,-1.04130732793521,-1.4265110965697,1.73170958923749,-0.262687711808617,2069079
