"mkm7d_ptvper_wavelet.HHH_glcm_ClusterShade_235","mkm7d_ptvper_original_gldm_LargeDependenceLowGrayLevelEmphasis_229","sub"
0.250121134622262,-0.164499714029035,1085983
0.307036666751865,-0.196430433228334,1125173
0.286859945866659,0.0593058886875053,1154608
-0.0213446385786758,0.0104018830863221,1181124
0.402144554724758,0.0648293127885086,1183075
0.313294283978803,-0.0937957513483401,1232870
0.0262834822048074,-0.153930547183989,1279943
-2.05138205499564,-0.172377066681679,1329352
0.107962004129699,-0.173801281001259,1330263
-1.6887749302838,-0.145896371935453,1364384
0.492921417855594,-0.0385784523038122,1386095
0.127865759793454,-0.188496701910553,1458656
0.228737484068221,-0.180742089062392,1485662
-0.057660379175514,-0.1907740223571,1497807
0.321288650584855,-0.19464679619025,1501387
0.333442094292677,-0.16638043524021,1518948
0.497250352209492,-0.143283261930566,1526417
0.232852265706147,3.13780597783339,1565177
0.238985304696405,-0.0441684456608902,1606693
0.225514110058309,-0.191282743491347,1612262
0.192538837615345,-0.117302097025233,1614566
0.175108833120082,-0.16911747253151,1644034
0.542779162184926,-0.192658076430521,1668599
0.447517585808419,-0.174534179616256,1671370
0.766219294364816,-0.178993427959592,1684230
0.220877133821003,-0.134178584472877,1692385
-1.38319069288672,-0.183430670098151,1720713
0.0983340793340961,-0.191960073270184,1738800
0.302331253536006,-0.194996688823679,1740845
-0.455549168426434,-0.173524059560949,1742294
0.841977870829737,0.561622436442264,1767700
0.284951616761057,-0.123906286508029,1768972
-0.0361543800136944,0.699543313633321,1889409
0.183855740377832,-0.158231338544697,1915938
-0.251030762865618,-0.195170619748153,1916742
0.231142953772794,-0.162392769975636,1919296
0.260027695106434,-0.162304570546518,1926770
0.0287959568053105,-0.102805327114893,1938156
0.219154058777906,-0.166674126034542,1938561
0.225886832165301,-0.16721743537933,1966316
0.144156933158027,-0.178575951653175,1967281
0.464191752274085,-0.105785634387461,1973544
0.791697762047411,-0.170300435222803,1975401
0.262023452560736,-0.173803710600621,1976407
