"lemdfirst_ctv_original_firstorder_Minimum_250","sub"
0.764281581742963,1916742
-0.515449904012443,1980052
1.06075963886736,1926770
1.29197004254908,1979045
-0.514831611962362,2196212
-1.55799535821859,2393207
0.99511875187224,2146138
0.717850473318652,2228399
1.34954627716736,2144796
0.886217868344422,2234271
-0.550648299955331,2296332
1.02631747574782,1684230
-0.111438163944815,1720713
-2.07059280850963,2186951
0.151470541147519,2439458
-2.13957338048183,2135748
-0.0481614963534416,2141116
0.184371857001085,2108003
1.10038617777505,2006164
0.0874541203827011,308862
0.567504490998427,1085983
-0.19786141536171,2004451
1.08846223553378,2359944
-0.341901032396192,2069079
-0.27046312336883,2059713
-1.32275377276858,2294873
-0.414706752365542,2033049
-0.542574644806792,1485662
0.283847906677631,1526417
-1.03425369726968,1386095
0.0796330006099973,983079
-0.0300955275574165,2132424
0.14698868673118,2138375
0.953260746296141,2490180
0.945111559418877,2034136
-0.496655015886892,2510402
0.445606351734707,1330263
-1.39530955138106,1768972
1.10585925261521,2306459
0.586616612384619,2181724
1.34159698233985,2217034
0.369241485154262,2218615
0.515421473014631,92173
-2.20847704742114,2414406
0.955785489697092,2381907
1.34511691348775,2002465
0.693972376144637,2474709
0.755042296542455,2176530
1.29676653620709,1279943
0.0874046814329907,1976407
0.765212376783807,2250836
-0.42254603027101,1915938
0.500043823403785,2133380
1.04725456577147,2271329
1.03646253133561,2286108
-1.03245237998162,2040495
0.477311061898061,1125173
-0.789981187377897,1767700
-1.77987286313299,2138678
-1.64283000190266,2443354
0.896717236405141,2234422
0.419039019839408,2151024
-0.305740713184865,2057358
1.06196539991863,2425694
-0.571595460876145,2500377
0.800429693806213,2183356
-2.43951130577085,2131601
-0.365423748971826,2152442
0.455459351304768,2306893
0.00108671666825547,2009915
0.101788364011697,58325
0.91961967726913,2395943
0.657307291360341,2480330
0.436777226709574,2076301
0.443006839551787,2205389
-0.223286463375738,1975401
1.01650414940901,2250648
0.67105772813257,2185290
1.25659433778038,2091555
0.318095365785348,1232870
0.0433362665189136,2139733
0.0275539499493261,2559453
-2.15723159238475,1938156
1.00198954516718,2158101
-1.94227790556475,2199403
0.983770071484089,2430773
1.07625539263584,1738800
-2.26236565519482,1565177
0.763527485170528,1978972
-1.82421006418878,2487135
0.838706427315328,1612262
0.458931064217764,2051378
0.699219008387976,1497807
-1.60692031070028,2026671
-1.91438159671728,2340322
-2.15921693243007,2293123
-1.21783180915634,2395415
0.0797355406538411,1966316
-0.183938705212249,1973544
-0.239624662950865,2010259
0.339800895780423,2145694
1.06256934856972,965005
-0.192446782242965,2096627
-0.788400209112622,2047354
0.497282566508849,1364384
-0.642137365234682,2244172
0.186015854668306,2132982
1.02457124321545,2134220
-2.00836305645518,1889409
-0.182960149704555,1938561
0.223418251196432,2055667
0.757136127616301,2176784
0.657148903614046,923666
-1.46130719227872,2086044
-2.06395597283705,2078198
1.09514473356964,1501387
0.759350199098702,1518948
-0.24469047681332,1606693
-0.899495174917865,2305115
0.607467642014329,2237571
1.18381989862797,2285214
-0.632208986525248,2426863
0.0601223158391029,1979422
0.929354572681549,2480056
-0.377459844386043,1668599
-1.52667120589652,2339674
-0.179018156411906,2133204
-0.725550028757176,2294852
-1.10224354473344,2445526
0.842502850367163,2200416
0.656194609813155,2168082
1.07365374420201,2075846
1.05967625447555,215131
0.601545038946246,2274521
-0.169093745025597,277752
0.596301153311222,2078899
0.0479490425983743,2172217
-0.362415907685742,1614566
0.184686801421462,2100050
-1.66826504451917,2183291
1.08375302298452,2336735
0.661815391145044,2352038
1.0927808193446,2305114
0.999989709133522,2448298
0.641824660276035,1329352
-0.316541292624375,1183075
-1.61679329947532,2110540
-0.228332898390621,2070958
1.03323496138415,2340155
-0.0139088492077908,2075832
0.702290326844059,2498991
0.572328450739613,1919296
1.04729881668324,2401405
-0.0836516431353613,1644034
-0.304957166867695,2405144
-1.61282170384858,2158329
-1.45377095682425,2319068
1.11772734715402,2504802
0.330410241943765,2331869
-0.0231682762026254,2317120
0.0404407309951344,2072215
0.657175148982411,2228400
0.686092356882463,2145166
0.350232208990615,1692385
0.361859822712317,2109902
-0.830540504987993,2219842
-2.46895813223441,2520618
1.05306730450686,2419459
0.493954287585753,2276121
1.05269590202663,2350037
-0.423508258718151,2001182
0.876525087592867,2278618
0.391867434114316,1740845
1.28549048835,2321962
0.479627978603007,2212664
-0.756010067584765,2453577
-1.79057364913697,2224150
0.567580785673906,1967281
-0.175092337590458,1742294
-1.97631036627697,2488660
-1.19353271796304,2085349
0.807427136262446,2247869
1.0523248047251,2157529
-2.08003919560672,2119177
-2.07058308093851,2010554
-0.339259252963056,2493534
1.11456050776424,2200813
1.03194710726206,2116787
-0.542780487841234,1154608
0.476980553363886,2267382
-1.12503474796058,1181124
-0.00588478559831352,2137799
-0.664712501940866,1458656
-1.82475663924391,2269346
-0.330205516413314,2092954
0.384088429002476,2007309
0.996547903733313,1671370
