"lemdfirst_gtv_original_firstorder_Kurtosis_248","sub"
-0.371606888476427,1916742
-0.269761868021506,1980052
-0.439245332074661,1926770
-0.430042377339489,1979045
2.12781033689658,2196212
2.38030626712987,2393207
-0.426182865517326,2146138
-0.382387269491674,2228399
-0.439955189987588,2144796
-0.25270730320333,2234271
-0.332118263375883,2296332
-0.432073735008809,1684230
0.490322557807047,1720713
0.795373940646456,2186951
-0.431364264790152,2439458
1.93577835861282,2135748
0.0403147944569194,2141116
-0.432209166362834,2108003
-0.422644027222969,2006164
-0.418565325197004,308862
-0.190054546624452,1085983
-0.435611499697109,2004451
-0.431017152997556,2359944
0.385456611387881,2069079
-0.351983420702206,2059713
-0.290412915320759,2294873
-0.416355490729472,2033049
-0.430549239641966,1485662
-0.415318977468734,1526417
-0.231979119346454,1386095
-0.429242095234162,983079
-0.429041043890165,2132424
-0.385278293114173,2138375
-0.41951518221216,2490180
-0.470088333909693,2034136
-0.311525303846249,2510402
-0.422187425534314,1330263
0.0220958734131492,1768972
-0.440218912120163,2306459
-0.424550421636532,2181724
-0.419791663841531,2217034
-0.429834313229854,2218615
-0.414386129108504,92173
0.187017011692481,2414406
-0.412102850932812,2381907
-0.432721885494692,2002465
-0.317418038621733,2474709
-0.432666703293196,2176530
-0.393961716818703,1279943
-0.420956230409854,1976407
-0.407238410979254,2250836
-0.429848743657849,1915938
-0.399543761261682,2133380
-0.434719003500216,2271329
-0.430100949110635,2286108
-0.349809952850359,2040495
-0.416690529136249,1125173
0.0241031493831105,1767700
2.33890080210139,2138678
0.133711280136705,2443354
-0.417148403150266,2234422
-0.395386436892739,2151024
-0.396109967625544,2057358
-0.429890622055625,2425694
1.51756437996856,2500377
-0.368868610539982,2183356
-0.222554646855032,2131601
-0.442611468709649,2152442
-0.174601376101287,2306893
-0.4297248508244,2009915
-0.370532406084136,58325
-0.413098555904477,2395943
-0.37940180811601,2480330
-0.418777594049574,2076301
-0.407960243913475,2205389
-0.435922260697125,1975401
-0.428229992987416,2250648
-0.427567550668424,2185290
-0.427902825296593,2091555
-0.415828182652697,1232870
-0.419345031887385,2139733
0.46084087568441,2559453
2.49424005820813,1938156
-0.414143722513205,2158101
0.309799959381581,2199403
-0.429885503448617,2430773
0.334716542840445,1738800
0.404604118507167,1565177
-0.436746598196845,1978972
1.6666677524327,2487135
-0.431318237794355,1612262
-0.422376381872744,2051378
-0.427982120626627,1497807
1.07371842046926,2026671
1.69758497421718,2340322
0.0202272692850558,2293123
1.19162945208887,2395415
-0.41785381076517,1966316
-0.383861197208965,1973544
-0.41126055089566,2010259
-0.421944742544619,2145694
-0.430178856577345,965005
-0.428455981016728,2096627
-0.412596769555076,2047354
-0.445915657452672,1364384
-0.199221518451462,2244172
-0.303833585126663,2132982
-0.415857410774134,2134220
0.323587512652716,1889409
0.197876799638789,1938561
-0.429532129619234,2055667
-0.425228874584886,2176784
-0.378631744958655,923666
2.41923460162484,2086044
1.86182127354504,2078198
-0.396408822793525,1501387
-0.417662525137794,1518948
-0.279254829903536,1606693
3.33113728472225,2305115
-0.405219884758212,2237571
-0.418776864879498,2285214
1.59976501858122,2426863
-0.424692156736173,1979422
-0.331007288785066,2480056
-0.29231219539601,1668599
2.7536567858858,2339674
-0.398529777540891,2133204
-0.0664692381345037,2294852
0.484792744428743,2445526
-0.431042846961149,2200416
-0.440473460849882,2168082
-0.416288570606838,2075846
-0.404232330413545,215131
-0.386749705063388,2274521
-0.444016462986528,277752
-0.407316603796663,2078899
-0.429626763444653,2172217
-0.0824991515256089,1614566
-0.429834920768574,2100050
0.46398916582266,2183291
-0.426672495022024,2336735
-0.422758212402423,2352038
-0.43617999864803,2305114
-0.417017306926149,2448298
-0.427885003854589,1329352
-0.431240716159797,1183075
-0.14973805268877,2110540
1.44032290571473,2070958
-0.420119272964954,2340155
-0.430382838459767,2075832
0.0811348195659867,2498991
-0.434071734734181,1919296
-0.408214995720608,2401405
0.260494607456107,1644034
7.13855739750141,2405144
-0.430200042052163,2158329
0.962406946924046,2319068
-0.437796106618839,2504802
-0.12539032225958,2331869
-0.404063405784508,2317120
-0.412788063760967,2072215
-0.422558345995731,2228400
-0.431774989125371,2145166
-0.427548360678339,1692385
-0.427080747577774,2109902
0.204213966985785,2219842
0.324889945838936,2520618
-0.428220578060001,2419459
-0.349582263239462,2276121
-0.427915831229382,2350037
0.135126870952572,2001182
-0.450723062359977,2278618
-0.350382065037378,1740845
-0.411774064798667,2321962
-0.376770133344231,2212664
2.66323330079437,2453577
0.693860165831714,2224150
-0.419565944766398,1967281
-0.434179891400647,1742294
0.0968306132202377,2488660
-0.392861965252918,2085349
-0.326108035143575,2247869
-0.415015987858998,2157529
1.30423351950337,2119177
0.9991015233002,2010554
0.67599142063826,2493534
-0.429564166784006,2200813
-0.424172091278638,2116787
-0.37244297190356,1154608
-0.255198055444303,2267382
-0.406057543997676,1181124
-0.412730217343928,2137799
6.19245449402114,1458656
-0.197254591426844,2269346
-0.431501124360107,2092954
-0.428968763453782,2007309
-0.438741350159012,1671370
