"lemm_prg_eigen_max_226","sub"
-0.327583175613538,1085983
0.441293848571674,1125173
-0.570101808405909,1154608
-0.196476513064172,1181124
-0.542342532966855,1183075
-0.551303194413352,1232870
-0.0179558902217696,1279943
-0.296691595402068,1329352
-0.152570437740501,1330263
-0.579000617228215,1364384
-0.566551664807134,1386095
1.42787789740769,1458656
0.0977312595254576,1485662
-0.203637742819837,1497807
-0.285707030596415,1501387
-0.561543933497544,1518948
-0.439963863849527,1526417
-0.328717911774447,1565177
1.82985412547614,1606693
-0.382819908572472,1612262
-0.451788862962492,1614566
-0.268702723234942,1644034
-0.111493469736347,1668599
-0.528154330107239,1671370
-0.554349785075745,1684230
-0.541181253886924,1692385
-0.0490597138838739,1720713
-0.353376821516963,1738800
1.00951080966359,1740845
-0.537588768417677,1742294
-0.44817253990014,1767700
1.29765015026345,1768972
0.0287721697572259,1889409
-0.526417824709697,1915938
0.991226073535627,1916742
-0.569574275988922,1919296
-0.563198504498859,1926770
3.06273416717581,1938156
-0.349266526921609,1938561
-0.509929188478198,1966316
-0.431494912451723,1967281
-0.573031985985964,1973544
-0.503605889695589,1975401
-0.363033207032313,1976407
-0.535009581606026,1978972
-0.477503374726571,1979045
0.215754438685038,1979422
-0.580304705050834,1980052
1.68773762834187,2001182
-0.570916976154359,2002465
-0.497850317997103,2004451
-0.560027424722537,2006164
-0.0232578153151323,2007309
-0.315112993501663,2009915
-0.369376323248444,2010259
-0.257407604843361,2010554
-0.419055456932242,2026671
-0.314768071913786,2033049
-0.270697724761297,2034136
-0.558158374168706,2040495
-0.576352714509884,2047354
-0.32012420344183,2051378
-0.0190745939083765,2055667
0.336111016481996,2057358
-0.331167110261155,2059713
-0.568232664805734,2069079
-0.250101878410955,2070958
-0.459197936026566,2072215
0.0922872345531253,2075832
-0.193203291946564,2075846
-0.42201263957093,2076301
1.03851382006303,2078198
0.454080334190657,2078899
-0.00914318780192124,2085349
-0.338721574677054,2086044
-0.170257812912168,2091555
0.129395781620348,2092954
0.456993251390917,2096627
-0.525663302605757,2100050
0.00641801248738662,2108003
-0.0937187120651422,2109902
-0.117165413210025,2110540
0.0920443493432452,2116787
-0.0395450790191045,2119177
-0.20628129688495,2131601
-0.487609722867404,2132424
0.964777455314856,2132982
0.22553372346046,2133204
-0.448958690539153,2133380
-0.321328219846119,2134220
0.171164861692687,2135748
-0.485201816118316,2137799
-0.100345675581867,2138375
0.69112920435405,2138678
-0.428296205588695,2139733
-0.461064436403903,2141116
-0.505580670127579,2144796
-0.559205685687641,2145166
-0.0606911904153014,2145694
-0.46589635473561,2146138
-0.0129497834525463,2151024
-0.306314772529162,215131
-0.569824956656448,2152442
-0.56168140415007,2157529
-0.524723290148584,2158101
5.42719664251421,2158329
-0.545952794703993,2168082
-0.444931640418773,2172217
-0.515487929653928,2176530
-0.576269976349883,2176784
-0.526431790116131,2181724
-0.38312555699761,2183291
-0.169032178354732,2183356
-0.461762628121866,2185290
-0.354459986335494,2186951
-0.137634011050313,2196212
-0.0567031888779632,2199403
-0.47948280415657,2200416
-0.380946059954747,2200813
0.00661208450579476,2205389
-0.205704323540908,2212664
-0.012258233209338,2217034
-0.55046326517956,2218615
-0.407125355710098,2219842
0.213619287229704,2224150
-0.530792844323883,2228399
-0.105887532578305,2228400
-0.405394762735668,2234271
-0.374331506666364,2234422
-0.179804584346733,2237571
-0.0885714745841369,2244172
-0.388788542071624,2247869
-0.53641332849979,2250648
0.221507945656921,2250836
-0.314813672545751,2267382
-0.13761015130289,2269346
-0.381349454700498,2271329
-0.186878379562068,2274521
0.585133702205502,2276121
-0.290870560018579,2278618
0.179241205658366,2285214
0.572980958108861,2286108
3.26863144661788,2293123
3.16791544418611,2294852
-0.425542314668567,2294873
-0.480878511120554,2296332
-0.43498373128164,2305114
0.00645448398939564,2305115
-0.573208120898022,2306459
-0.338504258999535,2306893
0.866819982685603,2317120
6.97108726662945,2319068
0.177939403465077,2321962
-0.0269734521481609,2331869
-0.545006257281271,2336735
0.964605301429094,2339674
0.0386715919246526,2340155
0.522404681747461,2340322
-0.178125063319286,2350037
-0.30197275264679,2352038
-0.481067799618654,2359944
0.198681015093691,2381907
0.0939573660527247,2393207
-0.0692708451030833,2395415
-0.0511075850422831,2395943
0.245056540893488,2401405
0.638040115519745,2405144
0.363854384976873,2414406
-0.378584810776055,2419459
0.0635163459297791,2425694
5.32716950812708,2426863
-0.507106898784299,2430773
-0.544409821524175,2439458
-0.213725974940078,2443354
-0.175472944836095,2445526
-0.376461760770243,2448298
-0.538807018830006,2453577
-0.543081255881834,2474709
-0.537867572591205,2480056
-0.414958442344941,2480330
-0.462869816556056,2487135
-0.556899104976132,2488660
-0.420935669531497,2490180
-0.400518358474762,2493534
-0.559756239430423,2498991
0.276092792627897,2500377
-0.560575923830436,2504802
2.71373134612886,2510402
0.18182900188873,2520618
0.0273079061443292,2559453
-0.576127772161242,277752
-0.340997005366872,308862
2.88590217477164,58325
0.738354222673701,92173
-0.0110784826231126,923666
-0.0772371543345093,965005
-0.534043088071382,983079
