"mkm10d_gtvper_gradient_firstorder_Minimum_230","sub"
-0.524939252060942,1085983
0.318827666073579,1125173
3.09830688226253,1154608
-0.306056109895398,1181124
0.420327186553213,1183075
0.168451894181901,1232870
-0.461545008490252,1279943
-0.259630624940298,1329352
-0.18410684714503,1330263
6.60468647057713,1364384
-0.0391855165613607,1386095
-1.01164510644805,1458656
-1.10421074372833,1485662
-0.00202613832051318,1497807
-0.743351358806109,1501387
1.61630504536906,1518948
0.33421872185225,1526417
0.77068099300151,1565177
-0.668725153358722,1606693
-0.503359024781304,1612262
-0.917964933439478,1614566
-0.853707621131272,1644034
-0.102006436658761,1668599
1.08436676537997,1671370
0.36954978089369,1684230
0.799974930350367,1692385
-0.445794987569552,1720713
-0.40754297727909,1738800
-0.187182506415868,1740845
-0.274804451517202,1742294
0.924507763900805,1767700
0.641262788474859,1768972
0.308319004072076,1889409
-0.748264215709223,1915938
-0.551031637150761,1916742
2.02679423204738,1919296
0.436091668154991,1926770
-0.523911586747637,1938156
-0.638678569458367,1938561
-0.781323778207659,1966316
1.76870871512471,1967281
0.0369055239805685,1973544
-0.0920068756939989,1975401
-0.919140820733822,1976407
-0.554790350945414,1978972
2.38239386321344,1980052
0.358086288626954,2001182
2.27379967740893,2002465
-0.498714594270684,2004451
2.19363986905749,2006164
-0.00858288757503311,2007309
-0.436383317087693,2009915
-0.715045638883208,2010259
-0.943351562862762,2010554
0.590914524792004,2026671
-0.157762357093199,2033049
-0.472140009264069,2034136
3.21232042095773,2040495
2.05789873172991,2047354
-0.534064048149082,2051378
0.342723516239213,2055667
-0.312447305617294,2057358
-1.21068540305182,2059713
2.96513506771102,2069079
-0.117266176693829,2070958
-0.634453977177398,2072215
0.00262860605822871,2075832
-0.385920962884281,2075846
0.0261332735350212,2076301
-0.676745514929604,2078198
0.616302376993467,2078899
-0.451604991506395,2085349
0.166457064493033,2086044
0.489449667415539,2091555
-0.0274747041167922,2092954
-0.349991274177668,2096627
1.31346733568326,2100050
-0.796251401056373,2108003
0.397391483079679,2109902
0.895902622816779,2110540
0.423645062232092,2116787
-0.292108357682459,2119177
-0.483115240887381,2131601
-0.414301112783315,2132424
-0.357595572181973,2132982
-0.68873570560601,2133204
-0.216455497042871,2133380
-0.0171103299404469,2134220
-0.653182685742891,2135748
-0.41894894580713,2137799
-0.577901815491156,2138375
-0.293043623496823,2138678
0.65177591627493,2139733
-0.664636608441268,2141116
0.063981979683386,2145166
-0.360946728693036,2145694
-0.514329790606049,2146138
-0.777131243980695,2151024
-0.340080816527189,215131
4.63852550725843,2152442
-0.160529344620166,2157529
1.22597511139747,2158101
-0.773035256065628,2158329
0.242125342770534,2168082
-0.286849879868751,2172217
-0.692436310855011,2176530
0.521313565511688,2176784
1.07326649139675,2181724
0.264743123917448,2183291
-0.230757323285123,2183356
-0.204914172286808,2185290
0.35481243296253,2186951
-0.327221549550907,2196212
-0.270829678134692,2199403
0.719274335058062,2200416
-0.670709881836543,2200813
-0.876181965081327,2205389
0.0457276027229267,2212664
-0.585587880140669,2217034
0.369944047110114,2218615
-0.567343285405644,2219842
0.605914929524521,2224150
-0.503848242381565,2228399
-0.0361589810747693,2228400
0.877925019038992,2234271
0.105053610126793,2234422
-0.899200976963859,2237571
-0.544614284608682,2247869
0.137991851764134,2250648
-0.81496320338443,2250836
-0.508000584421417,2267382
0.112791031459837,2269346
0.60982675641293,2271329
-0.534957739505349,2274521
-0.0624259576228855,2276121
0.444179654675616,2278618
-0.461616142281727,2285214
-0.57669530557806,2286108
0.238337069642503,2293123
-0.465692884731537,2294852
-0.194309389287557,2294873
0.418553413893457,2296332
-0.864758399180358,2305114
-0.602440740650568,2305115
0.816661705684954,2306459
-0.627401311624766,2306893
-0.366200847036713,2317120
-1.12248800790645,2319068
0.229963697327681,2321962
-0.834965355677269,2331869
-0.941062309454024,2336735
-0.270509735565863,2339674
-0.604808677176931,2340155
-0.944533723540808,2340322
-0.0445244850778279,2350037
-0.893601237709588,2352038
0.22751760932638,2359944
-0.85943617740852,2381907
0.739953746969431,2393207
-0.335989507067764,2395415
-1.12916570587218,2395943
-0.830009542045074,2401405
-0.303180348274742,2405144
-0.369122223599884,2414406
-0.959793623068682,2419459
-0.301388499763639,2425694
-0.825497862713311,2426863
0.234248631053586,2430773
0.632580638087628,2439458
-0.898483684651024,2443354
-0.51625795230201,2445526
-0.648978402212552,2448298
2.58895873800065,2453577
-0.503759670709968,2474709
0.147019357240616,2480056
0.168316537953878,2480330
-0.708660610216477,2487135
0.390638982987933,2488660
-0.391634845823378,2490180
0.33566011150431,2493534
-0.226380734360039,2498991
-0.606011571919757,2500377
-0.297875511218758,2504802
-0.502313921587877,2510402
-0.37631417953642,2520618
0.887972853159703,2559453
0.0712440061260229,277752
-0.573634957616598,308862
-0.45043952440871,58325
-0.458535166584022,92173
-0.352848747289903,923666
-1.23202003799235,965005
