"mkm6d_ptv2_wavelet.LHH_gldm_LargeDependenceHighGrayLevelEmphasis_227","sub"
-0.620281161136079,1085983
0.101839889076747,1125173
-0.488640860241692,1154608
-0.344611331742992,1181124
-0.632873034457143,1183075
-0.713988545293087,1232870
-0.399519976844348,1279943
-0.0806929681286387,1329352
0.180995813296273,1330263
-0.154721450403559,1364384
-0.604733307028465,1386095
-0.380525362377154,1458656
0.0911087148827977,1485662
-0.328628189020444,1497807
-0.512402891234259,1501387
-0.69305627865863,1518948
-0.596317705802714,1526417
0.385347598879308,1565177
0.755643123939806,1606693
-0.315025946742414,1612262
0.218034045342986,1614566
-0.165804770880057,1644034
-0.201098302446035,1668599
0.722651817246662,1671370
-0.427840593996248,1684230
-0.526878966354852,1692385
6.48769537342049,1720713
-0.308389970571985,1738800
0.445480814238464,1740845
-0.571336959514887,1742294
-0.418277319057004,1767700
3.25553855901922,1768972
1.14017446640761,1889409
-0.504011517711479,1915938
4.13912818500511,1916742
-0.438780566558672,1919296
-0.0220983000745589,1926770
2.03097729892945,1938156
-0.387414000976187,1938561
-0.433629126283337,1966316
-0.466597188261052,1967281
-0.0664212763713328,1973544
-0.475751975424792,1975401
6.30671974889995,1976407
-0.436974388914392,1978972
-0.573174966940919,1979045
-0.719105799843925,1979422
-0.16510791173294,1980052
4.30873006260837,2001182
-0.57184456931416,2002465
-0.375911984196236,2004451
-0.579083195398107,2006164
-0.033384884044557,2007309
-0.640915419183435,2009915
-0.321531761385895,2010259
0.0727643943051193,2010554
-0.455429334979441,2026671
-0.455652466015885,2033049
-0.27640003400022,2034136
-0.671562845893288,2040495
0.348669258644895,2047354
-0.567380715837668,2051378
-0.545032571300795,2055667
-0.527095617423042,2057358
-0.328922891336113,2059713
-0.338401444473844,2069079
-0.305331455394536,2070958
-0.329856780796823,2072215
-0.309654695915562,2075832
-0.409813981196658,2075846
-0.608023129533961,2076301
2.18225697779891,2078198
0.25634376887801,2078899
-0.14294595535835,2085349
-0.26482610324991,2086044
-0.321275743008259,2091555
-0.523143416959774,2092954
-0.28782298668548,2096627
-0.17910398920942,2100050
-0.558938922795223,2108003
-0.335915546158428,2109902
-0.229034704368557,2110540
-0.542359778659602,2116787
0.223656899987454,2119177
0.490400699037331,2131601
-0.581877252247865,2132424
0.145346564375378,2132982
0.208756818471411,2133204
-0.396981479963172,2133380
-0.496953200542896,2134220
0.804351996031819,2135748
-0.293650429884202,2137799
0.110752185348097,2138375
-0.204357484064722,2138678
0.0628074834243275,2139733
-0.643770869885391,2141116
-0.367001948179885,2144796
-0.672978905126271,2145166
-0.502668972586062,2145694
0.390961640833307,2146138
-0.153367872519128,2151024
-0.534509694043744,215131
-0.424232910726451,2152442
-0.712030466815653,2157529
-0.135656325665936,2158101
-0.0690323962641316,2158329
-0.277674675301852,2168082
-0.35164387530278,2172217
-0.629623665777181,2176530
0.0433287537718582,2176784
-0.119037856580713,2181724
0.184201326924746,2183291
1.78041680927871,2183356
-0.273242565996542,2185290
0.192591487923996,2186951
-0.612629589371149,2196212
0.303675073481733,2199403
-0.558178920932931,2200416
-0.63219022367877,2200813
-0.0720116026534564,2205389
-0.470581962642855,2212664
-0.561051613617088,2217034
0.85740538129088,2218615
-0.582759266475243,2219842
1.57574733075558,2224150
-0.728542191978004,2228399
-0.267348216485484,2228400
-0.40092445611249,2234271
-0.500125755173054,2234422
2.52145731597059,2237571
0.705120115454089,2244172
-0.348018533389207,2247869
-0.242406030242329,2250648
0.324848536827347,2250836
0.206726446864854,2267382
0.937277541390913,2269346
-0.547054494775243,2271329
0.745067819216728,2274521
-0.252372766437938,2276121
0.606041566660755,2278618
0.186050984825902,2285214
0.163491559078137,2286108
0.22075048391839,2293123
-0.14807412472864,2294852
-0.407460574586288,2294873
-0.138783212803599,2296332
-0.0500257502722416,2305114
0.140482230484669,2305115
-0.515593601490709,2306459
-0.575990522965439,2306893
-0.453798583226429,2317120
-0.442976387146729,2319068
-0.51063894729467,2321962
0.684141858249235,2331869
-0.465582439736157,2336735
0.242463443018983,2339674
0.646722428666824,2340155
1.4969881709749,2340322
-0.526314010668576,2350037
-0.507240005242212,2352038
-0.0827018073859723,2359944
-0.542744848074903,2381907
0.752172144244931,2393207
0.518184867399122,2395415
-0.363775718171786,2395943
-0.57225573638346,2401405
-0.471357238783608,2405144
1.58922474753059,2414406
-0.628226198000302,2419459
-0.440390590719592,2425694
-0.491596198347701,2426863
-0.179489534947701,2430773
-0.471274280705405,2439458
-0.377585113165793,2443354
-0.223751823710974,2445526
-0.211006077335866,2448298
-0.447050396707786,2453577
-0.42525141290372,2474709
-0.598401919161049,2480056
-0.319308868164497,2480330
-0.418834652486578,2487135
-0.662292738066285,2488660
-0.280357303604561,2490180
-0.270048335365503,2493534
-0.243568355147144,2498991
-0.181753725868755,2500377
-0.727369245337396,2504802
-0.497234569143921,2510402
0.828441718095032,2520618
0.131605472507134,2559453
-0.677387214660901,277752
0.539455218666659,308862
0.779470230389158,58325
-0.135975998885995,92173
1.76160048966266,923666
-0.467891738540943,965005
-0.553127645375299,983079
