"letd_ctv_lbp.3D.m2_glcm_ClusterShade_226","sub"
-1.31307176472584,1916742
0.556084560694247,1980052
-0.803704592943475,1926770
-0.301253334295288,1979045
-0.214119799804695,2196212
0.4636670738922,2393207
0.364864174785205,2146138
0.642734793530452,2228399
0.412936802625454,2144796
-0.59957357232967,2234271
2.09612409609806,2296332
-0.0747700327500226,1684230
1.06327946937772,1720713
-0.00623469066553303,2186951
0.10903167076868,2439458
-0.462408162596325,2135748
-0.235119174299087,2141116
0.36958297492052,2108003
-0.00998754440423736,2006164
-1.20475089539424,308862
-0.228457883703132,1085983
-3.24133159623037,2004451
1.18869193505258,2359944
1.91095588849529,2069079
-2.88776031222929,2059713
0.690174164354977,2294873
-1.21054938510681,2033049
-0.133981217804723,1485662
-0.063962974331503,1526417
-1.54059282629967,1386095
-1.7728285074187,983079
-0.318468519065218,2132424
1.52937882828985,2138375
0.0123027075811221,2490180
0.429882323441502,2034136
-0.823076829815015,2510402
-0.886245199311345,1330263
0.480212599955314,1768972
-0.0497740969973715,2306459
0.160244545731001,2181724
-0.891587649633405,2217034
1.93488267713329,2218615
-0.370408359235839,92173
0.0984712743953727,2414406
0.165115908865416,2381907
0.192507859405598,2002465
1.08844013660308,2474709
0.640148842540404,2176530
0.0504397640718898,1279943
-1.91001034695284,1976407
-2.52170043451115,2250836
1.35547885305719,1915938
-0.669118095203743,2133380
0.102677222582158,2271329
-0.141184454238884,2286108
0.707011177192218,2040495
-0.745665313358965,1125173
-1.29535018458579,1767700
1.06492928044719,2138678
-0.034805400839345,2443354
-0.627002321672022,2234422
-0.0885132640316866,2151024
0.611494177009366,2057358
-1.52088672447136,2425694
-0.647846909531969,2500377
-1.45154208809449,2183356
-0.441756574386286,2131601
0.32913198233444,2152442
0.201087049094602,2306893
0.329906874318099,2009915
-1.58551006221928,58325
0.0350313866679977,2395943
-0.34214236564079,2480330
-0.395113062511678,2076301
0.524670698675602,2205389
-0.0429406832882656,1975401
0.227590169030984,2250648
0.723779110599749,2185290
-3.53899354890124,2091555
-0.0747972753516952,1232870
0.802973540586396,2139733
0.803840503389277,2559453
0.962764670972444,1938156
-1.26755651940688,2158101
1.58611221787814,2199403
-0.852369709852002,2430773
-0.0167130772911896,1738800
0.782369001992391,1565177
0.656144688954272,1978972
0.809989832633357,2487135
0.768757722242018,1612262
0.600570598970902,2051378
0.180424802643345,1497807
0.663384040033511,2026671
-0.376283935723869,2340322
1.09298804902574,2293123
0.73028140334824,2395415
-0.235223474874305,1966316
-0.871023034256853,1973544
-0.288059224988075,2010259
-0.529896912686977,2145694
-0.052655193789069,965005
0.585106243005277,2096627
1.42796257693657,2047354
0.722379318257722,1364384
0.949796973985355,2244172
-0.943313950610669,2132982
0.835967189459694,2134220
0.892451561350693,1889409
0.332627267603274,1938561
1.4637129685386,2055667
-1.08735119793183,2176784
-1.45921814750998,923666
0.839923233052884,2086044
0.843797971011076,2078198
0.249126760528279,1501387
-0.793915552626513,1518948
0.310405018181406,1606693
0.340314876369065,2305115
-0.930035729277293,2237571
0.935126518069988,2285214
-0.200672608412769,2426863
-0.338566629824171,1979422
-0.0507395001890343,2480056
-0.505344270286394,1668599
0.998136793192332,2339674
0.480140240585107,2133204
-0.0449145057998051,2294852
0.16875625867727,2445526
-0.0389029114383638,2200416
-3.33254789353558,2168082
-0.256905501332815,2075846
0.407919747602963,215131
-1.97054408924318,2274521
-0.419694166634571,277752
-1.52600765409413,2078899
0.703688280603795,2172217
1.38492256423386,1614566
-0.147842887962763,2100050
1.06024041693079,2183291
-0.770560483489761,2336735
1.40754020803385,2352038
0.266371596754796,2305114
2.08255130273341,2448298
-0.557577017770134,1329352
-1.04528626509552,1183075
-0.32285489887176,2110540
0.910098040848273,2070958
1.0529858161501,2340155
1.38565816729712,2075832
1.1126239086279,2498991
0.818668559315037,1919296
0.554654988189363,2401405
-0.135816075753061,1644034
0.0265015328686583,2405144
0.906911667663666,2158329
-0.341952291952068,2319068
0.298538262745869,2504802
-0.62603045758017,2331869
-0.323956210301026,2317120
-0.374333664290576,2072215
0.753579203754837,2228400
-0.290612513372321,2145166
0.0738050089377379,1692385
1.33131810775743,2109902
-0.0510215257863642,2219842
-1.37092894852501,2520618
0.6518755875646,2419459
0.267360559970774,2276121
-0.542093592977379,2350037
0.31270822110664,2001182
2.44768888417757,2278618
-0.234182281014518,1740845
-0.194544119272211,2321962
0.202445150252891,2212664
-0.966029547662204,2453577
1.08913022682353,2224150
0.951876932826512,1967281
0.130526213049912,1742294
-0.911066091653403,2488660
-0.0288009868005636,2085349
-0.956901020117614,2247869
0.752934427393458,2157529
1.29165080909097,2119177
-0.674710577946365,2010554
-0.250725270335001,2493534
0.755249893677495,2200813
-0.952989288734596,2116787
-3.42042176681083,1154608
0.215314964196467,2267382
0.48326707238924,1181124
-0.22881500230272,2137799
-0.888394707960011,1458656
-0.925597966278837,2269346
0.662621723136128,2092954
1.08998949810399,2007309
0.118905443512326,1671370
