"mkm5d_ctvper_lbp.3D.m2_firstorder_Range_243","sub"
-0.272498087355528,1085983
-0.221799888294485,1125173
-1.02376662675148,1154608
-0.835652564602717,1181124
-2.63407043201991,1183075
0.159268001974569,1232870
0.583903724780166,1279943
0.707675283003133,1329352
0.0119869631457269,1330263
-2.08347630194207,1364384
-0.620306777530138,1386095
0.707675283003133,1458656
0.707675283003133,1485662
0.918030927574332,1497807
-0.425729562958591,1501387
-6.67762287923003,1518948
0.707675283003133,1526417
-0.184236611622647,1565177
0.707675283003133,1606693
-0.59588699457488,1612262
-0.362634978681061,1614566
-0.296975773587603,1644034
0.811412070577781,1668599
0.707675283003133,1671370
0.707675283003133,1684230
-0.287800817176708,1692385
0.511191740120551,1720713
0.707675283003133,1738800
0.802981504080351,1740845
-0.296975773587603,1742294
-0.316531242576119,1767700
-0.3165312425761,1768972
0.552666583580437,1889409
-0.404341529810815,1915938
0.707675283003133,1916742
-0.717103053237976,1919296
-0.506368710320178,1926770
0.636622384968538,1938156
0.101872992892863,1938561
0.451619317720355,1966316
-1.54376365031269,1967281
-0.611520419658656,1973544
0.707675283003133,1975401
-1.37776851482455,1976407
-1.09505880982358,1978972
-0.59269274051743,1979045
0.707675283003133,1979422
-0.0762398138172482,1980052
0.707453335078703,2001182
0.41557020570185,2002465
-2.42188707018252,2004451
0.707675283003133,2006164
-0.268760543017493,2007309
-0.790605015573129,2009915
0.707675283003133,2010259
-0.296975773587603,2010554
-0.620306777530138,2026671
-0.13986939906849,2033049
0.707675283003133,2034136
0.0732025946676834,2040495
-0.177067005654891,2047354
0.0370265829375638,2051378
-1.08450625737502,2055667
-0.571440844513644,2057358
0.707675283003133,2059713
0.294149037557158,2069079
0.707675283003133,2070958
-0.214729953021646,2072215
0.707675283003133,2075832
0.399286206066175,2075846
0.248915682588353,2076301
-0.0762398138172482,2078198
0.707675283003133,2078899
0.707675283003133,2085349
-0.52178906382364,2086044
0.995980370804597,2091555
0.707675283003133,2092954
-0.359927533166964,2096627
0.707675283003133,2100050
-0.595261223169638,2108003
0.707675283003133,2109902
0.557795103924869,2110540
-0.00599669596157853,2116787
0.183316515745233,2119177
-0.0762398138172482,2131601
0.415724478229726,2132424
0.18572535993939,2132982
-0.717103053237976,2133204
-0.115350629238051,2133380
1.37337942262652,2134220
0.737187662558244,2135748
-0.229516759819834,2137799
-1.03318628720185,2138375
0.707675283003133,2138678
0.707675283003133,2139733
0.252721679565399,2141116
0.707675283003133,2144796
-0.683939215146805,2145166
0.241202546545469,2145694
0.769995801953386,2146138
-1.13227940599224,2151024
-0.621388396233811,215131
-1.52425757354757,2152442
-0.275449766362342,2157529
0.707675283003133,2158101
-1.96515907554072,2158329
-5.03833504941392,2168082
0.700347247428552,2172217
-1.36563077805865,2176530
0.530625258573423,2176784
-0.946927320619422,2181724
0.467728847965672,2183291
0.125729245973811,2183356
0.831150892603189,2185290
-1.0625259870093,2186951
0.707675283003133,2196212
0.202997395575785,2199403
0.707675283003133,2200416
0.707675283003133,2200813
-0.184236611622647,2205389
-1.24191727271914,2212664
-0.386798914080314,2217034
-2.21531519287678,2218615
0.925003786636499,2219842
-0.0817765500807556,2224150
-0.391116440220945,2228399
0.0697730211527073,2228400
0.707675283003133,2234271
0.707675283003133,2234422
-0.251466344828174,2237571
-0.184236611622647,2244172
-0.976041621264741,2247869
-2.64666209101038,2250648
0.707675283003133,2250836
0.707675283003133,2267382
0.352412589429394,2269346
-0.0881651146516432,2271329
-0.004183888708809,2274521
0.285841720321232,2276121
0.801993766107615,2278618
-0.16013827360553,2285214
0.707675283003133,2286108
0.707675283003133,2293123
-0.290194628781815,2294852
-0.862648957202176,2294873
0.424722400997132,2296332
0.707675283003133,2305114
0.244114297451511,2305115
-1.11596706635709,2306459
0.707675283003133,2306893
0.733652718182656,2317120
2.13173793942262,2319068
-0.534265104173963,2321962
0.962440603316767,2331869
-0.0569538706092791,2336735
0.557795103924869,2339674
-0.73658684496907,2340155
-0.43786846206789,2340322
0.707675283003133,2350037
-0.620306777530129,2352038
0.394038879469892,2359944
0.338749904747786,2381907
0.966137847057168,2393207
0.707675283003133,2395415
-0.00810923702858142,2395943
0.583903724780166,2401405
0.45763673207324,2405144
0.707675283003133,2414406
-2.59438627163599,2419459
0.707675283003133,2425694
0.707675283003133,2426863
0.252721679565399,2430773
-1.36787750825054,2439458
0.707675283003133,2443354
0.707675283003133,2445526
-1.02404674711071,2448298
0.707675283003133,2453577
0.707675283003133,2474709
0.627399992510877,2480056
0.707675283003133,2480330
0.138823144320095,2487135
0.707675283003133,2488660
0.241234756714303,2490180
1.43201807391151,2493534
0.707675283003133,2498991
0.349978543671225,2500377
0.707675283003133,2504802
-0.184236611622647,2510402
0.707675283003133,2520618
-0.594101022411133,2559453
-0.717103053237976,277752
0.707675283003133,308862
0.139132189689368,58325
0.707675283003133,92173
0.443862457770987,923666
0.908354126954883,965005
0.707675283003133,983079
