"lemm_ptv_m012_248","sub"
-0.182581729559009,1085983
0.0220642972271836,1125173
-0.152515645667602,1154608
-0.234302463411702,1181124
0.731492417262494,1183075
-0.154554894659151,1232870
-0.404884813403511,1279943
-0.0419684070129692,1329352
-0.259637220794158,1330263
0.0495842119587871,1364384
-0.139928528603546,1386095
0.0127458147995254,1458656
0.284814034587208,1485662
0.0271668332358103,1497807
0.828757841469901,1501387
0.164846274427416,1518948
0.320641915696276,1526417
0.208494858152217,1565177
0.0647610562454309,1606693
-0.0726863291365273,1612262
0.137301028797656,1614566
0.318563238087608,1644034
0.31329446676533,1668599
0.161648139917847,1671370
0.327770687846594,1684230
0.00844716936370265,1692385
0.0884187899406507,1720713
-0.00206909478005689,1738800
0.0335338761189252,1740845
-0.108417804147915,1742294
0.0655532542233863,1767700
-0.249443464908785,1768972
0.182522583902466,1889409
0.805233811808013,1915938
-0.290020957575373,1916742
-0.148182511626757,1919296
-0.005412846162271,1926770
-0.200051644235737,1938156
-0.271899154836712,1938561
0.433132731074012,1966316
-0.0381267359007913,1967281
-0.167860853953725,1973544
-0.421245071297349,1975401
0.418870907897105,1976407
0.0238365666203689,1978972
-0.314320504415556,1979045
0.271229360409561,1979422
-0.26324336131206,1980052
-5.53416794293157,2001182
-0.0350055828559707,2002465
0.121758920766384,2004451
-0.0853257581781187,2006164
0.111068944031934,2007309
-0.374859581683505,2009915
0.105129166785208,2010259
-0.831560964995991,2010554
-0.279513082961664,2026671
-0.292469271689156,2033049
0.265032499641087,2034136
-0.420277964430451,2040495
-0.0230967398929189,2047354
-0.433350401985615,2051378
0.257006151737544,2055667
-0.364049443862257,2057358
-0.114039419479581,2059713
0.635299894402394,2069079
0.170283067659317,2070958
-0.216378952528487,2072215
0.582289955410839,2075832
-0.0340102726434913,2075846
0.209358941550642,2076301
0.191136445818796,2078198
-0.534588711108439,2078899
0.730710562324813,2085349
1.35790065131184,2086044
0.607090195697212,2091555
-0.836120032786033,2092954
0.0288572143423028,2096627
0.457804209148933,2100050
0.227227323193484,2108003
-0.172677492846764,2109902
-1.13283662134631,2110540
0.499105092430025,2116787
0.544048790068901,2119177
-0.160589188004648,2131601
-0.0794643630746096,2132424
-0.0773598515095624,2132982
0.0718230942710407,2133204
-0.129854693420387,2133380
1.1270376405327,2134220
-0.154379404363376,2135748
0.283617134692846,2137799
-0.229192229222177,2138375
-0.660045006180011,2138678
-0.796174289953803,2139733
-0.524572599053445,2141116
-0.923057534178086,2144796
-0.12895284465427,2145166
-0.549882642403064,2145694
-0.404062168141632,2146138
-0.221146174329067,2151024
0.121920597052304,215131
0.0785043409917289,2152442
-0.351223594780786,2157529
-0.101338107142572,2158101
0.170162931691826,2158329
-0.0722141722198666,2168082
-1.39398802488658,2172217
-0.28365207328352,2176530
-0.0260907462353417,2176784
0.235569880529552,2181724
-0.134474315148443,2183291
-0.372806901126774,2183356
-0.118035291856314,2185290
-0.557436242641919,2186951
0.121948345419126,2196212
-0.196165719208186,2199403
0.428243969053393,2200416
-0.252616625382877,2200813
-0.222521929914814,2205389
-0.246544349223333,2212664
0.172920160328262,2217034
-0.274578769553764,2218615
-0.230344018765338,2219842
0.50855988568587,2224150
0.0238817100636841,2228399
-0.256061529093262,2228400
-0.0561323747178476,2234271
-0.0538207316467675,2234422
-0.607034484331237,2237571
-0.619194622130499,2244172
-0.117174916678303,2247869
0.152442987145017,2250648
0.0981756720849581,2250836
-0.207927480146835,2267382
-0.327048416672081,2269346
1.78162385703084,2271329
-0.114386030841074,2274521
-0.0914415535960908,2276121
4.52447738888305,2278618
-0.15072650929206,2285214
0.0343948358095152,2286108
3.78550636455557,2293123
-0.0495439234438803,2294852
0.632434389973405,2294873
-1.14220899662372,2296332
-0.00887803274434742,2305114
0.105356453869972,2305115
-0.107262876943703,2306459
-0.00350400877350389,2306893
-0.268196398975165,2317120
-1.01653288020766,2319068
-0.26613325287672,2321962
0.0796532835391734,2331869
-0.113658319710264,2336735
0.804236505780638,2339674
-0.0886333674990052,2340155
-0.130381544042661,2340322
0.228465782813265,2350037
0.955339601160762,2352038
-0.0248097200565544,2359944
-0.623041568384163,2381907
-0.0860538779508534,2393207
-0.0854552830853849,2395415
-0.218139394321182,2395943
-0.166091654595042,2401405
-0.0907792772215389,2405144
0.105716398524924,2414406
-0.114169425430953,2419459
0.0900760767535741,2425694
0.437025866048182,2426863
-0.0520328360068703,2430773
-0.252327778185253,2439458
-1.02995100312153,2443354
-0.33289031316838,2445526
0.474170373058329,2448298
-0.0946199870415625,2453577
-0.624766946317406,2474709
-0.0303639249267552,2480056
-0.123141818046412,2480330
-0.318365272411017,2487135
-0.0778386220332664,2488660
-0.261010692529867,2490180
-0.364774513378202,2493534
-1.04804576535823,2498991
-1.95015083351592,2500377
-0.427881387301348,2504802
9.59060204655078,2510402
-0.201095867391709,2520618
0.0504924444103122,2559453
0.110492972475159,277752
-0.243586362472245,308862
-1.07403675612726,58325
0.141725155430312,92173
0.504812986144311,923666
0.00183179064838606,965005
-0.0173278403281528,983079
