"mkm10d_ctvper_wavelet.LHH_glcm_ClusterShade_246","mkm10d_ctvper_lbp.3D.m2_firstorder_Range_228","sub"
-0.17529465818694,-0.195159534030906,1085983
-0.133954660035963,0.118677257801322,1125173
-0.101042444652777,-0.455953198546293,1154608
-0.0286831737325161,-0.218540266026281,1181124
-0.157137628520436,-1.91175167556366,1183075
-0.205709809595507,0.0769571215266423,1232870
0.0863497982056634,0.730572566202023,1279943
-0.0275118865892733,0.518970542293535,1329352
-0.0801765272870097,-0.0864593335231894,1330263
-0.394013089164526,-1.93341717973416,1364384
-0.287236063612554,-0.506650749165937,1386095
-0.0836579353126829,0.518970542293535,1458656
-0.19505003388157,0.518970542293535,1485662
-0.0779530146695336,0.681431492830974,1497807
-0.11933493608166,0.0857864070522081,1501387
0.102976879915696,-5.86161765319932,1518948
-0.197565125692,-0.560274206188506,1526417
-0.361551690117788,-0.339857414482401,1565177
0.244529744797904,0.518970542293535,1606693
-0.1948548071145,0.584766729216665,1612262
1.60539350120401,-0.175917877623875,1614566
-0.223028324940232,-0.256937163653143,1644034
-0.218153121202639,0.539033321309487,1668599
-0.105243133348977,0.518970542293535,1671370
0.200525345321869,0.518970542293535,1684230
-0.173698772553284,-0.249851201483257,1692385
-0.185080925122327,0.518970542293535,1720713
-0.170736172820478,0.518970542293535,1738800
-0.154642094880136,0.749712341013681,1740845
-0.107081952355767,-0.256937163653143,1742294
-0.147796983437191,0.0211036682534333,1767700
0.478296411412098,-0.169866947624686,1768972
0.711954276151564,0.0837230950969039,1889409
-0.162527844998864,-0.339857414482401,1915938
-0.126931643336088,0.518970542293535,1916742
-0.036960739262555,-0.58140802507377,1919296
0.325317974941558,-0.506650749165937,1926770
0.29557624244045,0.278870861478409,1938156
-0.187209088289031,0.157133791747224,1938561
-0.236135982538813,0.506927276778106,1966316
-0.142314265252735,-0.7657714548174,1967281
1.86996303757054,-0.58140802507377,1973544
-0.268710086228728,0.518970542293535,1975401
-0.24350877409162,-1.09165028215893,1976407
-0.220133492381474,0.204520923084882,1978972
-0.252345494607077,0.118677257801322,1979045
-0.188349382691568,0.825304538679216,1979422
0.152322377909555,-0.0864593335231894,1980052
0.770731120552162,0.142982234712309,2001182
-0.202459724087109,0.518970542293535,2002465
-0.312923556077194,-1.99094414562676,2004451
-0.13477361891351,0.518970542293535,2006164
-0.266969360391373,-0.672701373820355,2007309
-0.190726142579367,-0.615841270318946,2009915
-0.0893412103317306,0.518970542293535,2010259
0.338163369339036,-0.256937163653143,2010554
-0.0880973113615072,-0.690582903399033,2026671
-0.226259717994225,-0.280297089941382,2033049
0.0445397635793608,0.539033321309487,2034136
-0.167066761206705,0.140099559882403,2040495
11.801577756629,-0.164057316201617,2047354
-0.193462141349581,-0.0805277990947957,2051378
-0.146688399283716,-0.192966907161978,2055667
-0.15427788196114,-0.512927059303608,2057358
-0.213318208012983,0.37587560631937,2059713
-0.224796501575197,0.506927276778099,2069079
1.33283084563929,0.518970542293535,2070958
-0.126407158818039,0.209806301096509,2072215
-0.202618412267118,0.518970542293535,2075832
-0.148196214142182,0.390122793635408,2075846
-0.171378663181757,-0.0386605904527458,2076301
0.540100972479952,-0.202715333473208,2078198
0.0471712747289999,0.518970542293535,2078899
-0.0321900378392359,0.518970542293535,2085349
-0.396457834307394,-0.169866947624686,2086044
-0.182287639856475,0.873065479322277,2091555
-0.148764899686303,0.518970542293535,2092954
-0.0424846534862884,-0.305555791026395,2096627
-0.450081586311857,0.518970542293535,2100050
-0.177261911326946,-0.339857414482401,2108003
-0.161133071422584,0.518970542293535,2109902
-0.0685954755059391,0.403215738521037,2110540
-0.249210948798105,-0.0322094762454925,2116787
0.195783857064672,0.518970542293535,2119177
0.484117093241532,0.518970542293535,2131601
-0.0959230019580492,0.425489859157756,2132424
-0.174736642347899,0.225884739380414,2132982
-0.0650267865379752,0.518970542293535,2133204
0.490287165833752,0.00559676275068498,2133380
-0.295301098396063,0.518970542293535,2134220
-0.0354602135864089,0.700994585680717,2135748
-0.234118745101109,-0.602135008828196,2137799
0.0589990991209621,-0.82552404460534,2138375
-0.222350821911017,0.518970542293535,2138678
-0.0960516226025825,0.518970542293535,2139733
0.133082038258714,-0.198174657457062,2141116
-0.247964047117563,0.518970542293535,2144796
-0.117762137386118,-0.37120472851407,2145166
-0.23272565347564,0.221461554920388,2145694
-0.135616594503653,0.4892429593333,2146138
-0.178385803384544,-0.731530970716798,2151024
