"lemd_ptv4_original_gldm_LargeDependenceLowGrayLevelEmphasis_235","lemd_ptv4_wavelet.LHH_glcm_ClusterShade_229","sub"
-0.159523040598097,-0.662804409880679,1916742
-0.152372362804785,0.0353568369920688,1980052
-0.109681222766247,-1.42507741256376,1926770
-0.157023157995526,0.267843610365611,1979045
-0.166093097768952,-0.00661418932858127,2196212
-0.162285257758448,-0.0231602685446777,2393207
-0.163203300071712,1.71232879892019,2146138
-0.149577361419342,-0.256096532201099,2228399
-0.145616176304408,1.11898182711409,2144796
-0.14436256298311,0.660161873718481,2234271
-0.139073478369548,-0.108089905894803,2296332
-0.142850307799297,1.42166393950832,1684230
-0.154160942880782,-0.0427126405842935,1720713
-0.0765800944900686,-0.0925265569236747,2186951
-0.150672937106605,-0.0958649886307031,2439458
-0.0466488573327275,0.902842849077542,2135748
-0.164446820270593,-0.155652214769161,2141116
1.03897318929508,-0.239390961594319,2108003
-0.165179104142775,-0.130182072100206,2006164
-0.0653921375256584,0.0353260681777974,308862
-0.171735369755288,-0.160257594685578,1085983
-0.138345660783427,0.468147139161743,2004451
-0.167158338070209,2.08639183134438,2359944
-0.0411375782561721,-0.334462874369668,2069079
-0.135843252472272,-0.3329275431383,2059713
7.0323321846708,-0.00423300239671544,2294873
0.0804286143229359,-0.0600861861737381,2033049
-0.138695501451515,0.00816614751372754,1485662
-0.106192544129075,0.0277099773579534,1526417
0.027658386508108,-0.0932364732797205,1386095
-0.13728195699909,1.59536750813037,983079
-0.0824104327917908,0.053090653072801,2132424
-0.167032012708782,0.0996821882799195,2138375
-0.149183407116667,-0.229029476586242,2490180
-0.168481307113613,0.156428192027121,2034136
-0.165733842006683,-1.19026260826452,2510402
-0.144999434594699,0.102645629867092,1330263
-0.159582779381871,-0.316018103921353,1768972
-0.165063335051754,0.511295255388438,2306459
-0.0813293537086595,-0.0300754186264993,2181724
-0.153381167139672,-0.205539406348999,2217034
-0.0861286269333182,0.0628806329053002,2218615
-0.163709712083439,-0.385911745118961,92173
-0.0615684387368687,2.1901883286738,2414406
-0.166839585664757,-0.186133368411534,2381907
-0.16595750063265,0.132745550975193,2002465
-0.153504466820424,-0.328134582522003,2474709
-0.164720847084064,-0.728670768881018,2176530
-0.167708897542241,-4.61417212685602,1279943
-0.163955726317584,1.75309065423695,1976407
-0.171134712078089,-0.107156768728622,2250836
-0.144031893052743,-0.121633236172455,1915938
-0.165283669315882,-0.202587416102068,2133380
-0.163407493496243,0.032372157803685,2271329
-0.162304140997663,0.0419650524318705,2286108
0.0301130726467609,-0.274168077302797,2040495
-0.167986093422087,-0.128273636544476,1125173
0.765396031632905,0.159963296112371,1767700
-0.167064330708779,-0.255328580441197,2138678
-0.146726740288029,-0.21378989236348,2443354
-0.15118749801368,-4.32142848309463,2234422
-0.164280142701136,-0.107337174884259,2151024
-0.168249475479392,-0.125587936742292,2057358
-0.171655251022444,-0.0813816716312849,2425694
-0.16970406276837,-0.140031073982358,2500377
-0.161854865419721,-0.173623478152635,2183356
-0.0650766958595456,0.556056987891409,2131601
-0.130551411386608,-0.146235506232603,2152442
-0.0913934433487566,-0.0585105463849486,2306893
-0.148930843816826,-0.311679865565269,2009915
-0.160678076617014,-0.276731871940682,58325
-0.167730773087764,-0.113153664661467,2395943
-0.159773958697066,-1.12334472901008,2480330
-0.168975125036302,-0.0690449784680861,2076301
-0.139875567843071,0.114316286690452,2205389
-0.102150443812023,0.105888932419678,1975401
-0.167626461822968,-0.172956427232164,2250648
-0.165715587151916,-0.161296359553247,2185290
-0.159596744128334,-0.14575463732919,2091555
-0.148700685110552,0.0569972861110615,1232870
-0.053570633636887,1.10385969743606,2139733
-0.142594312350037,-0.0307181873418278,2559453
-0.0936865201422472,0.904790352756707,1938156
-0.168535615297743,0.501170477025373,2158101
-0.0509176485077006,0.164948891938196,2199403
-0.166400361133551,0.0143832124005265,2430773
-0.164260732932823,0.0383801226640621,1738800
11.6661043315661,-0.208171845658747,1565177
0.333200337176791,-0.850258220921111,1978972
-0.162526464587224,0.238137779398944,2487135
0.236702705686148,-0.46418111954117,1612262
-0.163273013437015,-0.0811248535325478,2051378
-0.161160721964907,-0.300067548361516,1497807
0.156621054285643,-0.282719427194752,2026671
-0.127412451477758,-0.265777872089152,2340322
-0.0644618285889378,-0.207883610668667,2293123
-0.166826216322784,-0.169650402866272,2395415
-0.166629987146576,0.673254809579283,1966316
0.608220161920526,-1.85174487101307,1973544
-0.16252512167712,-0.927567853862797,2010259
-0.156445366851649,-1.17075277926802,2145694
-0.168617932331816,0.316533958789281,965005
-0.132005991768301,-0.239606044183189,2096627
-0.10609797699571,3.25740191632373,2047354
0.138136726088583,0.42567484637444,1364384
-0.145657725546492,0.138930244022857,2244172
-0.163771753110168,-0.650753656815281,2132982
-0.170028336119402,-0.242928792206739,2134220
