"mkm2d_ptv4_lbp.3D.k_firstorder_Range_226","sub"
-0.326845070556686,1085983
0.482814556892532,1125173
-1.09822676969611,1154608
-0.325660755026956,1181124
-1.21771142372954,1183075
-0.572042529603923,1232870
0.518361626376794,1279943
-0.517956169109449,1329352
-0.0945697316067576,1330263
0.83863231332934,1364384
-0.152646149430184,1386095
-0.227291880865409,1458656
-0.720068429595245,1485662
-0.849556121874348,1497807
-0.601969313693555,1501387
-1.22124026693841,1518948
-0.962782157171374,1526417
0.605677204889445,1565177
1.25659521943519,1606693
-0.704255799630842,1612262
0.602338209653672,1614566
-0.610541721528574,1644034
0.0118622649213303,1668599
0.098451356718111,1671370
0.00630467539798594,1684230
0.263818149316018,1692385
0.794899708805444,1720713
-0.697336098294835,1738800
0.848465273790274,1740845
-0.329193796015543,1742294
-0.515338244099585,1767700
3.49740117820883,1768972
-0.598780219817422,1889409
-0.967352726811777,1915938
3.01698059096324,1916742
-1.80658963933597,1919296
-1.14443850167465,1926770
1.12525251475708,1938156
-0.550376434352117,1938561
-0.341811238552607,1966316
1.49999345593,1967281
-0.489226023064205,1973544
-0.301025881628135,1975401
1.15569860482162,1976407
-1.01055817145033,1978972
-0.753721081716036,1979045
-0.296032148709616,1979422
-1.52720817050287,1980052
3.62912804743735,2001182
-0.918128749354296,2002465
1.59818074226565,2004451
-0.708684998883292,2006164
-0.514529832973072,2007309
-0.790091186849704,2009915
-0.397143527150104,2010259
-0.465640188358365,2010554
-1.06664430003799,2026671
-0.15523536704326,2033049
0.474688603242457,2034136
-1.71001524829813,2040495
-1.12619007617529,2047354
-0.0250708843436683,2051378
-0.684111331821018,2055667
-0.997804910427519,2057358
1.99224474054598,2059713
0.0292921233755067,2069079
-0.862278102667637,2070958
1.19058418546953,2072215
-0.865155883783327,2075832
-0.463233912693684,2075846
-0.483479804278007,2076301
2.41503617662658,2078198
0.589575876010181,2078899
-0.249046941964806,2085349
-0.969528666240914,2086044
0.842042399995837,2091555
-0.279849166244206,2092954
0.514150847081977,2096627
-0.617675103393499,2100050
-0.173172073545433,2108003
-0.619293279769016,2109902
-0.131001043076972,2110540
0.19270004237942,2116787
0.791462945925894,2119177
-0.590687306756102,2131601
0.00797512090161577,2132424
-0.462026306257127,2132982
3.65686832994242,2133204
-0.43810519082277,2133380
-0.216448880439204,2134220
-0.518814953592589,2135748
-0.239659216978575,2137799
-0.562389396609657,2138375
-0.500633692568727,2138678
-1.01030603384269,2139733
0.779724735121569,2141116
-0.63886387046759,2144796
-0.43985796697379,2145166
-0.554430270850347,2145694
-0.234323568131337,2146138
-0.316894030614627,2151024
-0.513715734532101,215131
-0.570124415096877,2152442
-0.155085194859122,2157529
-0.351211150641248,2158101
-0.377006913250722,2158329
0.505988196712423,2168082
-0.952918864366664,2172217
-0.36629729388978,2176530
1.14106744672971,2176784
-1.05793607371723,2181724
0.733126807408891,2183291
0.683647036213054,2183356
-1.15808710848783,2185290
3.57199734876092,2186951
-0.47154334994115,2196212
1.7708268911329,2199403
0.943779924675689,2200416
-0.437578030937424,2200813
-0.835970752581452,2205389
-0.262811597075374,2212664
-0.150597497515105,2217034
-0.373251931586029,2218615
0.339973185678566,2219842
-0.152791988422354,2224150
0.473658522264335,2228399
0.0600439742982797,2228400
0.816437974894196,2234271
0.444911314275717,2234422
1.74564793131761,2237571
-0.522580226588206,2244172
1.68659789942389,2247869
-0.854594947071784,2250648
1.81703252956023,2250836
-0.00954939071460976,2267382
1.22475668521422,2269346
0.251000432062687,2271329
1.08557902780912,2274521
-0.271564915675053,2276121
0.530595039775702,2278618
0.111807879310202,2285214
0.608164186254528,2286108
-0.821297345867863,2293123
0.624716573335203,2294852
-0.578109540007994,2294873
2.01151525770078,2296332
-0.587452985188803,2305114
-0.152365846074759,2305115
-0.975772660454425,2306459
0.436298689002746,2306893
-0.344446631742591,2317120
0.302792231997903,2319068
-0.214222432241192,2321962
-0.441398416718383,2331869
1.34543553987155,2336735
-0.269716809300739,2339674
0.541316169177809,2340155
0.419413458614036,2340322
-0.174515227643236,2350037
-0.39794218859469,2352038
-0.00390446029066223,2359944
0.461579885066031,2381907
-0.320874067437153,2393207
-0.649109973700214,2395415
-0.500333619024949,2395943
-0.476918132928348,2401405
3.00068481009442,2405144
2.42507144298751,2414406
-0.763446660263515,2419459
0.336237838789978,2425694
-0.116407258765794,2426863
-0.637136551819381,2430773
-1.0621997992014,2439458
-0.6750392527872,2443354
-0.898186181207727,2445526
-0.2696882373162,2448298
-0.516993117194581,2453577
-0.503064477850476,2474709
-0.711881540433121,2480056
0.316559459941202,2480330
-0.0543984692314883,2487135
-0.0185147648962184,2488660
-0.846844897824925,2490180
0.907036352559287,2493534
-1.5745090232001,2498991
-0.58160087402389,2500377
-0.24992414251381,2504802
-0.42239899488608,2510402
0.458553692125441,2520618
-0.0388343207439957,2559453
-1.85865916979387,277752
1.97472483294622,308862
-0.164047048322256,58325
-0.191193954352225,92173
1.31112383633489,923666
-0.114654753439272,965005
-0.194882990251657,983079
