"lemm_prp_m012_247","sub"
-1.4066991139032,58325
0.10738626562207,92173
0.224354261070164,215131
0.166214263064251,277752
-0.36606578671547,308862
0.748578255068375,923666
0.163218178294802,965005
0.000576290395298159,983079
-0.241817270724574,1085983
0.102841835614062,1125173
-0.131578526660651,1154608
-0.299880178644252,1181124
0.886955009665618,1183075
-0.216483751932592,1232870
-0.527305631478582,1279943
0.123009490537142,1329352
-0.314724831417677,1330263
0.130389507255546,1364384
-0.118165434623388,1386095
0.0477859087423094,1458656
0.405469768969214,1485662
0.0876237085571299,1497807
1.31462164125899,1501387
0.20672662966769,1518948
0.507823398600697,1526417
0.292016366091964,1565177
0.134622895041052,1606693
-0.0736958687570599,1612262
0.251338439176519,1614566
0.450516908458406,1644034
0.400609748423089,1668599
0.284666471660578,1671370
0.45705424174075,1684230
0.0720822567545798,1692385
0.215814961455633,1720713
0.023341050793953,1738800
0.190665226486907,1740845
-0.106545560988346,1742294
0.134896714581183,1767700
-0.353620362713901,1768972
0.393231895898613,1889409
0.997061266797846,1915938
-0.336398777903027,1916742
-0.203690436008744,1919296
0.036659356342348,1926770
-0.0544297752873781,1938156
-0.327801341654273,1938561
0.594226546682554,1966316
-0.0904596625252382,1967281
-0.123529484140544,1973544
-0.569197591299704,1975401
0.566624999546182,1976407
0.0349593702005658,1978972
-0.486464452761214,1979045
0.424388266969355,1979422
-0.447977690799109,1980052
-6.17709958254187,2001182
-0.0120581516613983,2002465
0.204001038846682,2004451
-0.126006522063389,2006164
0.139753410057038,2007309
-0.249837119491071,2009915
0.205075748150207,2010259
-1.06843596493924,2010554
-0.365985578755741,2026671
-0.343040378459853,2033049
0.342448867033349,2034136
-0.504075230907102,2040495
-0.054747938259478,2047354
-0.556573119787558,2051378
0.306598823374012,2055667
-0.436438199058881,2057358
-0.106349487506665,2059713
0.714967139772942,2069079
0.307182142523727,2070958
-0.26092552499525,2072215
0.779381137171763,2075832
0.0909650104169567,2075846
0.301268343960543,2076301
0.333228881603158,2078198
-0.743083355420352,2078899
1.02582586461758,2085349
1.87521001468121,2086044
0.914261968520284,2091555
-1.05944197125894,2092954
0.0767798786872932,2096627
0.38694033668478,2100050
0.355417181261491,2108003
-0.264148234395496,2109902
-1.24790098345961,2110540
0.793092883788785,2116787
0.735220227137508,2119177
-0.210948457652689,2131601
-0.0545910342705002,2132424
-0.0376251308779626,2132982
0.105125674850774,2133204
-0.188810794915692,2133380
1.39355291211988,2134220
-0.167052073262094,2135748
0.444800872676338,2137799
-0.241853634663646,2138375
-0.832155156613707,2138678
-0.767162172493565,2139733
-0.666849111117326,2141116
-0.865569862366663,2144796
-0.116387901890811,2145166
-0.65022638001686,2145694
-0.461129208677626,2146138
-0.293121993496602,2151024
0.12318657043685,2152442
-0.528819819817129,2157529
-0.175404455925593,2158101
0.213595991284362,2158329
-0.0421276887611752,2168082
-1.65786021394427,2172217
-0.369281670213416,2176530
0.00032112289117408,2176784
0.369123187232676,2181724
-0.134186206703161,2183291
-0.518713025846951,2183356
-0.0890812547594522,2185290
-0.88120853810329,2186951
0.296391713394127,2196212
-0.0808626600408296,2199403
0.570017540043425,2200416
-0.303034839770223,2200813
-0.241209324231147,2205389
-0.352536928906393,2212664
0.316631803601765,2217034
-0.238851879500151,2218615
-0.347640216358475,2219842
0.738436756947458,2224150
-0.0021117479137811,2228399
-0.347199987802881,2228400
-0.0382813223808671,2234271
-0.171021143521309,2234422
-0.742203136669809,2237571
-0.742196991530151,2244172
-0.121111295307103,2247869
0.219680062952041,2250648
0.169406966266941,2250836
-0.237814824516637,2267382
-0.449229476764001,2269346
1.9169861101341,2271329
0.0297541633047864,2274521
-0.104802760258463,2276121
3.20893816477978,2278618
-0.141080751690538,2285214
0.12834492436831,2286108
5.06037330120719,2293123
-0.0102025992622547,2294852
0.686187488639089,2294873
-1.58820020505266,2296332
0.0212240558311464,2305114
0.18051369004944,2305115
-0.0848305005960217,2306459
0.092724526326627,2306893
-0.304640491979531,2317120
-1.55803658950776,2319068
-0.327254376566534,2321962
0.170068554360296,2331869
-0.153100413799225,2336735
1.18671230924477,2339674
-0.114539653281431,2340155
-0.200846783263079,2340322
0.34951931674429,2350037
1.29627216419438,2352038
-0.0749353777965369,2359944
-0.816038597157667,2381907
-0.12972813716412,2393207
-0.166305386704696,2395415
-0.253321325766114,2395943
-0.214015398349229,2401405
-0.143449352510894,2405144
0.214976697356715,2414406
-0.137681340720774,2419459
0.206193015605275,2425694
0.652660242278607,2426863
-0.0826492198028511,2430773
-0.260350090361432,2439458
-1.45685528129456,2443354
-0.433410496613886,2445526
0.6470812668515,2448298
-0.115737758764263,2453577
-0.851473046074714,2474709
-0.100767756639263,2480056
-0.11492888725182,2480330
-0.442346628970649,2487135
-0.0673661816937019,2488660
-0.389136596520112,2490180
-0.470972533125319,2493534
-0.851690979223892,2498991
-2.29906517781352,2500377
-0.522864416255437,2504802
7.71322824234114,2510402
-0.205838931541931,2520618
0.13861475678963,2559453
