"mkm5d_ptvper_wavelet.LHL_glszm_GrayLevelVariance_237","mkm5d_ptvper_wavelet.LHL_glcm_ClusterProminence_232","sub"
-1.12880050004178,-0.322996194652284,1085983
-0.218951442189149,-0.178736067957403,1125173
-0.147325546159214,-0.150081939168565,1154608
1.18974462695834,0.298635456615563,1181124
-0.593211252744415,-0.251968132568659,1183075
-0.774931925528661,-0.287978135251195,1232870
1.15586992815039,0.257432790550458,1279943
0.885318489452665,0.211724998730595,1329352
-0.220632163831494,-0.1853161115719,1330263
-0.914229626967998,-0.310089584309805,1364384
0.0438363134724917,-0.103911578511185,1386095
0.238796846328166,-0.0530220743552625,1458656
-0.853903392336166,-0.296962784867504,1485662
0.295572734102854,-0.083332046109094,1497807
0.680999727736278,0.0404528727872931,1501387
-1.34372205724154,-0.33997488368649,1518948
-0.433021863894662,-0.236780250156253,1526417
0.586937335289522,0.29394703718901,1565177
-0.921664062577942,-0.308420898836768,1606693
0.145141475317097,-0.0374444363396586,1612262
0.613718725370841,0.0543086043719331,1614566
-1.0932471994462,-0.312700449376632,1644034
-0.933547825085963,-0.295647239344769,1668599
0.364878070984432,-0.0562809175994419,1671370
1.01189485224312,0.0293965419315077,1684230
-0.30653655267073,-0.191155123031914,1692385
0.00915484335740213,-0.0919294067514291,1720713
-0.951203848122798,-0.290248218661353,1738800
-0.218760787189079,-0.177062042742029,1740845
-0.643293769623959,-0.274460228009871,1742294
-0.195786003535716,-0.196858720646468,1767700
0.831394457936469,0.206151733171186,1768972
1.34375888433665,0.374970337176715,1889409
-0.654940659220753,-0.181642619029299,1915938
-0.230638263913246,-0.0839933519794575,1916742
-0.503283531687053,-0.213315110078594,1919296
0.514311785792083,-0.052823766600158,1926770
-0.177588397465113,-0.155434467670824,1938156
-1.28506105732446,-0.329680246800172,1938561
-0.978715720330665,-0.309156760147668,1966316
-0.975697972602315,-0.281304497813699,1967281
-0.45635740728472,-0.241298580184925,1973544
-0.439563009492742,-0.254703002190346,1975401
-1.06108297057437,-0.314167404710255,1976407
-0.196087536524171,-0.213044828684141,1978972
-0.193171416704137,-0.117282727178538,1979045
-1.59979827176524,-0.356332001786952,1979422
0.193995055904663,-0.0979799322122861,1980052
0.193576079118946,-0.0707342359291023,2001182
1.31799349350673,0.115145066006771,2002465
-0.581581500704939,-0.247138827704512,2004451
-0.330170280199668,-0.139643632104139,2006164
-0.207011574878677,-0.2261885986514,2007309
-0.818392030363788,-0.288196090989181,2009915
-0.751826690622059,-0.292905142674944,2010259
-0.429327334288311,-0.153097653431152,2010554
-0.239137014911852,-0.148803545131637,2026671
-0.801382949524156,-0.298174884225422,2033049
0.0411384607265787,-0.112553967883617,2034136
-1.0665479116652,-0.318816941067426,2040495
1.60217205709125,0.461177640787291,2047354
