"lemd_prg_lbp.3D.k_glszm_LargeAreaEmphasis_231","lemd_prg_log.sigma.2.0.mm.3D_glcm_ClusterShade_226","sub"
0.272790728871011,-0.352111103357135,1916742
-0.324002524488764,0.155591478745442,1980052
-0.314485296185207,0.201121700989452,1926770
-0.368086707642544,-0.351626476726483,2196212
-0.214139268787232,-0.206410358025642,2393207
-0.323332933907344,0.162245054249913,2146138
-0.354045995773021,0.319489121126386,2228399
-0.340660443547409,0.315372630071173,2234271
-0.378213630342033,-0.361358246767746,2296332
-0.246267892490597,0.445623908866252,1684230
-0.297191584008224,-0.491740659338918,1720713
-0.147816224754416,4.50162662521187,2186951
-0.303241440332283,0.201388232933645,2439458
0.113660219260199,1.7899017480945,2135748
-0.0143513345144883,0.281481659575789,2141116
0.151516214304182,0.236620734606589,2108003
-0.353757665280292,0.326907734315925,2006164
-0.325253853463054,0.419385861261985,308862
0.195180213137405,0.336816822619078,1085983
-0.352686693688996,0.242080524725947,2004451
-0.381269357882934,0.373863263297159,2359944
-0.362974754495193,0.0675085671327153,2069079
-0.314108770591167,0.362039409486163,2059713
0.17197849560987,-4.10941049504991,2294873
-0.233577036391749,0.262278346194376,2033049
0.831998425172327,0.151057377676749,1485662
-0.316274805545433,0.115640997841917,1526417
-0.0816513203381328,-0.998119932160349,1386095
-0.223677361383714,0.166723429014205,2132424
-0.260679498926342,0.138097112123952,2138375
-0.338194163510291,0.0773534566556685,2490180
-0.413549542539506,0.192079218824829,2034136
-0.357571670246314,-0.162341516259572,2510402
-0.280884450833383,-0.425120013626086,1330263
5.50222825412164,-0.142678746805359,1768972
-0.392987490467997,0.262501918359025,2306459
-0.0106849053802255,-1.64414535965804,2181724
-0.327066592049157,0.412435579118347,2217034
-0.309104341709424,-3.11297036061419,2218615
-0.263978995438424,0.00720485316117334,92173
0.0424721716356687,2.34761644266365,2414406
-0.299212983263471,0.338228520601681,2381907
-0.268214569525316,0.343276659583316,2002465
-0.093384453628126,-0.380779288142399,2474709
0.156557009388487,-0.753298364267985,2176530
-0.253344399576347,0.341437884203792,1279943
-0.294562024936034,0.443455615446301,1976407
-0.131524471376031,0.373378779015549,2250836
-0.348403855155254,-0.370402514063452,1915938
-0.222607113547399,0.325307218797709,2133380
-0.375837785320695,0.343281491150512,2271329
0.488228580300388,0.406823889381168,2286108
-0.204285501489723,0.243005768936143,2040495
-0.333356105629155,0.240000838328034,1125173
-0.0853084149830376,-0.38933234136492,1767700
0.100751612086853,0.702634082527722,2138678
-0.161993617301071,1.59211216659449,2443354
-0.23263460899131,0.238095917037811,2234422
-0.234494631724772,0.249920483595382,2151024
-0.233255262263006,0.235566622456713,2057358
-0.0254785598434973,0.448800604349977,2425694
-0.320819843520526,-0.974508860146576,2500377
0.650273453351998,-0.125247485689224,2183356
0.297217344710277,3.02087709738405,2131601
-0.18613144427033,-0.780316125435339,2152442
