"lemd_prg_lbp.3D.m2_firstorder_Maximum_228","sub"
-0.476656442192434,1916742
-0.542270040178927,1980052
-0.542270040178927,1926770
-0.542270040178927,2196212
-0.37703495047561,2393207
-0.384861371907707,2146138
-0.542270040178927,2228399
-0.476656442192434,2234271
0.207780446657439,2296332
-0.542270040178927,1684230
0.0230698434871167,1720713
-0.542270040178927,2186951
-0.384861371907707,2439458
0.112571820498639,2135748
-0.542270040178927,2141116
0.789890290046922,2108003
-0.542270040178927,2006164
1.12193965964257,308862
0.208351826923126,1085983
0.643835426461312,2004451
-0.504827157768498,2359944
-0.542270040178927,2069079
-0.542270040178927,2059713
-0.402880875485366,2294873
0.300197036622123,2033049
1.52749386178084,1485662
-0.542270040178927,1526417
2.50823151498458,1386095
-0.384861371907707,2132424
-0.542270040178927,2138375
-0.542270040178927,2490180
-0.476656442192434,2034136
0.183040434741793,2510402
1.30485539776457,1330263
-0.219174699646451,1768972
-0.542270040178927,2306459
-0.542270040178927,2181724
-0.542270040178927,2217034
-0.280646739182348,2218615
-0.384861371907707,92173
-0.476656442192434,2414406
1.27207240961222,2381907
-0.476656442192434,2002465
-0.542270040178927,2474709
0.814170958881175,2176530
1.36149598143448,1279943
-0.542270040178927,1976407
1.96102546580905,2250836
-0.542270040178927,1915938
-0.542270040178927,2133380
-0.32487454590302,2271329
0.187189788409864,2286108
-1.02592164087229,2040495
-0.542270040178927,1125173
-0.542270040178927,1767700
-0.542270040178927,2138678
-0.542270040178927,2443354
-0.122486196877534,2234422
-0.542270040178927,2151024
-0.384861371907707,2057358
-0.542270040178927,2425694
-0.476656442192434,2500377
-0.542270040178927,2183356
-0.542270040178927,2131601
1.81494172753111,2152442
-0.476656442192434,2306893
1.68128016781297,2009915
-0.316583741671341,58325
-0.476656442192434,2395943
-0.542270040178927,2480330
-0.383913719520135,2076301
1.64815241739604,2205389
-0.476656442192434,1975401
0.215182633863792,2250648
-0.542270040178927,2185290
3.45540462605358,2091555
-0.542270040178927,1232870
-0.542270040178927,2139733
1.89389774342402,2559453
1.3048553977646,1938156
-0.542270040178927,2158101
2.15926454834774,2199403
-0.476656442192434,2430773
-0.542270040178927,1738800
0.457232666807361,1565177
-0.308711869127038,1978972
-0.542270040178927,2487135
3.46857346969419,1612262
-0.542270040178927,2051378
0.544162305011239,1497807
-3.45244827264834,2026671
0.80485442018784,2340322
0.847340836965776,2293123
-0.542270040178927,2395415
0.60678668807926,1966316
-0.542270040178927,1973544
0.949728215489959,2010259
-0.542270040178927,2145694
-0.476656442192434,965005
-0.542270040178927,2096627
-0.542270040178927,2047354
-0.542270040178927,1364384
0.893081305463707,2132982
-0.476656442192434,2134220
-0.280252491899309,1889409
-0.234269392306282,1938561
-0.512021158959653,2055667
-0.542270040178927,2176784
1.30489591617235,923666
1.27243185046153,2086044
1.64882015990312,2078198
-0.542270040178927,1501387
-0.542270040178927,1518948
-0.0817081166690845,1606693
-0.384861371907707,2305115
2.84559024115311,2237571
-0.542270040178927,2285214
0.300894102480113,2426863
-0.139249871941717,2480056
-0.542270040178927,1668599
-0.542270040178927,2339674
0.274998403905347,2133204
1.46766308101359,2294852
-0.542270040178927,2445526
-0.542270040178927,2200416
-3.0626818815397,2168082
-0.476656442192434,2075846
1.73786370995165,215131
0.554979042118957,2274521
0.472592392313734,277752
-0.384861371907707,2078899
0.948625877217873,2172217
-0.493753882285226,1614566
-0.542270040178927,2100050
-0.347469979577464,2183291
0.737242667756273,2336735
-0.542270040178927,2352038
1.5304643045332,2305114
-0.476656442192434,2448298
-0.542270040178927,1329352
-0.542270040178927,1183075
1.01645344052969,2110540
-0.542270040178927,2070958
-0.507674552283626,2340155
0.417851224030162,2075832
-0.542270040178927,2498991
-0.542270040178927,1919296
-0.476656442192434,2401405
-0.278993468499643,1644034
-0.364897154097486,2405144
0.77588689202782,2158329
-0.384861371907707,2319068
-0.476656442192434,2504802
-0.384861371907707,2331869
2.63782209814743,2317120
-0.542270040178927,2072215
2.39851691189815,2228400
-0.542270040178927,2145166
0.031477705550152,1692385
0.963314943205297,2109902
1.2619068075775,2219842
-0.541482838015685,2520618
0.271530636572153,2419459
2.9995496178859,2276121
-0.542270040178927,2350037
0.226674932557145,2001182
-0.542270040178927,2278618
0.553587110984157,1740845
-0.476656442192434,2321962
-0.542270040178927,2212664
-0.542270040178927,2453577
-0.542270040178927,2224150
1.77205087416049,1967281
-0.542270040178927,1742294
-0.476656442192434,2488660
0.502919348596885,2085349
-0.542270040178927,2247869
0.105568396367146,2157529
-0.542270040178927,2119177
1.0280756227576,2010554
-0.542270040178927,2493534
-0.272091528644169,2200813
-0.384861371907707,2116787
-3.89647650632596,1154608
0.525519189903971,2267382
-0.542270040178927,1181124
-0.476656442192434,2137799
-0.542270040178927,1458656
-0.27066905455406,2269346
-0.492468863390042,2092954
1.04420528822129,2007309
-0.542270040178927,1671370
