"letd_prp_lbp.3D.m2_firstorder_Range_230","sub"
0.544456094643397,1916742
-1.21219912278358,1980052
0.055426053552451,1926770
-0.0728651772523511,1979045
0.544456094643397,2196212
0.405212017257701,2393207
-0.65917764854203,2146138
0.536425548369515,2228399
-2.21917017861649,2144796
0.544456094643397,2234271
0.524781477188417,2296332
0.173079319653102,1684230
0.482122423541134,1720713
0.544456094643397,2186951
-1.1432338184619,2439458
-0.107339892154459,2135748
-0.221264645630101,2141116
0.544456094643397,2108003
-0.519006508276516,2006164
0.416918281476438,308862
0.197734002181778,1085983
0.22127688056806,2004451
0.47477866708503,2359944
-0.887792488396165,2069079
0.07558522961289,2059713
-0.112175469854726,2294873
0.544456094643397,2033049
0.360883802278899,1485662
0.544456094643397,1526417
-0.189285181151844,1386095
0.839512917052794,983079
0.544456094643397,2132424
0.325159938567325,2138375
0.544456094643397,2490180
0.557834116996548,2034136
0.351141455962441,2510402
-0.0698674033198299,1330263
1.27593700993154,1768972
-0.0790408221595903,2306459
-0.440902020162665,2181724
-0.579806037185951,2217034
0.199311772045717,2218615
0.254605910108967,92173
0.462109373487072,2414406
0.839266096509605,2381907
-0.330162372825426,2002465
-0.249146813798539,2474709
-1.1369623192373,2176530
0.386484118283835,1279943
0.0148801957991348,1976407
0.544456094643397,2250836
-0.0194405929228755,1915938
0.544456094643397,2133380
0.268965059714835,2271329
0.544456094643397,2286108
-0.651019333020578,2040495
0.461031485339605,1125173
0.439048547974507,1767700
0.639750795023347,2138678
-0.00425641491621117,2443354
0.172623171958133,2234422
0.544456094643397,2151024
0.0911102038753781,2057358
0.544456094643397,2425694
-0.0275145176389781,2500377
0.199535508877192,2183356
0.0938738082151097,2131601
-0.64340693101759,2152442
0.544456094643397,2306893
-0.249322293484437,2009915
0.0322168032112874,58325
-0.285264196756748,2395943
0.225449719968553,2480330
0.0601005005506708,2076301
0.544456094643397,2205389
0.203963272581061,1975401
0.29660035046107,2250648
-0.353858453330223,2185290
-0.0710122301206116,2091555
-5.80428039701237,1232870
0.177965805793988,2139733
0.178407045310665,2559453
0.544456094643397,1938156
-1.08014037507701,2158101
0.12306972945317,2199403
0.690702957646173,2430773
0.297978021453298,1738800
0.793757674558886,1565177
-0.0410307570215767,1978972
-0.482984574921433,2487135
-0.80253234986442,1612262
0.544456094643397,2051378
0.277537314174694,1497807
0.544456094643397,2026671
-0.0548713972127392,2340322
0.530607923783815,2293123
0.544456094643397,2395415
0.544456094643397,1966316
0.463629022195304,1973544
0.544456094643397,2010259
0.233371381848912,2145694
0.557834116996548,965005
0.303192269235073,2096627
-0.467499173479046,2047354
-1.21669683994357,1364384
0.512120029976493,2244172
-0.0250514620581528,2132982
0.159458584649425,2134220
0.544456094643397,1889409
0.551009543660428,1938561
-0.147504708248736,2055667
-1.03267774261542,2176784
0.713965709520093,923666
0.310161237034369,2086044
0.697349639740846,2078198
-0.682006148065312,1501387
0.576550306016253,1518948
0.82202808376152,1606693
0.544456094643397,2305115
0.409246872559066,2237571
-0.100267072767904,2285214
0.544456094643397,2426863
-0.736291993132905,1979422
0.544456094643397,2480056
0.216765799388071,1668599
0.744805947101461,2339674
0.400324395478599,2133204
0.544456094643397,2294852
0.544456094643397,2445526
-0.172008678693862,2200416
-8.43081775768662,2168082
0.500706472213314,2075846
-0.744371867928721,215131
0.544456094643397,2274521
-0.466016313386612,277752
0.544456094643397,2078899
0.392885874527022,2172217
0.54318327325121,1614566
0.544456094643397,2100050
0.544456094643397,2183291
-0.06851085535336,2336735
-0.625633944761551,2352038
-0.0933002920896763,2305114
0.536425548369515,2448298
-0.136754998961072,1329352
-0.799673903126083,1183075
0.268375277135613,2110540
0.145361099068318,2070958
0.531122883686311,2340155
0.409963022250865,2075832
0.0594952999422342,2498991
-0.351477383349133,1919296
-0.340356337640151,2401405
0.0365620395428548,1644034
0.544456094643397,2405144
0.0724337633202222,2158329
-0.136551350410381,2319068
-5.32850077176498,2504802
0.288124715208834,2331869
0.0192965804061971,2317120
0.17121662727265,2072215
0.544456094643397,2228400
-0.807887186617398,2145166
-0.605918369371937,1692385
0.544456094643397,2109902
0.544456094643397,2219842
0.544456094643397,2520618
-1.49583827198511,2419459
0.576690529703916,2276121
-0.111644470666123,2350037
0.544456094643397,2001182
0.113389416614987,2278618
0.229004401829048,1740845
-0.904882129779776,2321962
-0.826483583017003,2212664
0.0698017853147627,2453577
-0.423676336983735,2224150
-0.909433513657127,1967281
-1.51137327111186,1742294
-0.539074875612585,2488660
-0.0443749815814157,2085349
-0.519619785508164,2247869
0.533748076816583,2157529
0.280292969821844,2119177
0.665831190252416,2010554
0.544456094643397,2493534
-1.94679266707751,2200813
0.544456094643397,2116787
0.206687617663997,1154608
0.544456094643397,2267382
-0.524109642741279,1181124
0.357901227079964,2137799
0.544456094643397,1458656
0.544456094643397,2269346
0.544341794510479,2092954
-0.792073481409589,2007309
0.544456094643397,1671370
