"letd_ctv_wavelet.HHH_firstorder_Mean_248","sub"
0.0531946457755567,1916742
2.10160727530371,1980052
-0.271615896294626,1926770
-0.417023873031263,1979045
-0.0845293346034697,2196212
0.0795775228639764,2393207
-1.45342820251371,2146138
-0.101312795326505,2228399
5.44298869675589,2144796
-1.57183961568433,2234271
0.209891893402745,2296332
-2.54589600215607,1684230
0.16634772743068,1720713
-0.266113687316218,2186951
-0.709784680724009,2439458
0.310226565092185,2135748
0.399430841359162,2141116
-0.220788778077368,2108003
0.0959298213043672,2006164
0.075397361329314,308862
-0.140862014403099,1085983
0.170815909545072,2004451
0.236634807278534,2359944
3.54175767426293,2069079
-0.857074556550119,2059713
0.531231773569529,2294873
-0.267872005933212,2033049
0.211333136379175,1485662
-0.266704760293944,1526417
-0.479609826481526,1386095
-0.732005791688268,983079
-1.20145272874961,2132424
-0.277940610622674,2138375
-0.539142405745216,2490180
-0.0314790497425657,2034136
-0.198188603658219,2510402
-0.489157825706218,1330263
0.131023586717342,1768972
-1.71067971268094,2306459
0.039559499346725,2181724
0.00995878866631131,2217034
1.66334615097117,2218615
-0.237638599508068,92173
0.271525249381697,2414406
-0.10399943151869,2381907
-4.56494960658054,2002465
-1.09046999618193,2474709
0.995613343859991,2176530
-0.138144463177747,1279943
0.0414577812705618,1976407
-0.14132697220634,2250836
-0.452823069922157,1915938
-0.594352117972019,2133380
0.558619987284333,2271329
0.128395720909729,2286108
0.996660440674571,2040495
-0.356206960383436,1125173
1.58364295747243,1767700
0.551089180515987,2138678
0.395304334944366,2443354
0.121975053825864,2234422
-0.0811280342617718,2151024
0.772726309032006,2057358
0.717904025078218,2425694
-0.159817185351871,2500377
0.497895998312454,2183356
0.245433125166744,2131601
0.725628617136423,2152442
-0.742646167093814,2306893
-0.428569403272299,2009915
0.272466273155022,58325
-0.366923308132301,2395943
-0.611060885941269,2480330
-0.274941559818479,2076301
0.339250550792913,2205389
0.0320753737677494,1975401
0.656055271694881,2250648
-0.311372837096042,2185290
0.0718732568823361,2091555
1.70786762845767,1232870
-0.222802673985402,2139733
-0.208462589206288,2559453
-0.313361612961819,1938156
0.963282660879622,2158101
0.664788516674416,2199403
-0.942480540269884,2430773
-0.472292261383726,1738800
0.00247033072971772,1565177
-0.606736219651298,1978972
-0.431090598336967,2487135
0.192808940257041,1612262
-0.311916438726836,2051378
-0.063927574285194,1497807
-0.935872736736704,2026671
0.00554758457082724,2340322
0.347118263878076,2293123
-0.129525632146625,2395415
-0.255746069295058,1966316
-0.416156669877788,1973544
0.349535225912882,2010259
-0.594741170153962,2145694
0.235522108224023,965005
-0.198489953073955,2096627
0.156655599025528,2047354
7.67588941878372,1364384
-0.340246625131692,2244172
-0.114301043270163,2132982
0.601924980199409,2134220
0.703451561837516,1889409
-0.529846532636609,1938561
0.273714596022551,2055667
0.17582781024906,2176784
-0.22206692439989,923666
-0.67156757639841,2086044
0.448983863715879,2078198
0.0429528210126318,1501387
0.977038982472902,1518948
-0.165311625701135,1606693
-0.280259755128241,2305115
-0.0343962602632346,2237571
-0.284044962551366,2285214
0.0491367121699029,2426863
-0.347684763645522,1979422
-0.935493249584339,2480056
0.424048459219895,1668599
-0.156414087489585,2339674
-0.0308109159931323,2133204
-0.0670259611122238,2294852
-0.126441607704665,2445526
-0.699920199711197,2200416
0.212391749485589,2168082
-0.00447656152496285,2075846
-0.0620732358581598,215131
-0.622780765629414,2274521
-1.28274964293499,277752
0.575016554161385,2078899
-0.0757361456520367,2172217
0.00844994644212652,1614566
-0.607613938159238,2100050
-0.179166037145686,2183291
-0.126069906322688,2336735
-0.00831861102392159,2352038
0.290355322080458,2305114
-0.081960275702498,2448298
-0.614679781718973,1329352
1.27289090435876,1183075
-0.328401582376076,2110540
-0.0187280990455954,2070958
-0.419060098363873,2340155
-0.344124243110859,2075832
-1.50192629018026,2498991
-0.0368965577513502,1919296
0.352896046056643,2401405
-0.00429434085868709,1644034
-0.470264135728669,2405144
0.0309356883958045,2158329
0.140812399823832,2319068
1.39837845012934,2504802
0.19363940760599,2331869
0.191972764738635,2317120
-0.389507976574079,2072215
-0.202835564199465,2228400
-0.778357955670471,2145166
0.460461328376987,1692385
-0.526662563620208,2109902
-0.510598555364835,2219842
-0.0330795977189542,2520618
0.117889724320461,2419459
0.379404876546097,2276121
-0.685218341978236,2350037
0.402470851487996,2001182
-0.268401807903698,2278618
0.0943942037373082,1740845
-0.325265595935795,2321962
0.325773456237675,2212664
0.780580725706984,2453577
0.276591455352788,2224150
-0.427676294213043,1967281
1.89133401113964,1742294
-0.496917361550237,2488660
-0.378096363915985,2085349
-0.670988091087439,2247869
-0.495193125938243,2157529
-0.655382949492126,2119177
1.62682513093432,2010554
0.0455995389970445,2493534
-0.0770875465431363,2200813
-0.576017037699478,2116787
-0.279626830703723,1154608
-0.574006459483138,2267382
-0.0261857243108539,1181124
0.626119495152277,2137799
-0.156931936185752,1458656
-0.694705527033693,2269346
-0.00713506461172566,2092954
-0.3944869793875,2007309
-0.119602936649438,1671370
