"letd_prp_lbp.3D.m2_firstorder_Range_236","letd_prp_lbp.3D.m1_glrlm_LongRunHighGrayLevelEmphasis_228","sub"
0.544456094643397,0.410715451583984,1916742
-1.21219912278358,-0.00908226074609928,1980052
0.055426053552451,-0.793459522969713,1926770
-0.0728651772523511,-0.654451163221439,1979045
0.544456094643397,-0.177603687383359,2196212
0.405212017257701,0.969266285185403,2393207
-0.65917764854203,1.01159593739755,2146138
0.536425548369515,-1.47324157876359,2228399
-2.21917017861649,-0.442223040941192,2144796
0.544456094643397,1.54858677225989,2234271
0.524781477188417,-1.66732441668623,2296332
0.173079319653102,0.708917848715317,1684230
0.482122423541134,0.280299281475036,1720713
0.544456094643397,-0.380327978655274,2186951
-1.1432338184619,0.78096085851405,2439458
-0.107339892154459,-0.11936347817364,2135748
-0.221264645630101,-1.45096933018521,2141116
0.544456094643397,0.979107963895483,2108003
-0.519006508276516,0.708086599915583,2006164
0.416918281476438,0.186202492531195,308862
0.197734002181778,1.1924646667598,1085983
0.22127688056806,-0.0524469682246761,2004451
0.47477866708503,0.512424019640142,2359944
-0.887792488396165,-0.82491886742837,2069079
0.07558522961289,0.554773949718268,2059713
-0.112175469854726,-1.06323788476143,2294873
0.544456094643397,0.925396209378791,2033049
0.360883802278899,-0.54656112833168,1485662
0.544456094643397,0.354296712205059,1526417
-0.189285181151844,-0.00437979598132338,1386095
0.839512917052794,-0.53231799696273,983079
0.544456094643397,0.605246195137943,2132424
0.325159938567325,-1.3525380756169,2138375
0.544456094643397,-0.490541985513301,2490180
0.557834116996548,-0.0484325319814196,2034136
0.351141455962441,-0.236898532516111,2510402
-0.0698674033198299,-0.1014179206758,1330263
1.27593700993154,-1.06506763769817,1768972
-0.0790408221595903,-0.0977784964322879,2306459
-0.440902020162665,-0.866231295363016,2181724
-0.579806037185951,-1.20145125448835,2217034
0.199311772045717,-0.97676635202392,2218615
0.254605910108967,0.952452549250882,92173
0.462109373487072,-0.130376883034927,2414406
0.839266096509605,0.594282078255795,2381907
-0.330162372825426,0.797207684177467,2002465
-0.249146813798539,0.802931109423806,2474709
-1.1369623192373,1.09441571317166,2176530
0.386484118283835,0.751602779368024,1279943
0.0148801957991348,0.279639319729652,1976407
0.544456094643397,0.202001452667041,2250836
-0.0194405929228755,-1.39568432383719,1915938
0.544456094643397,0.688251382557923,2133380
0.268965059714835,0.41664387841716,2271329
0.544456094643397,0.726134024847168,2286108
-0.651019333020578,-1.37782406969158,2040495
0.461031485339605,0.98656147279206,1125173
0.439048547974507,0.480147929112064,1767700
0.639750795023347,-0.154599137544328,2138678
-0.00425641491621117,0.721085622959753,2443354
0.172623171958133,1.0390364894696,2234422
0.544456094643397,0.981422182983387,2151024
0.0911102038753781,-1.45069465126413,2057358
0.544456094643397,0.796371184113595,2425694
-0.0275145176389781,0.123543405173569,2500377
0.199535508877192,0.162981217739099,2183356
0.0938738082151097,-0.21674777667495,2131601
-0.64340693101759,0.0255127567272317,2152442
0.544456094643397,1.7186814432484,2306893
-0.249322293484437,1.21963839933037,2009915
0.0322168032112874,-0.313728511698458,58325
-0.285264196756748,0.728568768001532,2395943
0.225449719968553,1.78034162357566,2480330
0.0601005005506708,0.541363628752455,2076301
0.544456094643397,-0.212141436670205,2205389
0.203963272581061,0.60092041314372,1975401
0.29660035046107,-0.567412386608804,2250648
-0.353858453330223,0.884758633263474,2185290
-0.0710122301206116,0.561054611518037,2091555
-5.80428039701237,-4.3446704135561,1232870
0.177965805793988,0.278928439988104,2139733
0.178407045310665,0.160619781792608,2559453
0.544456094643397,0.139565208014245,1938156
-1.08014037507701,-1.07268582130523,2158101
0.12306972945317,0.0899197725748827,2199403
0.690702957646173,-0.869921431398501,2430773
0.297978021453298,0.336696486232932,1738800
0.793757674558886,0.0837401973869334,1565177
-0.0410307570215767,0.389633704630144,1978972
-0.482984574921433,0.020737808038024,2487135
-0.80253234986442,0.613509953715223,1612262
0.544456094643397,0.259458214066496,2051378
0.277537314174694,-0.353309551979434,1497807
0.544456094643397,-1.19860395444808,2026671
-0.0548713972127392,0.609609637452492,2340322
0.530607923783815,-0.271006101338385,2293123
0.544456094643397,0.182558057477705,2395415
