"mkm7d_ptv4_lbp.3D.m2_firstorder_Maximum_240","sub"
-0.545218305295005,1085983
-0.320233303886258,1125173
1.67975972212191,1154608
-0.545218305295005,1181124
-0.545218305295005,1183075
-0.545218305295005,1232870
-0.320233303886258,1279943
-0.545218305295005,1329352
-0.545218305295005,1330263
0.442210958301091,1364384
-0.545218305295005,1386095
-0.320233303886258,1458656
-0.451436459621896,1485662
1.04380156235272,1497807
-0.404181622657384,1501387
-0.545218305295005,1518948
-0.545218305295005,1526417
2.72175383562225,1565177
-0.154148035744081,1606693
0.457100980918785,1612262
-0.545218305295005,1614566
-0.545218305295005,1644034
-0.320233303886258,1668599
-0.451436459621896,1671370
-0.545218305295005,1684230
-0.545218305295005,1692385
4.41348445433221,1720713
-0.545218305295005,1738800
1.13788962608723,1740845
-0.545218305295005,1742294
-0.320233303886258,1767700
3.03428025504297,1768972
2.30682149955092,1889409
-0.545218305295005,1915938
-0.377879183006713,1916742
-0.545218305295005,1919296
-0.545218305295005,1926770
1.05867655262801,1938156
-0.545218305295005,1938561
-0.545218305295005,1966316
-0.545218305295005,1967281
-0.545218305295005,1973544
-0.451436459621896,1975401
-0.451436459621896,1976407
-0.545218305295005,1978972
-0.545218305295005,1979045
-0.451436459621896,1979422
-0.0397457360675046,1980052
-0.451436459621896,2001182
-0.451436459621896,2002465
0.722350570637441,2004451
-0.545218305295005,2006164
-0.451436459621896,2007309
-0.545218305295005,2009915
-0.369673688566919,2010259
1.083989124513,2010554
-0.545218305295005,2026671
-0.0143724053530323,2033049
-0.545218305295005,2034136
-0.545218305295005,2040495
-2.24894202685767,2047354
-0.320233303886258,2051378
-0.545218305295005,2055667
2.22993115965358,2057358
1.0687249918193,2059713
-0.545218305295005,2069079
-0.545218305295005,2070958
-0.320233303886258,2072215
-0.451759375168419,2075832
-0.381209360749596,2075846
-0.451436459621896,2076301
2.61610983162986,2078198
-0.320233303886258,2078899
-0.545218305295005,2085349
-0.545218305295005,2086044
1.48772703533413,2091555
1.32827737320182,2092954
-0.440188255586795,2096627
-0.545218305295005,2100050
-0.545218305295005,2108003
-0.545218305295005,2109902
-0.545218305295005,2110540
-0.451436459621896,2116787
-0.545218305295005,2119177
-0.545218305295005,2131601
-0.545218305295005,2132424
-0.320233303886258,2132982
-0.451436459621896,2133204
-0.451436459621896,2133380
2.39462133058444,2134220
1.29302576348979,2135748
-0.545218305295005,2137799
-0.545218305295005,2138375
-0.290796221558487,2138678
-0.545218305295005,2139733
-0.545218305295005,2141116
-0.545218305295005,2144796
-0.545218305295005,2145166
-0.451436459621896,2145694
-0.320233303886258,2146138
-0.451436459621896,2151024
-0.545218305295005,215131
-0.545218305295005,2152442
-0.545218305295005,2157529
-0.545218305295005,2158101
-0.451436459621896,2158329
-0.545218305295005,2168082
-0.545218305295005,2172217
-0.545218305295005,2176530
0.0547808536700509,2176784
0.212467132968031,2181724
-0.545218305295005,2183291
0.194965277220247,2183356
0.270641234197599,2185290
-0.545218305295005,2186951
0.293202575900521,2196212
-0.545218305295005,2199403
-0.545218305295005,2200416
-0.545218305295005,2200813
-0.545218305295005,2205389
-0.451436459621896,2212664
-0.545218305295005,2217034
-0.545218305295005,2218615
1.22965680882413,2219842
0.192281179313807,2224150
-0.545218305295005,2228399
-0.451436459621896,2228400
-0.451436459621896,2234271
-0.545218305295005,2234422
-0.320233303886258,2237571
-0.545218305295005,2244172
-0.545218305295005,2247869
-0.545218305295005,2250648
-0.451436459621896,2250836
2.1412789179006,2267382
-0.0280874269802512,2269346
-0.451436459621896,2271329
0.90434173008729,2274521
0.980105256664729,2276121
-0.545218305295005,2278618
0.217275200984248,2285214
2.21058673403133,2286108
-0.545218305295005,2293123
0.162336607299973,2294852
-0.320233303886258,2294873
-0.451436459621896,2296332
-0.545218305295005,2305114
-0.451436459621896,2305115
-0.545218305295005,2306459
-0.320233303886258,2306893
-0.320233303886258,2317120
4.59239325915165,2319068
-0.451436459621896,2321962
-0.257491428554544,2331869
2.07821055890138,2336735
-0.345367981761986,2339674
1.66037875599709,2340155
-0.0426349862473926,2340322
-0.545218305295005,2350037
-0.545218305295005,2352038
0.967065304603065,2359944
-0.320233303886258,2381907
1.56491107774058,2393207
1.85173706515305,2395415
-0.451436459621896,2395943
-0.545218305295005,2401405
-0.451436459621896,2405144
-0.451436459621896,2414406
-0.292765194853359,2419459
-0.29521286272507,2425694
1.52317212294251,2426863
-0.27522486559354,2430773
-0.545218305295005,2439458
0.511029346765942,2443354
-0.294690400266585,2445526
-0.545218305295005,2448298
-0.283689518724524,2453577
-0.545218305295005,2474709
3.30819099886933,2480056
-0.320233303886258,2480330
-0.545218305295005,2487135
2.808085208183,2488660
-0.545218305295005,2490180
2.36822891738854,2493534
-0.545218305295005,2498991
-0.320233303886258,2500377
-0.545218305295005,2504802
1.9882581785125,2510402
0.650071659832057,2520618
1.14979734776406,2559453
-0.545218305295005,277752
0.475843889642373,308862
-0.451436459621896,58325
-0.451436459621896,92173
1.36427927326803,923666
0.179257850387052,965005
-0.545218305295005,983079
