"lemd_gtv_wavelet.LHL_firstorder_Kurtosis_229","sub"
-0.514849107833443,1916742
-0.620952222846626,1980052
-0.663140341910922,1926770
0.474898290290739,1979045
-0.167490131476964,2196212
3.77973827526659,2393207
-0.47542867370303,2146138
-0.349058782664328,2228399
-0.269659554103347,2144796
-0.553557198352894,2234271
-0.17352621688996,2296332
-0.445136399360981,1684230
0.449275989474435,1720713
2.09144200477341,2186951
-0.623616152973929,2439458
1.36067964604531,2135748
-0.490353621713833,2141116
-0.50547392782094,2108003
0.203644909095897,2006164
-0.529671409741861,308862
-0.619310881525155,1085983
-0.609269769645288,2004451
-0.600386790959524,2359944
-0.240366557018492,2069079
-0.348885139281712,2059713
-0.547399646908942,2294873
-0.539731913022196,2033049
-0.638201339231052,1485662
-0.620275895087929,1526417
-0.304883758640616,1386095
-0.66469387678656,983079
-0.600293680094936,2132424
-0.434845285254889,2138375
1.09603320002616,2490180
0.0148557731948774,2034136
0.139702210921588,2510402
-0.5834170805244,1330263
0.440781278128344,1768972
-0.107035152029197,2306459
-0.437215315181979,2181724
-0.272211189353804,2217034
-0.588968710880805,2218615
-0.443555615758492,92173
0.279593136263188,2414406
-0.440909691814075,2381907
-0.69103248703238,2002465
-0.43927265035836,2474709
0.55984416211704,2176530
-0.557732435500123,1279943
-0.508904168470619,1976407
-0.535056854853795,2250836
-0.619146474462998,1915938
-0.610444055996511,2133380
-0.504594458248702,2271329
-0.370045864264342,2286108
-0.559143739489985,2040495
-0.46797171185354,1125173
-0.320931724602623,1767700
0.53693959827158,2138678
0.9697898230261,2443354
-0.502707655293454,2234422
-0.0265411893490242,2151024
0.131305809314041,2057358
-0.484419583436066,2425694
3.52798374006611,2500377
-0.171723973019672,2183356
-0.162597811382775,2131601
-0.692343519792235,2152442
0.495865092708046,2306893
-0.477465821497643,2009915
-0.40947146458522,58325
2.0819993702577,2395943
1.77551978183927,2480330
-0.585143875216114,2076301
-0.544729374850345,2205389
-0.655254112470384,1975401
-0.66828496856774,2250648
-0.5987206688569,2185290
-0.619180045623666,2091555
-0.697078468708334,1232870
-0.517844564382833,2139733
1.87944392864528,2559453
0.800408907710833,1938156
-0.653748456987112,2158101
-0.478948060661683,2199403
-0.66286676078988,2430773
0.591007574590488,1738800
-0.146468904104365,1565177
-0.203228128687062,1978972
0.380955695285725,2487135
-0.432899529609945,1612262
-0.591527134626145,2051378
-0.644723587974356,1497807
0.0424718551864743,2026671
1.93083709059178,2340322
0.399906784418745,2293123
1.01381412791439,2395415
-0.462182508035002,1966316
-0.694743932310448,1973544
-0.170446441126195,2010259
-0.602849903151476,2145694
-0.542560941350343,965005
1.16122320826189,2096627
-0.631951836924167,2047354
-0.670492441255287,1364384
-0.068801923244338,2244172
0.604010299971604,2132982
0.513093701839612,2134220
0.307906558582531,1889409
-0.541773495619145,1938561
-0.378978935787842,2055667
-0.610143666758367,2176784
-0.36030746891521,923666
0.233377188528799,2086044
0.43424111505516,2078198
-0.481110611031459,1501387
-0.363464473916446,1518948
0.0282723941034047,1606693
4.3662730765783,2305115
-0.522067091518656,2237571
-0.504648326917983,2285214
4.82981313745503,2426863
-0.0606914047767133,1979422
0.379926250173495,2480056
-0.39142731399828,1668599
2.11906201148,2339674
-0.376005456739073,2133204
3.03456030101983,2294852
0.919215410323034,2445526
-0.641508034354467,2200416
-0.648877131461526,2168082
-0.524947305704878,2075846
-0.415190578086244,215131
0.873298206770136,2274521
-0.641354061341384,277752
-0.512803393772879,2078899
-0.605496639866472,2172217
-0.310064080198819,1614566
-0.621752613665714,2100050
0.789482312434499,2183291
-0.262845008071437,2336735
-0.513309799353368,2352038
-0.517836485521418,2305114
-0.57235826276685,2448298
-0.64477289504662,1329352
-0.638733990819241,1183075
-0.210892325915354,2110540
-0.293426061507069,2070958
-0.524629940242275,2340155
-0.366737513515153,2075832
0.121474021413994,2498991
-0.636230698452222,1919296
-0.586101135403662,2401405
-0.262859443532717,1644034
2.52471408585966,2405144
-0.594849887039218,2158329
0.508748495792291,2319068
-0.619856747114256,2504802
-0.477312438666486,2331869
0.653073201492939,2317120
-0.503722311143534,2072215
-0.429865610424726,2228400
-0.666112084044313,2145166
-0.469234549344502,1692385
-0.58221322200191,2109902
-0.189872862678471,2219842
1.40164474053083,2520618
-0.463575873314778,2419459
-0.386007042841065,2276121
-0.469661125237282,2350037
2.59367312579791,2001182
-0.682044328506078,2278618
1.18099550365868,1740845
-0.468111015107023,2321962
-0.551052359045472,2212664
0.511648416123893,2453577
0.835015669349156,2224150
-0.399304602966652,1967281
-0.599817113703668,1742294
0.313160799165787,2488660
-0.15290747037144,2085349
-0.554725031884315,2247869
-0.530502882664699,2157529
2.34740106613424,2119177
-0.174268623636845,2010554
1.61652444095428,2493534
-0.506224293407558,2200813
-0.642270470377205,2116787
-0.511526557858041,1154608
0.398219045786612,2267382
-0.281943109430336,1181124
-0.643713792555062,2137799
4.32743135629679,1458656
0.183622516100432,2269346
-0.579367499427424,2092954
-0.537675468277888,2007309
-0.66876045141247,1671370
