"letd_prc_gradient_glcm_Imc2_227","sub"
0.100861224892103,1916742
0.525242652362411,1980052
0.246752496110064,1926770
0.41909346382204,1979045
-0.098287937393972,2196212
-0.321578756876572,2393207
0.31208235639656,2146138
-5.82518443465729,2228399
0.483778250083065,2144796
0.334738230523624,2234271
-0.581763431035843,2296332
0.452966320653569,1684230
0.270163146791234,1720713
0.457098728908494,2186951
0.451837057454617,2439458
0.414235568490568,2135748
-1.51930808588071,2141116
0.369887860202699,2108003
0.392236262093377,2006164
0.516765078683389,308862
-0.22786388946644,1085983
0.492267196759605,2004451
0.447678469331427,2359944
0.361419368859012,2069079
0.393931978339754,2059713
-0.40631628127831,2294873
0.503919716997767,2033049
0.0844883621174262,1485662
0.490817749068172,1526417
0.496075782030462,1386095
0.443440519691645,983079
0.495268962003608,2132424
0.408111173855553,2138375
0.281380541186632,2490180
-0.479890494051913,2034136
0.191664726639102,2510402
0.340668020525618,1330263
0.326686318966051,1768972
0.474732873458105,2306459
0.518966166284216,2181724
-0.446387394349168,2217034
0.518693941959829,2218615
-0.389359540159599,92173
0.305292550470161,2414406
0.107610037539981,2381907
0.500343683541238,2002465
0.323808557921231,2474709
0.28437222212088,2176530
0.293865630213832,1279943
0.477206852067601,1976407
0.222833777890876,2250836
0.507561170560488,1915938
0.331081290441988,2133380
0.371594655248473,2271329
-0.666169787561289,2286108
0.476925278226355,2040495
-0.0316706277672817,1125173
0.500847955685897,1767700
0.274159060507735,2138678
0.0476501815831298,2443354
0.257113017446309,2234422
-0.305675184170005,2151024
-1.5211702431058,2057358
-0.293011688081672,2425694
0.121309305962318,2500377
0.272714425222327,2183356
0.486192038963912,2131601
0.529926944455266,2152442
0.366602805441486,2306893
0.456017478550326,2009915
0.15378053023123,58325
0.200760721625769,2395943
-2.01937976245431,2480330
0.512041961444291,2076301
0.0272875060871286,2205389
0.521946275426182,1975401
0.446563659366511,2250648
0.368892791960704,2185290
0.071271860957616,2091555
0.506896354914806,1232870
0.368140800442218,2139733
0.157357365802831,2559453
0.202562084262646,1938156
0.430008086036816,2158101
0.487146213965081,2199403
0.243634589977094,2430773
0.0854756838082579,1738800
0.294610416647449,1565177
0.4374416376696,1978972
0.0279911440228464,2487135
0.324914749801616,1612262
0.452587658145764,2051378
0.13557188067248,1497807
0.424933701938947,2026671
0.288575957042851,2340322
-2.60643331777319,2293123
0.0332091306931129,2395415
0.468829877899548,1966316
0.529352031466528,1973544
0.351719560903538,2010259
0.41801020257376,2145694
0.245557605516681,965005
0.474943108405764,2096627
0.525007277120147,2047354
0.527646678065359,1364384
0.392761868102591,2244172
-1.4047626265502,2132982
-0.106322500518477,2134220
0.207736009110855,1889409
0.337681445589859,1938561
0.355564550076818,2055667
0.523680846976948,2176784
0.38959237569701,923666
0.365003599575302,2086044
0.282471932993027,2078198
0.269493028961303,1501387
-5.75617597982268,1518948
0.0347639941476668,1606693
0.136217729028287,2305115
0.471512431918792,2237571
0.314604565154472,2285214
-0.983821030652175,2426863
-5.67392517806099,1979422
0.42118819312608,2480056
0.293741562567836,1668599
-0.131654116970426,2339674
0.164613024898428,2133204
-0.000150816986307568,2294852
0.123065210292685,2445526
0.466320919952006,2200416
-2.45316897012747,2168082
0.115084565098573,2075846
0.3303235193022,215131
0.379239178257832,2274521
0.519286607548598,277752
0.0445869083822687,2078899
0.421035876377108,2172217
0.41471066081443,1614566
0.509411800496598,2100050
0.0509750088428033,2183291
0.427107753501836,2336735
0.332999284517866,2352038
0.361496827136884,2305114
0.335326290733859,2448298
0.403923181527002,1329352
0.527859779314205,1183075
0.338707887721838,2110540
0.362776062513275,2070958
0.184321370310885,2340155
0.327057102613775,2075832
0.157322115293719,2498991
0.461069927250524,1919296
0.30990813076183,2401405
-0.223370127648238,1644034
-0.347309724239452,2405144
0.14431779212115,2158329
-0.653979612170596,2319068
0.250736983822292,2504802
-1.61473392027586,2331869
-0.348953507213104,2317120
0.50128702623097,2072215
-1.88921992229987,2228400
0.444609424192434,2145166
0.508048440055622,1692385
0.123690823212709,2109902
-0.438004885027725,2219842
0.278441103971701,2520618
0.226766418120128,2419459
-3.3868020429466,2276121
-2.4168409967404,2350037
0.0459805729663518,2001182
0.497344153378291,2278618
-0.0890232235899102,1740845
-0.405542904988327,2321962
0.327563612223831,2212664
-0.121073606196923,2453577
0.32961782059025,2224150
-0.164807650237338,1967281
0.518282228333827,1742294
-1.33548646201197,2488660
0.362431283850335,2085349
0.366015422690524,2247869
-4.78454413322297,2157529
0.300433806446241,2119177
0.452165060639339,2010554
-0.204925458491451,2493534
0.129279686847839,2200813
0.16745097464486,2116787
0.269145788395199,1154608
0.134022489700146,2267382
0.464973318684783,1181124
0.41645803553658,2137799
-0.0606571281795304,1458656
0.446959800331266,2269346
0.276489886899041,2092954
0.402203831249489,2007309
0.2077998791103,1671370
