"mkm2d_gtvper_wavelet.LLH_glszm_LowGrayLevelZoneEmphasis_245","sub"
-0.383223179277866,1085983
-0.504456931141601,1125173
0.270430556806554,1154608
-0.535809054823206,1181124
0.315694034868244,1183075
1.78149721228928,1232870
-0.358861373524514,1279943
-0.356213517303275,1329352
-0.585644946086401,1330263
3.56291392187878,1364384
0.110801511376035,1386095
-0.60972930392667,1458656
-0.774188800355494,1485662
-0.469693103277613,1497807
0.39157361651509,1501387
0.733058540153929,1518948
-0.538831090354927,1526417
-0.697004125122917,1565177
-0.824342731896842,1606693
2.26147318275718,1612262
-0.667256189753091,1614566
2.20608485351247,1644034
0.826359265702646,1668599
0.274207976624115,1671370
-0.217489057220517,1684230
0.517316412697255,1692385
-0.0318572906651657,1720713
-0.278219077917548,1738800
-0.651110693557087,1740845
0.262969953733136,1742294
1.19314726580909,1767700
-0.787660640401393,1768972
-0.759560773730238,1889409
0.497007757757636,1915938
-0.866902758113787,1916742
0.495219501856726,1919296
3.38707870343524,1926770
-0.932753273674565,1938156
0.479005232064211,1938561
0.0571238050441481,1966316
0.788518038192996,1967281
1.09362575580799,1973544
0.17410842160889,1975401
-0.135761933647456,1976407
1.09091712395256,1978972
2.25941897011522,1980052
-0.740861298646114,2001182
1.23071215769431,2002465
0.120057298708501,2004451
0.560061364560922,2006164
-0.421692912130924,2007309
0.886198255261009,2009915
-0.440422312031991,2010259
-0.784896556072784,2010554
-0.387923446102695,2026671
-0.3228449739612,2033049
-0.666438046278316,2034136
0.747219698381567,2040495
0.677916954254197,2047354
0.200218273838916,2051378
-0.195555620632389,2055667
-0.362331720371653,2057358
-0.37340910543334,2059713
5.5598935742021,2069079
-0.446752387112827,2070958
-0.257758212737008,2072215
0.00407615677774351,2075832
-0.471436539896636,2075846
-0.268451772431324,2076301
-0.923311579955638,2078198
-0.482256263992211,2078899
-0.420129769706128,2085349
-0.659801335275949,2086044
-0.291108944658527,2091555
-0.347044899845325,2092954
-0.612825450554775,2096627
-0.144263885012745,2100050
-0.0278810250597514,2108003
0.0839238011472584,2109902
-0.749820639374381,2110540
-0.373169564318905,2116787
-0.813455856375597,2119177
-0.813442265884148,2131601
0.114872357979641,2132424
-0.477752698169551,2132982
-0.813678859349747,2133204
-0.294507610706584,2133380
-0.335176103439016,2134220
-0.719159219397433,2135748
0.113619367496211,2137799
-0.40042904309256,2138375
-0.827247682452146,2138678
-0.0795167097473052,2139733
0.522317880657713,2141116
1.09847141737789,2145166
-0.338641651898839,2145694
-0.0485165326192283,2146138
-0.428530249419705,2151024
-0.205983504682155,215131
0.116418866931278,2152442
3.6484264295207,2157529
0.0143057514316901,2158101
-0.964890793964657,2158329
1.53758961605189,2168082
0.737098549947832,2172217
-0.254712816100896,2176530
0.697169690776431,2176784
-0.118517930910832,2181724
-0.325363314382427,2183291
-0.445614486284881,2183356
2.08175976254213,2185290
-0.707432499704667,2186951
-0.683307767533321,2196212
-0.762837710290888,2199403
-0.0936929892843451,2200416
0.229072356200364,2200813
-0.576435278612724,2205389
-0.44487613096707,2212664
0.195921387239322,2217034
-0.292254051789479,2218615
-0.649206741362325,2219842
-0.86136864263214,2224150
5.69737254017287,2228399
-0.193300410755751,2228400
-0.389270268659629,2234271
-0.2477252215304,2234422
-0.553203435747113,2237571
-0.502866770982125,2247869
0.314832924016103,2250648
-0.549818796615581,2250836
-0.0895100301271332,2267382
-0.798453767163747,2269346
-0.429404608187877,2271329
-0.729742246908452,2274521
-0.523766937449298,2276121
-0.470844844064063,2278618
-0.27911494599597,2285214
-0.558004212098658,2286108
-0.693958374566867,2293123
-0.856365940965687,2294852
0.341528464082648,2294873
-0.125774607261281,2296332
0.322475449176351,2305114
-0.743150561871268,2305115
1.27053481453548,2306459
-0.0786698807668761,2306893
-0.811393261350034,2317120
-0.73197226436777,2319068
-0.24412731207834,2321962
0.877143552207886,2331869
1.06089130469737,2336735
-0.726849648346501,2339674
-0.48035913206846,2340155
-0.811083145371413,2340322
-0.0213635784064352,2350037
-0.103296035828806,2352038
0.862434987874528,2359944
0.12500344322239,2381907
-0.756123407424129,2393207
-0.61039983283659,2395415
-0.10141286773215,2395943
-0.298219341876926,2401405
-0.692898847861756,2405144
-0.884321145662916,2414406
-0.392170973077691,2419459
-0.551694194481486,2425694
-0.651025344499902,2426863
-0.195955329775008,2430773
0.360553387917571,2439458
-0.675686382877889,2443354
-0.654326843009612,2445526
-0.30942113056848,2448298
-0.370069225009232,2453577
0.452884644608309,2474709
-0.023217208395329,2480056
-0.226589620893949,2480330
-0.577956507967415,2487135
-0.125474048164695,2488660
-0.14694641732829,2490180
-0.137581610803762,2493534
0.534064407847593,2498991
-0.802788324274169,2500377
1.93373832373608,2504802
-0.486936161310425,2510402
-0.860431203243087,2520618
-0.650578678433617,2559453
1.88044720934621,277752
0.257764143328093,308862
-0.888445174600121,58325
-0.580377357988259,92173
-0.685361141350699,923666
0.496763629095005,965005
