"mkm5d_ctvper_wavelet.HHL_glcm_Imc1_234","sub"
0.167063081634629,1085983
0.372173805674624,1125173
0.684298780231522,1154608
-0.585339339923595,1181124
-4.76130118528081,1183075
-0.791313372571922,1232870
0.458751173735389,1279943
-0.139431755589675,1329352
0.390321037401605,1330263
-1.65351247221337,1364384
-0.195776235816141,1386095
0.0378565979345922,1458656
0.305266145504739,1485662
0.50802703460736,1497807
0.203304913079286,1501387
-0.4883905350689,1518948
0.244866067093523,1526417
-0.155093142347008,1565177
0.819590349718528,1606693
1.12519427450266,1612262
0.212620393531906,1614566
0.316948719864184,1644034
-0.49213776915842,1668599
-0.928855851064827,1671370
-0.00435187161603635,1684230
-0.886643092536771,1692385
0.386069774709855,1720713
0.933482291036779,1738800
0.655033902606935,1740845
-1.41431267258694,1742294
-3.33672441474599,1767700
-0.132460856466538,1768972
0.532874779744899,1889409
-0.00655290139494269,1915938
0.901371773644779,1916742
0.714796531426753,1919296
0.15561238070218,1926770
0.356608268563259,1938156
0.28486791038646,1938561
0.657384896462614,1966316
0.202596425229522,1967281
-1.47286873164018,1973544
-0.656754406248107,1975401
0.522153170299346,1976407
-0.0648872487350525,1978972
1.08490739222735,1979045
1.31798624132294,1979422
-1.78638641822168,1980052
0.435634245431751,2001182
-4.5513909897044,2002465
-0.447784155772013,2004451
0.481683436751991,2006164
-0.573316062079786,2007309
0.445964599962891,2009915
-0.380779504584932,2010259
-0.10346009185985,2010554
-0.93008081287518,2026671
-0.431709824965182,2033049
1.33511216434171,2034136
-0.629781365765891,2040495
-2.14823042359851,2047354
-0.0732314708415019,2051378
0.913738976031796,2055667
0.289987445441041,2057358
0.528662339936008,2059713
-0.195448913773281,2069079
0.188782772512832,2070958
-0.0955290689748324,2072215
0.0253817722741841,2075832
0.887760730241422,2075846
-2.1356815371053,2076301
0.753567559914079,2078198
-0.623516066393878,2078899
-0.157512469022504,2085349
-0.452420144695647,2086044
0.982230193261684,2091555
0.687416251536462,2092954
-0.694963600070509,2096627
-2.92712488867983,2100050
-0.098986480177118,2108003
0.0469255928333343,2109902
0.605314091801688,2110540
0.755919191638937,2116787
0.425474266074502,2119177
-0.610488498380865,2131601
-1.24932243445721,2132424
0.82640662448525,2132982
0.46937551312855,2133204
-0.362815566733072,2133380
-0.0843563177447135,2134220
-0.230531939756401,2135748
-1.76881174718089,2137799
0.0401112049566064,2138375
-0.813678018608229,2138678
-0.574023172719677,2139733
-0.0844390021384969,2141116
-2.89672077964189,2144796
-1.62319603256279,2145166
0.43157261044019,2145694
-0.187559664704172,2146138
0.695756736618216,2151024
0.930987934483897,215131
-2.67639602977161,2152442
-0.266168837189006,2157529
0.0323022114030022,2158101
0.205415161274259,2158329
0.452913072219006,2168082
0.218943329924722,2172217
0.250740817214456,2176530
-3.10405701538974,2176784
-1.83613146753753,2181724
0.53960613421016,2183291
0.0711228835273861,2183356
0.162177849662842,2185290
-0.505959044901014,2186951
1.05308281286345,2196212
-1.10910842107895,2199403
-0.527160202533117,2200416
1.07719975851429,2200813
-0.0568574189469862,2205389
0.12104330054992,2212664
1.18330110813522,2217034
-0.512391280205704,2218615
0.991599027395159,2219842
0.792986627203476,2224150
0.393096567231125,2228399
0.765299391586801,2228400
-1.58860852288136,2234271
-0.844843667362203,2234422
0.311373630906956,2237571
0.145357807639232,2244172
-0.374931115964867,2247869
-1.11512054962033,2250648
0.552045970925999,2250836
0.339619024731492,2267382
-1.09699799128563,2269346
-1.27080008350993,2271329
1.13298003326847,2274521
0.899373861158013,2276121
-0.434189309905372,2278618
0.239734946495588,2285214
1.324362999653,2286108
0.719041353626231,2293123
0.172138204822214,2294852
-0.692739796504519,2294873
0.812198521914589,2296332
0.789258476329439,2305114
0.238630320504527,2305115
0.281682849325657,2306459
0.0187735243622717,2306893
0.688436564464364,2317120
1.28567478852617,2319068
0.614306188999669,2321962
1.42819391044233,2331869
0.616170554983234,2336735
0.79353844231671,2339674
1.26626597098946,2340155
0.0122006743365055,2340322
0.48925900744594,2350037
0.0723939291179221,2352038
0.0990917980171684,2359944
0.8225084935234,2381907
-0.207081339496023,2393207
0.689015742322521,2395415
0.824757814563432,2395943
0.668574566981116,2401405
0.799672512579908,2405144
0.430655719076657,2414406
0.704854637363333,2419459
0.780594232290469,2425694
1.02659804969358,2426863
0.265741975790603,2430773
0.0148556443430545,2439458
0.562186420252272,2443354
0.529724727214255,2445526
0.543457422338517,2448298
0.386755331167881,2453577
-0.0445294702112233,2474709
-0.403127361376997,2480056
0.52875887231406,2480330
0.43009075733599,2487135
1.03029678589425,2488660
0.890951989921066,2490180
0.459727737051302,2493534
0.144651415085652,2498991
0.00418764074179162,2500377
-0.444644592168724,2504802
0.709758568882088,2510402
0.432138674343417,2520618
0.625742007728976,2559453
-2.20489329145046,277752
0.6403224346129,308862
1.15186801490361,58325
0.554444741263575,92173
0.457250118881795,923666
0.278644502212083,965005
0.62920680221756,983079
