"mkm10d_ptv4_wavelet.LLH_glcm_Imc1_250","sub"
0.579655649959987,1085983
0.415512716731904,1125173
0.403465199506984,1154608
0.419236766914464,1181124
0.806086406227935,1183075
-0.693933459520211,1232870
-0.458298395378557,1279943
-0.150838451649314,1329352
-0.251569930857148,1330263
-4.3212224217053,1364384
-1.40496397291774,1386095
0.147732969722404,1458656
0.329067748279803,1485662
0.772779785895051,1497807
-0.195983370576573,1501387
-0.799417434913479,1518948
1.07242889295679,1526417
0.606284768971011,1565177
0.374164961440485,1606693
-0.523269055418768,1612262
-0.00108973151420907,1614566
-0.34179773492312,1644034
0.201285683853987,1668599
-0.306083994073297,1671370
0.228217827645647,1684230
0.103484587532454,1692385
-0.0541845510131119,1720713
0.23542413005426,1738800
0.865998572618958,1740845
0.0831656383679838,1742294
-0.315977294889402,1767700
0.591178140793571,1768972
0.750257892828197,1889409
0.104421095442509,1915938
1.24328527169791,1916742
-1.88783500517124,1919296
-3.39503155186843,1926770
0.289592443244155,1938156
-0.00886552474164776,1938561
0.426746309996984,1966316
-0.725272584325138,1967281
-3.066925303852,1973544
0.649115877542703,1975401
-0.812914600057994,1976407
-0.901602110523058,1978972
-0.95620028493996,1979045
0.00745776890657445,1979422
-1.5733735773685,1980052
-0.757966439141547,2001182
-1.53677018434026,2002465
-0.537403152667445,2004451
-0.624911895848041,2006164
0.984903843563387,2007309
-0.338605776367795,2009915
1.00157484276147,2010259
0.721893343961584,2010554
0.887258929950965,2026671
0.191508286394017,2033049
1.62800441373291,2034136
1.65756532231184,2040495
-3.89898883936567,2047354
0.102127939811287,2051378
1.10082571969689,2055667
0.538494765732641,2057358
1.03699490456326,2059713
0.424860833220206,2069079
-0.186528048372974,2070958
0.554562389263134,2072215
0.242411006106119,2075832
0.40405208315233,2075846
0.356322192744664,2076301
0.252501304788659,2078198
2.02596470859151,2078899
-0.259777463087335,2085349
0.406939472344499,2086044
0.676837974821832,2091555
1.04237464648248,2092954
0.331146116676602,2096627
0.214747061423668,2100050
-1.12398788253963,2108003
0.632272126694506,2109902
0.102010652596712,2110540
-0.573491060608408,2116787
0.377117675116588,2119177
0.000116146352633301,2131601
-0.132023696290156,2132424
-0.738293238398347,2132982
0.105083088575292,2133204
1.00589858071039,2133380
0.180270052890388,2134220
0.414656679689791,2135748
0.151461191335375,2137799
0.719690478595345,2138375
0.976323402600368,2138678
0.398476101006738,2139733
0.995208100565834,2141116
-0.618468456968733,2144796
-0.655888219451428,2145166
0.556021382886615,2145694
0.224469437145602,2146138
0.368314069919254,2151024
-0.453983077027316,215131
-0.742134110802831,2152442
-2.28523561856627,2157529
-1.69712345109299,2158101
0.0346764076158048,2158329
0.384656096509858,2168082
-0.6371281688839,2172217
-0.0178509443366343,2176530
-2.61141089119412,2176784
-0.239389495234621,2181724
1.23141893760716,2183291
0.292310988637518,2183356
-0.346597612561452,2185290
-0.194277674252298,2186951
2.06959582186663,2196212
0.3944727235189,2199403
-0.832950062120074,2200416
-0.270760528405421,2200813
0.0465789748374669,2205389
0.552836005982363,2212664
-0.215356487930833,2217034
-2.55608116399493,2218615
0.504363317529588,2219842
1.26172807314814,2224150
-3.1341394573741,2228399
-0.650143800630895,2228400
0.174105974559637,2234271
0.875083600400439,2234422
-0.519460015591354,2237571
0.0588607753768772,2244172
0.506424504996419,2247869
-0.488638118242,2250648
0.370501175606316,2250836
-0.53824134532354,2267382
0.522381483590255,2269346
1.06449546783519,2271329
0.158056434259792,2274521
0.0994681821018482,2276121
-2.42874870626313,2278618
0.219708427408201,2285214
1.23950511050119,2286108
1.09494730787255,2293123
-0.0762357833180357,2294852
-1.79599824563009,2294873
0.552704979273287,2296332
-0.0841856839811281,2305114
0.652637324129206,2305115
-1.06655534829965,2306459
-0.0167914256335137,2306893
1.26778768187102,2317120
0.60418580975425,2319068
0.721681046244012,2321962
0.775565550271792,2331869
-0.228990754914393,2336735
0.948388552234863,2339674
-0.0943827342550979,2340155
0.887934777103512,2340322
1.79219920940611,2350037
0.27185030666173,2352038
-1.10261273278508,2359944
-0.68565767288141,2381907
0.369955287048268,2393207
0.0115137663842738,2395415
-0.606382847499225,2395943
0.100295852654369,2401405
0.777949993111276,2405144
0.355872409894356,2414406
0.436110716118045,2419459
0.298656519142154,2425694
0.514711724674982,2426863
-0.711436309827414,2430773
-1.12211381809571,2439458
0.516522707178788,2443354
0.343915367923521,2445526
0.0973039945606249,2448298
0.668090218056096,2453577
0.0710753970862707,2474709
-1.12089210578555,2480056
1.24753257310964,2480330
0.836924377057833,2487135
1.08506887697443,2488660
-0.565014397335093,2490180
0.868727970780814,2493534
0.695653162735347,2498991
0.817978531372065,2500377
-0.943657101923459,2504802
0.853252140943621,2510402
0.4512324436344,2520618
0.96432968150023,2559453
-1.16851573843726,277752
-1.0048648818856,308862
0.304803697570679,58325
0.562859189153127,92173
0.227852046563238,923666
-0.41869740422209,965005
-2.00421763766602,983079
