"lemd_prc_logarithm_firstorder_Maximum_250","sub"
1.05637568352444,1916742
-1.65385306915718,1980052
0.601270931893572,1926770
1.30128069606568,1979045
0.822010469828167,2196212
0.63099704668483,2393207
0.622293467535073,2146138
-0.126421391616765,2228399
1.29046232203914,2144796
0.772076752660057,2234271
-1.25053207395345,2296332
0.889803623572363,1684230
0.0304458841783152,1720713
0.22363179253789,2186951
0.585443657221337,2439458
1.42602454880797,2135748
-1.09687871856199,2141116
-1.24778840347431,2108003
0.577553909333026,2006164
-1.83456250217009,308862
0.645529788956703,1085983
-2.34491190961313,2004451
0.568050359272349,2359944
-1.38730879443197,2069079
-2.28091093055868,2059713
0.805213496124958,2294873
-2.28175365855099,2033049
-1.76254313052033,1485662
-0.495144971014929,1526417
0.639228894858707,1386095
-1.74005411839496,983079
-1.1440785162575,2132424
-0.39035136046281,2138375
0.677315485217392,2490180
0.761034955558985,2034136
0.711792526692828,2510402
0.0926709507599186,1330263
-0.884977247308736,1768972
0.661099414781176,2306459
0.27974119947724,2181724
1.164471031053,2217034
0.317367210296682,2218615
0.0957088063661818,92173
0.987838846575033,2414406
0.565532000831869,2381907
1.28222051581179,2002465
0.640470056370919,2474709
0.787329575470733,2176530
1.25487941115526,1279943
-1.76223300176586,1976407
0.146072126667283,2250836
-1.84353643464004,1915938
-0.483241806019607,2133380
0.664901297201146,2271329
0.686353482854627,2286108
-2.23883693293149,2040495
0.0957289978069808,1125173
-1.01490567091745,1767700
-0.23998656690724,2138678
0.776567464891225,2443354
1.1870685234792,2234422
-0.652200189101405,2151024
-1.16672519946409,2057358
0.64281873173863,2425694
0.743174627552176,2500377
0.682092584777696,2183356
0.710083228179271,2131601
-1.00274223267846,2152442
0.827750293666544,2306893
-1.74557407962303,2009915
0.88033679920037,58325
0.560392517313172,2395943
0.888087462727926,2480330
0.0213189525246016,2076301
0.0248793170452599,2205389
-2.40641068355281,1975401
0.579438396927007,2250648
-0.0166842456157274,2185290
1.28376238616211,2091555
-1.04598376893716,1232870
0.721087460614913,2139733
0.816405717227773,2559453
0.895059005103274,1938156
0.668107855945571,2158101
-0.30123909997266,2199403
0.587648084168209,2430773
0.676773058701748,1738800
-0.311685396816763,1565177
0.0391118558667006,1978972
0.724796625522132,2487135
-0.00869054219951083,1612262
-0.608257597534206,2051378
0.740294639784613,1497807
-1.0026145561563,2026671
1.12725522334409,2340322
0.0172766226932651,2293123
0.680399415515806,2395415
-1.7579481795758,1966316
-2.43882405738294,1973544
-2.25498810314302,2010259
-0.522450127762521,2145694
0.648099493077292,965005
-0.972798205758553,2096627
0.681460467232464,2047354
-0.571914605320238,1364384
0.677305479938497,2244172
-0.514762085040146,2132982
0.574063855757743,2134220
0.802358142251843,1889409
-1.80996811148895,1938561
-1.20160260649823,2055667
0.202109688536234,2176784
0.796289663260079,923666
-0.433888956762896,2086044
0.425853449401281,2078198
0.613567536118116,1501387
0.591277542000611,1518948
-1.17793804148459,1606693
0.621478267045784,2305115
0.772202758133819,2237571
1.30004099826287,2285214
0.694950523675831,2426863
-1.87330192375339,1979422
0.900783184215234,2480056
-1.00700857693879,1668599
0.73830072033767,2339674
-0.414019696353887,2133204
0.698187965990554,2294852
0.704180673603568,2445526
0.0333533165990762,2200416
-0.114467808864127,2168082
0.677370591922972,2075846
0.609126337023634,215131
0.135384212745349,2274521
-2.43012063574599,277752
0.118308632858883,2078899
-1.21931761824161,2172217
0.277771203131556,1614566
-1.06913533288517,2100050
0.0012638944465714,2183291
0.565617913689029,2336735
0.635265111106345,2352038
0.636300947334549,2305114
0.606551665642446,2448298
0.00158694852650769,1329352
-2.29624544195206,1183075
-1.01199180625234,2110540
-0.403324947508438,2070958
0.609073925076311,2340155
-1.71576381419006,2075832
0.58035465917336,2498991
-0.556468767830569,1919296
0.575654005703752,2401405
-1.28798319134449,1644034
0.676691868544376,2405144
1.01369878406888,2158329
-1.17712832570086,2319068
0.783118329457248,2504802
0.808312146789897,2331869
0.977083617330518,2317120
-1.61678743561504,2072215
-0.0991282591228658,2228400
0.00971313106847464,2145166
-1.06932925087193,1692385
-0.519973071353981,2109902
0.922270315067154,2219842
0.801236653614171,2520618
1.06546940404714,2419459
0.00105619877941264,2276121
0.641154609359292,2350037
0.232112855028816,2001182
1.28097697489711,2278618
-0.407241305450498,1740845
1.30624263038316,2321962
-0.619652910923454,2212664
0.823870522007877,2453577
0.882318090604422,2224150
-0.705070447741471,1967281
-1.72931628234986,1742294
0.695772247883931,2488660
-1.07536808334516,2085349
0.692393946800071,2247869
0.5272453647768,2157529
1.01840081904284,2119177
-1.99441806124455,2010554
0.680118242471253,2493534
0.651312416301524,2200813
0.618567222360133,2116787
0.660759617467402,1154608
0.12364295168434,2267382
0.809020359834006,1181124
0.0253407632259837,2137799
0.71185281916741,1458656
0.381604708788061,2269346
-1.73290276591324,2092954
-0.466852066724897,2007309
0.8539602579297,1671370
