"mkm5d_ptv_lbp.3D.m2_firstorder_Maximum_250","mkm5d_ptv_wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis_250","mkm5d_ptv_wavelet.HLH_glszm_LowGrayLevelZoneEmphasis_250","mkm5d_ptv_wavelet.HHL_glcm_Imc1_249","mkm5d_ptv_log.sigma.2.0.mm.3D_glcm_Correlation_248","mkm5d_ptv_wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis_247","mkm5d_ptv_wavelet.HHH_glcm_Idmn_247","mkm5d_ptv_wavelet.LHH_glcm_Idmn_246","mkm5d_ptv_wavelet.LLH_glszm_LowGrayLevelZoneEmphasis_240","mkm5d_ptv_gradient_glcm_Idmn_238","mkm5d_ptv_wavelet.HHH_glcm_Imc1_238","mkm5d_ptv_log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis_236","mkm5d_ptv_wavelet.LLH_firstorder_10Percentile_234","mkm5d_ptv_wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis_227","sub"
-0.239099211538818,0.992506022463681,-0.0541158297231875,0.363156071556601,-0.0797597087924046,-0.0220551148184188,-1.41962726483555,-1.11951585255587,0.0456148321584199,-2.48434335359915,0.457099293854689,-0.207381785898182,0.657601691144251,-0.363995008763589,1085983
-0.148066573657932,0.00752222304612872,-0.268751935472174,0.771722477679611,0.83206540013911,-0.234950286637922,-0.133886761984844,0.0946985853876611,-0.100855728126781,0.609611417721465,-0.0446102288064332,-0.053600788915789,0.477516648911893,0.414358826314506,1125173
-0.798017719041511,0.835624152805113,-0.0140485643892992,0.10468528452456,0.00988287034766425,1.8452474446337,-1.8241843634156,-1.42383330592982,-0.008354879276964,-2.21793407447483,0.402083644725983,-0.119104516173265,-1.60850019039307,-0.419706995545104,1154608
-0.239099211538818,-0.835276500292485,-0.554219955372464,-0.271667172174148,-0.295132508903615,-0.398760086911223,0.96820823820999,0.733690461783467,-0.571861471325906,0.837661793524511,0.096146718375296,-0.401173187451829,-0.0715514554694275,-0.357717197745063,1181124
-0.239099211538818,0.00913769476930185,-0.160029967890552,-0.621147268800412,-3.03512833554609,1.13188630418608,0.00907302310752464,-1.55248137020861,1.60175199954011,-2.94225506564895,-0.662785444220603,1.03422686904846,-0.366269289884476,-0.419569873815735,1183075
-0.239099211538818,2.04064984701004,0.365428069963993,0.328932993415422,-1.37734854255461,3.63133141545923,-3.03196546430571,-2.28562241216633,3.4298015073089,-2.68391701801769,0.448027517116007,-0.178189715850438,-0.237668867074632,-0.416786689838997,1232870
-0.0207096286203622,0.380424003320377,1.13415701700313,0.52207041099769,-0.858077670481734,-0.534159242537708,-1.41880692087107,0.34792480742789,-0.142521848273853,0.870438392506952,-0.27408959071762,-0.226304472411519,0.830894791564757,0.257127310055895,1279943
-0.239099211538818,-0.601558136589949,-0.375095507592999,-0.077375454964641,1.17428294381147,-0.595259432770509,0.224411198044615,0.677895272977747,-0.269992653258753,-0.0268297628502444,-0.356918744993922,-0.0302856987469057,-0.460690026248768,-0.405120908355277,1329352
-0.239099211538818,-0.702545973030877,-0.313807469835282,0.375043140354164,1.21629360566225,-0.792143102928018,1.05794537243108,1.11795157152466,-0.832414263500271,-0.0622695228742363,0.267783196328252,-0.448114120185873,-1.4941451786346,-0.218555471233859,1330263
-9.80872783210646,1.13117671227234,-0.235447240254607,-2.66512651110156,-0.103357958458353,0.212467862590324,-0.883777902340456,-0.230416742561891,1.62080205752126,-1.0521202082451,-2.63324985874422,3.50716353895467,-1.46060899647335,-0.419403369651628,1364384
-0.239099211538818,-0.0353558568602124,-0.466663010499667,-0.766533588886652,0.214366650418268,0.338650767142638,0.202232794261376,-0.529041980418888,0.226792933798579,-1.27096998070314,-0.243475148384378,-0.343121485948242,-4.22647207460411,-0.417516812010478,1386095
-0.0207096286203622,-0.649287544911795,-0.348368280507667,0.131712624920414,0.310049953814189,0.0762398207514226,0.710685793556676,0.354865290529315,-0.617271098887726,1.08867096632616,-0.309748307080056,-0.328312807906359,-0.539366308008951,0.0160704469039466,1458656
-0.239099211538818,0.524754837320541,-0.336668740073594,0.441663630598356,0.470547855058612,-0.486119317050989,-0.408453851272172,0.502074444980923,-0.693569445327786,0.601398412897249,-0.0405860397350735,0.00460407774755159,0.667756408694034,0.866350420806309,1485662
