"lemm_prc_density_242","lemm_prc_gradz_233","sub"
-0.339997586823418,-0.780944920821737,1085983
-0.452123285700162,-0.30208402196895,1125173
0.396744611910513,0.574044773884724,1154608
-0.355481076765913,-0.520653199558545,1181124
3.74125307368185,-0.602685332333674,1183075
0.417891348432999,-0.721810134358299,1232870
-0.427385253107045,-0.70548106937444,1279943
-0.326056537553109,-0.724933017624656,1329352
-0.398938947362935,0.406979652256421,1330263
2.46385069204772,0.281908152640704,1364384
0.439416579170998,2.88575100713228,1386095
-0.446798551880214,-0.424476090253424,1458656
-0.266226283370246,2.61284028737481,1485662
-0.355866744549803,-0.087936418867995,1497807
-0.381234974464762,-0.640030605346937,1501387
0.492052467756619,-0.0779537263364141,1518948
-0.190485349583279,-0.682167605429087,1526417
-0.397402118601021,0.512466504243109,1565177
-0.430926929460146,1.72795307678829,1606693
-0.356865928846227,-0.556119217229653,1612262
-0.290233575509196,0.887067802237916,1614566
-0.308510203640648,-0.517602889849498,1644034
-0.217464390150546,1.42831982478732,1668599
0.0053077407529538,-0.906354007613461,1671370
0.0023655558023001,-0.656949799099171,1684230
0.162998577561838,-0.514697464507901,1692385
-0.41492554632632,-0.174093576955765,1720713
-0.394960797799152,-0.690604271248328,1738800
-0.39216725749747,0.98135195384569,1740845
1.07286279758987,1.2032590875359,1742294
0.264163980681645,5.07074341065973,1767700
-0.439643374225785,-0.0849512872689154,1768972
-0.420717334008146,0.403061924110972,1889409
0.946838559876927,2.29478275246187,1915938
-0.433716004062459,-0.543499950465071,1916742
0.804031267966773,0.0945524933430977,1919296
0.297933402197387,0.543291116959914,1926770
-0.454424856008944,0.0660498276334748,1938156
-0.13305687941865,0.815707629092914,1938561
0.513574375217988,-0.0703010678298911,1966316
-0.20869202758205,-0.48859058765779,1967281
3.07283363772975,3.23152577935374,1973544
0.505602510248656,-0.802986779447845,1975401
-0.0231420683693753,-0.572100258046966,1976407
0.00129227559036518,-0.726167535638854,1978972
0.104775844545391,0.27819623789282,1979045
-0.367424526447163,-0.588879608043468,1979422
9.29364541740313,2.02291722390198,1980052
-0.457233518432552,-0.126224230603393,2001182
0.85832991034819,-0.575567667100085,2002465
0.417909764719612,0.30752345063152,2004451
0.0918098794274465,-0.419110698431309,2006164
-0.290795105412672,-1.75003117616918,2007309
-0.0780972050898068,-0.49657514439493,2009915
