"sub","lemm_prg_density_249","lemm_prg_area_247","lemm_prg_m012_247","lemm_prg_v15_250","lemm_prg_v32_250","lemm_prg_v45_250","lemm_prg_eigen_max_250.x","lemm_prg_gradx_249","lemm_prg_sphericity_249","lemm_prg_m120_250","lemm_prg_gradz_249","lemm_prg_m201_246","lemm_prg_kurtosis_250","lemm_prg_v34_250","lemm_prg_v37_250.x","lemm_prg_v40_250.x","lemm_prg_v42_250","lemm_prg_grady_249","lemm_prg_m101_249","lemm_prg_m020_247","lemm_prg_m111_250","lemm_prg_m210_242","lemm_prg_m021_246","lemm_prg_m102_250","lemm_prg_m030_250","lemm_prg_m004_250","lemm_prg_m031_250","lemm_prg_m003_250","lemm_prg_m310_250"
58325,-0.465531583275075,1.17068145601554,-0.380618594975715,0.221220568087533,0.329196620247845,-0.263264727006093,2.88590217477164,-0.166639149407088,-0.153547917386551,0.0460181171453243,-0.352309984545463,0.204000110650831,1.848984722467,0.419088974622239,0.580728495735524,0.759526966968275,1.02300669593527,-0.305389313164058,0.144699543479281,0.269569136303223,0.0266591918028307,-0.148341893724524,-0.328305365934166,0.0208349693161307,0.785970414766014,-0.288141964088875,0.132975600439239,-0.428699971509744,0.151759348463639
92173,-0.445601108306031,2.37622169721544,-0.221531772387983,0.221220568087533,0.326719150201735,-0.2662821479588,0.738354222673701,-0.253101268104775,-1.21484516513309,-0.486141767768983,-0.793955249406913,0.13331402263457,-0.102928299961693,0.408855707311929,0.534109279674846,0.593440781225402,-0.942211400546293,-0.228463039109698,0.0945064015038072,0.0738649891788964,0.264397436338916,-0.0453682432621585,-0.470832411691615,-0.388653774981737,0.379275973920547,-0.171660522422636,-0.244093098416284,0.772710125764014,0.0683482253822526
215131,-0.294490322674263,-0.55450105365457,0.0574139291040133,0.221220568087533,0.329196620247845,-0.2662821479588,-0.306314772529162,-0.208749198971105,1.02593919645203,-0.0283861936377483,-0.489239036155154,0.0802958225596936,-0.513992553776999,0.419088974622239,0.581746681322168,0.76226020718375,1.0307133750783,-0.158258615805517,-0.384683823316016,-0.548039359005991,0.0563162618483537,-0.172421743668808,-0.248827631991377,-0.0303560770638127,-0.0706718080097336,-0.348619524941214,0.0321097779601869,0.0582152567472229,-0.0184951276356928
277752,2.77340957293604,-1.18709282524277,0.060323622220629,0.221220568087533,-4.06187128947853,-0.2662821479588,-0.576127772161242,-0.460708110101704,1.65286396746415,0.0220382647383992,-0.150812325529761,0.158676880569902,-0.538464228148727,-2.60381818884345,-1.80335305539296,-1.37194486106572,-1.01301068822797,-0.172740949025731,0.0635193685389968,-0.518382313826244,-0.089163993131946,-0.151756308734417,-0.110693381066765,-0.0646947205911902,0.0157912646722194,-0.35072641823051,-0.00297387520360704,-0.0767370593718234,0.0491068221944015
308862,-0.295086138912343,-0.547045640907508,-0.0620418044777192,0.221220568087533,-0.132174501942414,-0.2662821479588,-0.340997005366872,-0.27570753279289,1.10746414713148,-0.150046658780689,-0.401943047351023,0.0736697146610018,-0.541220188425858,-2.60381818884345,-1.80335305539296,-1.37194486106572,-1.01301068822797,-0.252606459403049,0.368664698328427,-0.450566942905013,-0.0669634890722599,-0.112729097492332,-0.173811816370203,0.0229329192329238,0.0679589891562952,-0.334071366213201,0.00187009083848461,0.0298200563315844,-0.0077955846729602
923666,-0.398207281697109,0.485156253923205,0.262192666221964,0.221220568087533,0.329196620247845,-0.24393337118419,-0.0110784826231126,0.0962154508327131,-0.454410257159103,-0.343143129367561,0.344625805133447,-0.0109439711870848,-0.307544754097069,0.419088974622239,0.581746681322168,0.76226020718375,1.02278285629283,-0.0807372809563133,-0.418342756994788,-0.337172816021602,0.0421159426533854,-0.177034589878804,-0.046608816729593,-0.0652544078927313,-0.198904582025473,-0.257576430479288,-0.0974332699716407,0.0211866492635875,0.0697523509270966
965005,-0.378030506771199,0.243600880918401,0.314887977016226,0.221220568087533,0.329196620247845,-0.250130628777502,-0.0772371543345093,0.273228188385182,-0.948597608652072,0.559334340489531,-0.521168262506464,0.27896870090739,-0.535203375340893,0.419088974622239,0.581746681322168,0.76226020718375,1.0307133750783,0.00241694017010225,-0.615020748240248,0.810966312069825,0.380600038795453,-0.218342593380845,-0.637895587346254,0.0195424754058999,0.252239846526445,-0.131534973855067,0.467429357019984,0.313474626382651,-0.314997841902757
983079,0.158395880614054,-0.952247323710319,0.0389169627489029,0.221220568087533,-0.618370835019097,-0.2662821479588,-0.534043088071382,-0.162722202822473,1.48679218383349,-0.104896502152017,0.932192873229021,0.087132711019623,-0.244408573187001,-2.60381818884345,-1.80335305539296,-1.37194486106572,-1.01301068822797,0.0397149339533315,-0.136932148841803,-0.544462825204967,-0.0412836036350377,-0.0127329688703403,-0.134085618437299,0.0815835606664887,-0.0213270680613281,-0.348443350929105,-0.040659582888083,-0.0473158897492877,0.02478265156429
1085983,-0.324845067379536,-0.241373718277972,-0.030693930601337,0.221220568087533,0.329196620247845,-0.244301999277469,-0.327583175613538,-1.70029465714871,0.30899083202026,-0.10558655246826,-0.741990905705072,0.125841869476304,-0.153057642699699,0.419088974622239,0.581746681322168,0.74311592060096,0.976082071627879,-0.108914741229189,-0.200773487438245,-0.593119359337642,-0.0709894451065462,0.00808231534387804,-0.183577579071167,0.0214100650398458,0.025964380178754,-0.330792052618933,-0.0228493344674148,-0.141050675535215,0.0879323800456993
1125173,-0.444030532391657,1.71194442145223,0.360617808643057,0.221220568087533,0.329196620247845,-0.2662821479588,0.441293848571674,0.492075743787402,-1.35660878131428,0.747602250567244,0.60734750110246,-0.566799589225343,-0.269400107260805,0.419088974622239,0.579954047172063,0.662006305067559,-0.988433773524551,-0.0600751765110555,-2.01786340427727,1.05242559564433,-0.98950208805464,-0.412174002759819,0.30629719687411,1.03979694125841,0.453844067777723,0.31473853824242,0.0441696450496871,0.58293382218618,-0.540241669891549
1154608,1.7214115985344,-1.03090192819182,-0.516986838958251,0.221220568087533,0.275647011592643,-0.2662821479588,-0.570101808405909,0.255527995258193,-0.954977736700516,-0.466766090012335,0.869114564407603,-0.153925212749139,0.295861041455387,0.373008072740142,0.530845162550809,0.697192979493216,0.918557786238319,-0.629684808312812,2.09152936806569,1.08354704245944,-0.671946688466361,0.971840141353923,-0.63128331141579,-0.613642877313587,-0.412262368338501,-0.184269297971046,0.431014680562403,-0.622872296002579,1.34212393132796
1181124,-0.357610122283364,-0.0467874455796577,-0.0490708554252061,0.221220568087533,0.327077037990537,0.042304775372746,-0.196476513064172,0.806337222705421,0.0935762771555183,-0.0547617727953118,-1.01890153770957,0.0132949769547785,-0.00176163310297141,0.414225085380943,0.572920085353634,0.737192311772292,0.937981245415809,-0.939581498279607,0.136894301252582,-0.42247885144494,-0.0821299126418954,-0.0682238671452173,-0.228602922406245,-0.0834351314824857,0.042994014268638,-0.341541569921177,-0.0122671052816462,-0.0974317358098966,0.0901400093926144
1183075,0.287528660543761,-0.947774076062082,0.289470311036407,0.221220568087533,-4.06187128947853,-0.2662821479588,-0.542342532966855,-0.210374645987301,0.969032045909401,-0.382044324259058,-0.302671682814449,-0.113859507272537,-0.529552319822421,-2.60381818884345,-1.80335305539296,-1.37194486106572,-1.01301068822797,-0.192735042084618,-0.311629040648228,-0.536453284265862,-0.102132343649297,-0.554810288593562,0.00630063485819619,0.133056710427986,-0.0113649326511212,-0.304345629382531,0.0296536255661622,0.0534720298635753,0.200423547248986
