"mkm10d_ctvper_wavelet.LHH_glcm_ClusterShade_249","mkm10d_ctvper_wavelet.HHH_firstorder_Median_248","mkm10d_ctvper_wavelet.HHH_firstorder_Mean_246","mkm10d_ctvper_wavelet.HHH_firstorder_Skewness_245","mkm10d_ctvper_wavelet.HHH_glcm_ClusterShade_242","mkm10d_ctvper_wavelet.HHL_firstorder_Skewness_238","mkm10d_ctvper_original_shape_Flatness_235","mkm10d_ctvper_original_glszm_LargeAreaLowGrayLevelEmphasis_232","sub"
-0.17529465818694,-0.264078796363541,0.371650591704024,1.40592094842651,0.203555485373105,-0.893224172396663,1.40288253780765,2.02809678811374,1085983
-0.133954660035963,0.00839674108828787,0.767081147497632,0.287455294690117,0.0559215306293702,-0.932871849754186,0.200657181245088,-0.401102993512132,1125173
-0.101042444652777,-1.27807248875736,-0.350772416574346,0.325882645144542,0.0686243933490106,-0.465088379082406,-1.31277195749427,-0.223465842888465,1154608
-0.0286831737325161,-0.270608875588302,0.456398350945861,-1.78472922888374,-0.413724674783484,3.20616750050127,0.850921800261826,-0.385127954303546,1181124
-0.157137628520436,-2.65267788578261,-3.13658929249994,-0.643646731937295,-1.08016965627,4.48751325400433,-0.460845108394831,0.208850555485881,1183075
-0.205709809595507,-1.18744919890401,-1.44111615107303,-0.069408783678727,0.0526728060298767,-0.559784642198506,0.0637789562715629,-0.0371688228201994,1232870
0.0863497982056634,0.0962856807232386,0.150814360900963,0.819199574229963,0.0467836393425346,-1.10533572329866,0.346969164738446,-0.22837321048491,1279943
-0.0275118865892733,-0.77888178440963,-0.13494737186236,-0.687227048919646,-0.790850052249448,0.435449793548412,-1.00254485212489,-0.346954693968077,1329352
-0.0801765272870097,0.203351454663947,-0.246647374288207,0.364983704105521,0.0806026384418599,-0.161202402253069,-1.39734278488104,-0.388748171238557,1330263
-0.394013089164526,0.066300050812618,2.96147456155328,0.0336502153890197,-0.382523902045315,0.735405810845935,-1.21982328972274,0.675404486558987,1364384
-0.287236063612554,-1.16400155259915,-0.174414984227996,0.571876229167506,0.168777839819605,-1.62836686183188,1.07223304739818,-0.221225916293022,1386095
-0.0836579353126829,-0.110901635133419,0.139651761885174,0.726714158282409,0.307213759142323,-0.683131542781768,-1.33500992228802,-0.416723822009285,1458656
