"mkm5d_ctvper_log.sigma.4.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis_249","sub"
0.511326021316489,1085983
-0.358949202877173,1125173
0.0533805008396171,1154608
-0.458131310603105,1181124
1.80698061038329,1183075
0.68812032408488,1232870
-0.191545604810211,1279943
-0.27803820043825,1329352
-0.635691583531987,1330263
2.0079291487182,1364384
-0.049435673678034,1386095
-0.575743115153961,1458656
-0.225046494335954,1485662
-0.449896317513732,1497807
-0.584086327314546,1501387
3.66847989619956,1518948
0.383474618086957,1526417
-0.59136052081914,1565177
-0.599447892315099,1606693
0.110580146150911,1612262
-0.364160612117389,1614566
0.171313259276775,1644034
-0.445355555785278,1668599
-0.118058330802905,1671370
0.484661631010312,1684230
1.07895736342243,1692385
-0.611779033796388,1720713
-0.514184242836671,1738800
-0.65767422892521,1740845
0.462424770140386,1742294
0.371374583953723,1767700
0.00915736849887075,1768972
-0.70916068863874,1889409
2.29396864909249,1915938
-0.488894133179884,1916742
1.70760915910569,1919296
0.841905317320155,1926770
-0.753701481275908,1938156
0.478246559747613,1938561
0.104420513166997,1966316
0.0186350689353446,1967281
5.68491940775173,1973544
1.1552389525562,1975401
0.144395095434056,1976407
-0.185904103647973,1978972
-0.0617368547575271,1979045
-0.28561913479255,1979422
2.48781755540447,1980052
-0.648460383843342,2001182
0.973318558146701,2002465
1.72775610560149,2004451
0.274441819927916,2006164
-0.240247906944932,2007309
-0.141346888987323,2009915
-0.363264388697622,2010259
-0.0553287857278537,2010554
-0.0779026625142087,2026671
-0.0678318740383787,2033049
-0.653761957574403,2034136
0.338142129048748,2040495
1.00867986042995,2047354
-0.112509603352852,2051378
-0.00702227687201881,2055667
-0.13188266422345,2057358
-0.112472448185009,2059713
-0.210310125760084,2069079
-0.33831172088206,2070958
0.314914667669147,2072215
-0.295025234425826,2075832
-0.511313201695025,2075846
0.833843099513299,2076301
-0.736282569089043,2078198
-0.587713997025046,2078899
-0.00147375960741004,2085349
-0.15765498062928,2086044
-0.499192570538486,2091555
-0.031369267673271,2092954
-0.216203602398902,2096627
1.62976202101432,2100050
-0.0343906982253504,2108003
-0.235237062772661,2109902
-0.392327902493624,2110540
-0.418049361006237,2116787
-0.624492655481125,2119177
-0.261281108074984,2131601
0.0289645423816665,2132424
-0.6500431575974,2132982
-0.511408953628642,2133204
-0.202781506273683,2133380
-0.577923132964935,2134220
-0.681108949880439,2135748
-0.335286837023438,2137799
-0.341759555870694,2138375
-0.303218748208867,2138678
-0.383314668533009,2139733
0.727498158172593,2141116
-0.0313547831733671,2144796
0.486136922166065,2145166
-0.140054738218666,2145694
-0.328712464786128,2146138
-0.6143311544406,2151024
-0.378746044186453,215131
2.38842574660522,2152442
0.546647472928157,2157529
-0.0465306286030945,2158101
-0.124469516938263,2158329
1.07236576398439,2168082
0.221017957310373,2172217
-0.401954656021832,2176530
5.06266828652093,2176784
0.613772039321115,2181724
-0.512708897219909,2183291
-0.613959259340975,2183356
0.126085870095281,2185290
-0.488884022078027,2186951
-0.715943095486553,2196212
-0.450041588665517,2199403
0.574165212896859,2200416
-0.387365143079774,2200813
-0.301526571549572,2205389
-0.142246451642009,2212664
-0.324267423905926,2217034
0.330909688219242,2218615
-0.439221888452131,2219842
-0.642202058580825,2224150
0.439166473626527,2228399
-0.115854533408193,2228400
0.117785811522526,2234271
-0.248369102715092,2234422
-0.414463319957279,2237571
-0.0866041193279056,2244172
0.536980154040537,2247869
1.05704590337998,2250648
-0.0662663046342434,2250836
-0.442517167470824,2267382
-0.390745005191602,2269346
-0.182678063044405,2271329
-0.53328179190111,2274521
-0.612233044615149,2276121
-0.118522921918204,2278618
-0.498341949462035,2285214
-0.68038581549439,2286108
-0.674357742396874,2293123
-0.617213569578267,2294852
-0.281600898061111,2294873
-0.606372200000966,2296332
-0.294431507929601,2305114
-0.545035501989209,2305115
0.747648280276639,2306459
-0.411572243764794,2306893
-0.76341007282107,2317120
-0.673105496639161,2319068
-0.653242820969995,2321962
-0.807196078814013,2331869
0.396510497351742,2336735
-0.638729949395747,2339674
-0.551791887631602,2340155
-0.718892572520351,2340322
-0.233648806861824,2350037
-0.303165566153765,2352038
-0.240333374690097,2359944
-0.369273679265108,2381907
-0.547041129404656,2393207
-0.570989977137555,2395415
-0.577540695912107,2395943
-0.57798731266599,2401405
-0.643081000158973,2405144
-0.734888589601281,2414406
-0.357980114651558,2419459
-0.61890601438426,2425694
-0.763224999210413,2426863
0.00692064956110793,2430773
-0.109815911710284,2439458
-0.550766036970812,2443354
-0.690361621951194,2445526
-0.397909810858817,2448298
-0.503449971003258,2453577
-0.319339947148992,2474709
0.134801389958713,2480056
-0.757040209201444,2480330
-0.629493526293721,2487135
-0.204796364965622,2488660
-0.470555517385087,2490180
-0.67436787392762,2493534
-0.352001200686069,2498991
-0.622880962379462,2500377
0.185349922792272,2504802
-0.254243191244305,2510402
-0.694036823451113,2520618
-0.684198857824258,2559453
6.63499168006234,277752
0.43240616001771,308862
-0.557024004411204,58325
-0.672222498821381,92173
-0.148191813804954,923666
-0.559289037703792,965005
1.7504509573916,983079
