"mkm8d_ctvper_log.sigma.4.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis_242","sub"
0.413717344888399,1085983
-0.550149419931122,1125173
0.148627893860072,1154608
-0.32703132228727,1181124
1.86878882671294,1183075
0.672498191819588,1232870
-0.0800367840962216,1279943
-0.551651451418526,1329352
-0.729602871317318,1330263
2.22287313063587,1364384
-0.133323275430485,1386095
-0.652813758771814,1458656
-0.202763738833626,1485662
-0.531188291370005,1497807
-0.665319348217378,1501387
3.57097533745177,1518948
0.110261765484197,1526417
-0.516845061789356,1565177
-0.554409073615859,1606693
0.117351453701943,1612262
-0.370804436889103,1614566
0.2286761658387,1644034
-0.511892862957633,1668599
-0.191002161699411,1671370
0.262227734541617,1684230
2.36990220491785,1692385
-0.686730387679209,1720713
-0.582437176349893,1738800
-0.732559941597963,1740845
0.625047076858246,1742294
-0.0679671350268217,1767700
-0.0991971406185855,1768972
-0.816393176183743,1889409
1.7072295751675,1915938
-0.584697471723753,1916742
0.956552906962221,1919296
0.660987372014014,1926770
-0.841797462555168,1938156
0.203815949680391,1938561
0.106885966615322,1966316
0.485426224855514,1967281
3.38996837898291,1973544
1.45991928074492,1975401
0.412386572858344,1976407
-0.0693150048498779,1978972
0.292244067073465,1979045
-0.237065268780302,1979422
3.07609622814509,1980052
-0.72502425544451,2001182
0.623749095302772,2002465
1.96839599793324,2004451
0.84022616569914,2006164
-0.139565543789923,2007309
-0.0505019078198583,2009915
-0.432520961441044,2010259
-0.259568934764075,2010554
-0.0824286304460884,2026671
-0.0515828325245339,2033049
-0.714405206125385,2034136
0.342790167471324,2040495
0.97220821794997,2047354
0.326532134688778,2051378
0.42729419763164,2055667
0.0162135951230785,2057358
-0.0075714018090161,2059713
0.0912844988946967,2069079
-0.330788081726021,2070958
0.625690545157231,2072215
-0.248143840037032,2075832
-0.58273890828793,2075846
0.640148468551725,2076301
-0.805613859504972,2078198
-0.721986887811145,2078899
-0.164264634385189,2085349
-0.120007015446077,2086044
-0.406526144922407,2091555
0.993883763816181,2092954
0.152076332272572,2096627
1.17527311603361,2100050
0.20653219887195,2108003
-0.32056705320957,2109902
-0.462980790267306,2110540
-0.477901392586441,2116787
-0.680325470518959,2119177
-0.611126241932298,2131601
0.438086456394337,2132424
-0.669963480890699,2132982
-0.542297290235713,2133204
-0.222506046857687,2133380
-0.496213129271148,2134220
-0.78288257609398,2135748
-0.427815186887566,2137799
-0.257102239051725,2138375
-0.53980564225575,2138678
-0.406851505562616,2139733
0.356065946135406,2141116
-0.0588444753972899,2144796
0.646402929952707,2145166
-0.0883537660015181,2145694
-0.247990151267003,2146138
-0.694569399975106,2151024
-0.41985888755374,215131
2.61805279801082,2152442
0.727021648536369,2157529
-0.0687863511654107,2158101
0.0400653957653754,2158329
1.58683689292587,2168082
0.307778693717986,2172217
-0.437317912697883,2176530
3.03886081909327,2176784
0.59004831752332,2181724
-0.260349705012422,2183291
-0.708252133137488,2183356
0.0989049120092828,2185290
-0.529344522348388,2186951
-0.81318245215418,2196212
-0.481717708832928,2199403
1.12570275154681,2200416
-0.44394431109484,2200813
-0.0352054202258222,2205389
-0.142431679898063,2212664
-0.306135144847148,2217034
0.640048263163814,2218615
-0.56998376927325,2219842
-0.564614361003913,2224150
0.54707729299394,2228399
0.00436828899726983,2228400
0.128542285231089,2234271
-0.412342505963196,2234422
-0.465761736600155,2237571
-0.321480134208735,2244172
1.20431755325702,2247869
0.425026932504297,2250648
0.329507167869126,2250836
-0.361631377074879,2267382
-0.187513615995003,2269346
-0.0961980188367783,2271329
-0.478815899918496,2274521
-0.665280018675349,2276121
0.144330695546786,2278618
-0.556964041509673,2285214
-0.740350123834677,2286108
-0.737481506515437,2293123
-0.509844720454661,2294852
-0.337272140090219,2294873
-0.633057767164455,2296332
-0.194818617730185,2305114
-0.609862213116197,2305115
1.19536342567258,2306459
-0.449524011957175,2306893
-0.863116846473391,2317120
-0.749577445377764,2319068
-0.774527005432099,2321962
-0.898478215723198,2331869
0.433937524792039,2336735
-0.714314582960838,2339674
-0.441547308617419,2340155
-0.82626238203443,2340322
-0.206805183780947,2350037
0.303761860176968,2352038
-0.292564755175029,2359944
-0.406380041175225,2381907
-0.775408214355234,2393207
-0.577371801367468,2395415
-0.626223922756784,2395943
-0.435373914398839,2401405
-0.719301771287317,2405144
-0.845234821022575,2414406
-0.494656972758992,2419459
-0.69519774519894,2425694
-0.846212083002359,2426863
-0.114840022599737,2430773
-0.144452044731057,2439458
-0.598231537996953,2443354
-0.738341172998999,2445526
-0.487248874542336,2448298
-0.597024611710971,2453577
-0.355626998989718,2474709
-0.279190537656858,2480056
-0.86043436366545,2480330
-0.722369809835926,2487135
-0.435019740946926,2488660
-0.42998470769386,2490180
-0.790558167757282,2493534
-0.381916416810185,2498991
-0.694930080332092,2500377
0.162188695191962,2504802
-0.539919307905666,2510402
-0.790604097159335,2520618
-0.694672155756862,2559453
7.56010247542922,277752
0.535259293984336,308862
-0.659077467243443,58325
-0.769221130766869,92173
-0.507834091753192,923666
-0.627765512361436,965005
3.11305211991195,983079
