"mkm10d_ptvper_wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis_228","sub"
-0.14917144922443,1085983
-0.174360084287479,1125173
-0.0917968129729646,1154608
-0.0905650078941889,1181124
-0.0756935420507189,1183075
0.0301742668472057,1232870
-0.164037440918919,1279943
-0.115900189029307,1329352
-0.155102416210694,1330263
-0.0317963144004101,1364384
0.0186236312716534,1386095
-0.175346662778441,1458656
-0.153118861766624,1485662
-0.156582676538567,1497807
-0.16057253587919,1501387
-0.0924993031664036,1518948
-0.135305308363788,1526417
4.64532370908548,1565177
-0.158868578483559,1606693
-0.15533881392769,1612262
-0.0937859492283038,1614566
-0.102119594629938,1644034
-0.160684260137809,1668599
-0.120405753009999,1671370
-0.122601200366472,1684230
-0.026733999477466,1692385
-0.154035213505129,1720713
-0.16420103273457,1738800
-0.176330734491681,1740845
-0.109708603875064,1742294
0.0683868192105864,1767700
-0.162590666499461,1768972
0.254081802199418,1889409
-0.0847232810388045,1915938
-0.172461185666043,1916742
-0.0838591996523323,1919296
-0.0959647568125011,1926770
-0.156977867766518,1938156
-0.146162806246519,1938561
-0.11848713567966,1966316
-0.137456869701193,1967281
-0.0573772084308869,1973544
-0.117268673751304,1975401
-0.0662817963310058,1976407
-0.120227269344596,1978972
-0.120963720952093,1979045
-0.155280915785986,1979422
0.0195691554775391,1980052
-0.171696515496116,2001182
-0.057915881359196,2002465
-0.0986775578224865,2004451
-0.118811992143137,2006164
-0.163874347130871,2007309
-0.146108543655883,2009915
-0.157501993271601,2010259
-0.0478394481944966,2010554
-0.0897168402217141,2026671
-0.140342215454688,2033049
-0.17606270836226,2034136
-0.105265918357682,2040495
-0.00348056753136574,2047354
-0.147796333582874,2051378
0.114531297279604,2055667
-0.161217140333582,2057358
-0.156396626133566,2059713
-0.0969990348227548,2069079
-0.144067232396465,2070958
-0.141314777286407,2072215
-0.149103543966694,2075832
-0.166177208619787,2075846
-0.140893735112402,2076301
-0.151113841053947,2078198
-0.172521024118112,2078899
-0.147554533989568,2085349
-0.128415496047342,2086044
-0.156495093830723,2091555
-0.147465900804662,2092954
-0.161355519805472,2096627
-0.109817428123594,2100050
0.422550994001811,2108003
-0.156926764469076,2109902
-0.127358620622998,2110540
-0.166787464107163,2116787
0.0352869267113153,2119177
-0.1368066530845,2131601
-0.13010235346263,2132424
-0.175582361028736,2132982
-0.162453868926569,2133204
-0.144335973403599,2133380
-0.161860596227609,2134220
0.251631684888054,2135748
-0.135809988725635,2137799
-0.165636710434722,2138375
-0.164286852758256,2138678
-0.0902870874757588,2139733
-0.138560856115716,2141116
-0.103668127490815,2144796
-0.0933546459793093,2145166
-0.145262847878886,2145694
-0.135047791223583,2146138
-0.162066204270526,2151024
-0.149955533542933,215131
-0.070762844967914,2152442
-0.0937604266903279,2157529
-0.0916607634011928,2158101
-0.152705905171034,2158329
-0.0873434816964319,2168082
-0.129785245469915,2172217
-0.141750816872244,2176530
-0.035182116208789,2176784
-0.111229965174357,2181724
0.140118947637425,2183291
-0.163471963510861,2183356
-0.137101133667579,2185290
0.222799615876261,2186951
-0.171648015652443,2196212
-0.0322130955751911,2199403
-0.122056938984468,2200416
-0.147095882089585,2200813
-0.16027920859032,2205389
-0.155294958867342,2212664
-0.154414403139573,2217034
-0.10956345053396,2218615
-0.0170058905146055,2219842
-0.0092913894527438,2224150
-0.0650245088569957,2228399
-0.122525866549289,2228400
-0.154282281165548,2234271
-0.15471741059249,2234422
-0.160288479584457,2237571
-0.15201154955946,2244172
-0.146492040963434,2247869
-0.115960026278948,2250648
-0.165422323756194,2250836
-0.154052299680831,2267382
-0.114047281259117,2269346
-0.149027308527107,2271329
-0.164492471011743,2274521
-0.170023275236363,2276121
-0.13024921674829,2278618
-0.159953034373052,2285214
-0.173740817040097,2286108
1.39101817649326,2293123
-0.177705022175627,2294852
1.69897025991119,2294873
0.0347886193113247,2296332
-0.146710502622479,2305114
-0.16250524818919,2305115
-0.0859791492267889,2306459
-0.153998719773936,2306893
-0.179667297278501,2317120
-0.176023633452207,2319068
-0.171440170234235,2321962
-0.0345311411528886,2331869
-0.109776270021058,2336735
-0.17265761127132,2339674
-0.16351648083228,2340155
0.0145695619214604,2340322
-0.153525963408016,2350037
-0.152514733940035,2352038
-0.132162293449136,2359944
-0.165588155455348,2381907
-0.169354886233964,2393207
-0.169292166194323,2395415
-0.164789264020266,2395943
-0.166301070768067,2401405
-0.172942175057452,2405144
0.0918672212377503,2414406
-0.127330641417078,2419459
-0.165766642694357,2425694
-0.175823552539333,2426863
-0.130236901249074,2430773
0.459792785102538,2439458
-0.0244604787894411,2443354
0.0495648326084593,2445526
-0.152116778571625,2448298
-0.150312326403485,2453577
-0.131485898243023,2474709
-0.139410596509152,2480056
-0.170953973861373,2480330
-0.128456652362862,2487135
0.568213240053635,2488660
-0.150479086949535,2490180
-0.172537356185017,2493534
-0.0726003866124273,2498991
-0.160814986760219,2500377
-0.0812424572754215,2504802
-0.155618178275447,2510402
12.8556750912885,2520618
-0.172706800321668,2559453
-0.0356743554806462,277752
-0.139814181660253,308862
-0.172088031760233,58325
-0.172299762938041,92173
-0.156784071884416,923666
-0.161956355615108,965005
-0.094762148616649,983079
