"lemm_prg_density_246","sub"
-0.324845067379536,1085983
-0.444030532391657,1125173
1.7214115985344,1154608
-0.357610122283364,1181124
0.287528660543761,1183075
0.658731642234019,1232870
-0.401147394822064,1279943
-0.298832087227652,1329352
-0.376270753361248,1330263
6.82326654032299,1364384
1.22035647641266,1386095
-0.452612850262461,1458656
-0.414177272357766,1485662
-0.346930636670573,1497807
-0.335526352218629,1501387
1.24161338232129,1518948
-0.216293819166552,1526417
-0.334367336011892,1565177
-0.467350777035209,1606693
-0.269783044925881,1612262
-0.214819223008028,1614566
-0.311637440595869,1644034
-0.363874974685823,1668599
0.26615930700336,1671370
0.44032480835682,1684230
0.200130535140219,1692385
-0.388782355700025,1720713
-0.352880986185144,1738800
-0.449055680610691,1740845
0.360784021849805,1742294
-0.135074793978566,1767700
-0.456458659785309,1768972
-0.404960651427588,1889409
0.191168577116565,1915938
-0.445435442695786,1916742
1.35828649264971,1919296
0.739241043527044,1926770
-0.468840144910218,1938156
-0.303495686312025,1938561
0.0649857997983282,1966316
-0.167310238515988,1967281
2.13879378697922,1973544
-0.00849558372701921,1975401
-0.298593851868931,1976407
0.242657869754734,1978972
-0.084127676188358,1979045
-0.414099416287498,1979422
8.46012078378223,1980052
-0.458501224421797,2001182
1.80062972659778,2002465
-0.0423415337973031,2004451
0.591586875145385,2006164
-0.410528346608067,2007309
-0.297847582123284,2009915
-0.319778965612032,2010259
-0.342150451945207,2010554
-0.231777744857482,2026671
-0.295561544620654,2033049
-0.354591117181831,2034136
0.540682983812711,2040495
3.1587039694462,2047354
-0.306965623461358,2051378
-0.384372443002907,2055667
-0.4100829572094,2057358
-0.332978139311949,2059713
1.40490452110121,2069079
-0.338335724710352,2070958
-0.198041480728307,2072215
-0.408416681949302,2075832
-0.384870763401101,2075846
-0.246148987087762,2076301
-0.46059522430818,2078198
-0.442611236179038,2078899
-0.371351635004018,2085349
-0.281182444858949,2086044
-0.347088183461307,2091555
-0.39748497871783,2092954
-0.434547763475935,2096627
0.268820067082905,2100050
-0.399319157881108,2108003
-0.384155056314827,2109902
-0.354660400050226,2110540
-0.408029635295635,2116787
-0.39089214877121,2119177
-0.328201216652335,2131601
-0.061577096953573,2132424
-0.456269828409646,2132982
-0.427436972550002,2133204
-0.206196352734593,2133380
-0.336793115598766,2134220
-0.428460323773582,2135748
-0.0926246086745707,2137799
-0.402995144716944,2138375
-0.440947874768119,2138678
-0.191785610680813,2139733
-0.171897389667799,2141116
0.0990897399542833,2144796
0.979556975256103,2145166
-0.362897947577318,2145694
-0.145516948454627,2146138
-0.406891731157679,2151024
-0.294490322674263,215131
1.33794639359469,2152442
0.893798773535837,2157529
0.136976527654602,2158101
-0.479100032906385,2158329
0.462540118899074,2168082
-0.132714040183235,2172217
-0.0703368564749927,2176530
3.29210506990662,2176784
0.21970763819162,2181724
-0.256442090725942,2183291
-0.357619225484486,2183356
-0.16827396523816,2185290
-0.289662512301327,2186951
-0.401316404510937,2196212
-0.36566200685937,2199403
0.0470083966521485,2200416
-0.252291073401903,2200813
-0.388776835421142,2205389
-0.336126724998389,2212664
-0.36855122491392,2217034
0.468598538938208,2218615
-0.22179305977791,2219842
-0.418924181646679,2224150
0.108035178420931,2228399
-0.384273466791578,2228400
-0.267642649310717,2234271
-0.26422970617457,2234422
-0.357829775303824,2237571
-0.390329949255827,2244172
-0.28627203284,2247869
0.274734838323712,2250648
-0.416795501648117,2250836
-0.315887814931344,2267382
-0.373378201932169,2269346
-0.242558406885058,2271329
-0.369040946743294,2274521
-0.446942489158331,2276121
-0.282126837669834,2278618
-0.403136450570527,2285214
-0.437194235960439,2286108
-0.471795100307088,2293123
-0.469694170233839,2294852
-0.13214285205124,2294873
-0.252015828618051,2296332
-0.18188793192151,2305114
-0.404186475328137,2305115
2.06394948477243,2306459
-0.277628001887893,2306893
-0.457542817159326,2317120
-0.479047330984912,2319068
-0.427334036864602,2321962
-0.381188036769212,2331869
0.435268152750287,2336735
-0.45785690032581,2339674
-0.407532480176422,2340155
-0.437100001151684,2340322
-0.350550515470812,2350037
-0.293411978293772,2352038
-0.0381860466182407,2359944
-0.420065558730659,2381907
-0.4139093827613,2393207
-0.410507019570974,2395415
-0.389388143183993,2395943
-0.409430546415328,2401405
-0.432539750684654,2405144
-0.434102819898558,2414406
-0.246110552895029,2419459
-0.400099847171216,2425694
-0.477476682134103,2426863
0.0823045442349467,2430773
0.382265857658851,2439458
-0.336855955345515,2443354
-0.390246780203968,2445526
-0.264908770169651,2448298
0.170778107216313,2453577
0.368956915225194,2474709
0.110777891838638,2480056
-0.337135275485547,2480330
-0.237528234359913,2487135
0.262266398249604,2488660
-0.244219052186991,2490180
-0.291332149328558,2493534
0.83947781460281,2498991
-0.4248531508417,2500377
0.842823592750038,2504802
-0.466265780465248,2510402
-0.415803798788808,2520618
-0.404184283933616,2559453
2.77340957293604,277752
-0.295086138912343,308862
-0.465531583275075,58325
-0.445601108306031,92173
-0.398207281697109,923666
-0.378030506771199,965005
0.158395880614054,983079
