"lemd_ptv4_original_shape_Elongation_229","sub"
-0.27094848227626,1916742
0.921205875248646,1980052
1.49546046123222,1926770
0.879666809400994,1979045
-0.022962400544767,2196212
-0.440936289414259,2393207
0.290404457345692,2146138
1.17375466782671,2228399
-1.54506850351632,2144796
0.0230135048801359,2234271
0.749947990468693,2296332
1.09151711771783,1684230
-0.680271071843181,1720713
0.190660786482179,2186951
0.188091296633678,2439458
1.23633044549722,2135748
0.611422888437928,2141116
0.27423277519604,2108003
1.13403360025805,2006164
0.995492772584554,308862
1.29611127453178,1085983
0.556278267383139,2004451
-0.372461649357863,2359944
-0.65354459159147,2069079
0.789192390367158,2059713
-0.975094652449195,2294873
-0.99179782493662,2033049
0.87876875361489,1485662
0.882335029827334,1526417
1.50337562535901,1386095
0.970541834304957,983079
0.713231005877932,2132424
-0.209559695365624,2138375
1.05257123596906,2490180
-2.16375621749931,2034136
-4.23305708644408,2510402
0.19794241709181,1330263
-0.131451810746478,1768972
-0.0207066051474802,2306459
-0.0123060062695692,2181724
-0.708080029296164,2217034
-0.144280464117408,2218615
-0.188710481413919,92173
0.776509039774391,2414406
0.330671011375664,2381907
0.654796918810081,2002465
-0.342760077461299,2474709
1.44069077571336,2176530
1.41171411820324,1279943
0.486536151080702,1976407
-0.427496907508848,2250836
-0.145437396029759,1915938
1.09255754274419,2133380
-1.44268588358051,2271329
-0.414746955848314,2286108
-0.638336231915836,2040495
0.522229537642952,1125173
1.19531680039713,1767700
-0.447484098423621,2138678
-0.0742050849918734,2443354
-0.514963772267239,2234422
1.1619200966735,2151024
-0.791381848700896,2057358
-0.407908542139849,2425694
0.458343448115429,2500377
-1.15070221538017,2183356
-1.3871079588217,2131601
0.356032706303099,2152442
0.428737570176441,2306893
-1.27996650926627,2009915
-2.03497012801353,58325
-0.719191818243699,2395943
0.666098799386126,2480330
1.5970740430072,2076301
-0.46325576339537,2205389
0.00378583410720529,1975401
0.420134954428943,2250648
0.566485157089086,2185290
0.675643136519739,2091555
-0.994575458877243,1232870
-1.3275239198898,2139733
-0.293525098841959,2559453
-0.162097857855178,1938156
0.500041300136606,2158101
-0.36897216246036,2199403
-0.676422569248358,2430773
0.478970348767804,1738800
-0.0170205262358167,1565177
-2.81799133111415,1978972
-2.3362485417084,2487135
0.609962910479719,1612262
0.737354283348177,2051378
0.0169397658914939,1497807
-1.01397888950659,2026671
-0.75287229206264,2340322
0.0139602815027433,2293123
0.499591463966932,2395415
0.0193762528692388,1966316
0.786533841421745,1973544
-0.310615339357902,2010259
0.796082262233408,2145694
0.267588452566061,965005
-0.718597339554023,2096627
1.19629814381402,2047354
-0.107410766313238,1364384
1.09731788862522,2244172
0.737664340679623,2132982
-1.07829057116652,2134220
0.0151241572867592,1889409
0.393698755170488,1938561
-0.768323599620884,2055667
1.41517991725823,2176784
1.45982838983863,923666
-1.33102097530606,2086044
0.530570790801509,2078198
-0.399407422561777,1501387
-0.704882210992144,1518948
0.10232681974786,1606693
0.469133153753802,2305115
0.118594585653638,2237571
-0.819061344502625,2285214
-0.823471781936543,2426863
0.41631766699159,1979422
-0.422544896562176,2480056
-1.76678346842834,1668599
0.846457795414117,2339674
1.34826259445188,2133204
0.472869636896413,2294852
-0.537115556353445,2445526
-0.708494888712614,2200416
0.665382019078751,2168082
0.405816397690991,2075846
-0.346686119017533,215131
-0.573729955369654,2274521
1.74723038659741,277752
1.19528618386122,2078899
-1.16982591209234,2172217
0.491130176350498,1614566
-0.335773342764965,2100050
-1.03877365453151,2183291
-0.666381087371299,2336735
-0.963033137429576,2352038
-0.599145429209328,2305114
-0.329575288166125,2448298
-1.64746418238468,1329352
0.461351703190157,1183075
-1.37789717415902,2110540
0.430977118617668,2070958
-0.155413059498647,2340155
0.0652421247443468,2075832
-0.0121726445190873,2498991
1.78171053766697,1919296
-0.262125461630519,2401405
-0.848167193966443,1644034
-1.5800561385388,2405144
0.144973887030199,2158329
-1.0538357974975,2319068
1.27908168716392,2504802
-1.07652299084284,2331869
1.10804312367808,2317120
0.293554307281679,2072215
1.06016073390615,2228400
0.391780593175978,2145166
1.00769767063155,1692385
-0.278822097283842,2109902
0.770088017765703,2219842
0.148787352719403,2520618
0.696496307187213,2419459
0.953572995956443,2276121
0.865908760052277,2350037
-3.04666082299459,2001182
-3.23400977934615,2278618
-0.108157602078144,1740845
1.20107065309178,2321962
-0.543392107370929,2212664
-2.23378623736198,2453577
1.31935840670757,2224150
-1.09688631132734,1967281
-0.0135595565814735,1742294
1.04832277734847,2488660
-1.25760702376275,2085349
1.11054809413446,2247869
0.929383026554798,2157529
1.18152765672265,2119177
-0.259102368541456,2010554
-1.41392520739632,2493534
0.233698153192997,2200813
-0.258131837372273,2116787
0.635703552595309,2267382
1.67529938723164,1181124
1.14684834691822,2137799
-0.827654947966524,1458656
-0.0126837500421835,2269346
-0.302920807217109,2092954
-0.104672649369197,2007309
0.871405157167593,1671370
-0.27094848227626,1154608
