"letd_ctv_wavelet.HLL_glcm_MaximumProbability_465","letd_ctv_original_shape_Sphericity_426","sub"
-0.846263633640387,-0.189121296947248,1916742
2.34946650444633,1.03764967139655,1980052
0.677190287829507,1.56168235854584,1926770
0.111122746752135,-0.26905589386865,1979045
-0.700495704470203,-1.24596929320772,2196212
-0.368391889035399,-0.0812628250430405,2393207
-0.843237015366689,0.181596337199893,2146138
0.8506173755149,1.18817350833874,2228399
0.312362214316881,-0.855622942957469,2144796
-1.07353922196719,0.753286258832974,2234271
1.56590519361096,-2.3295175933097,2296332
-0.466307255917629,0.760065250371955,1684230
-0.0923459825698872,0.1691916361502,1720713
0.0625957375121885,0.503218184305781,2186951
-0.0305411801639917,1.21248677247374,2439458
1.71247667719234,0.67600649973761,2135748
-0.365686543192648,0.0977854847884858,2141116
-0.877976268511724,0.605953089290088,2108003
1.09108582229011,0.287082726471118,2006164
1.24183077474819,1.11047385456653,308862
-0.745582496537646,0.756874590891985,1085983
0.320027614482871,1.34218986917906,2004451
2.66443993336541,0.834808829692168,2359944
1.1673730471244,-0.0395742696621477,2069079
-0.75943131452262,0.150784668461731,2059713
-0.15796391041715,0.033137866001228,2294873
-1.02076389597813,0.412514399029335,2033049
-0.0699719945494944,0.461727633678112,1485662
-0.823848790033452,1.09113394106197,1526417
-0.127075134516403,0.608159630327693,1386095
1.30494801710567,0.942275573250235,983079
-0.410287847799125,0.641174768362378,2132424
-0.0955292470690915,0.540341175372911,2138375
0.0542906991278402,-1.07651189193899,2490180
0.573175828011409,-3.36466006253688,2034136
-0.0739978051672924,-1.65854281360406,2510402
-0.425888395741095,-1.05729250984182,1330263
5.04120373179172,0.452890578677829,1768972
0.348877341060135,0.832921798662276,2306459
0.294591917124727,0.685412741321877,2181724
-0.245345694406048,0.656355915920115,2217034
0.418301953526721,0.992917430247926,2218615
-1.05230870025869,-2.74264180818748,92173
-0.383269198524412,0.064585786602696,2414406
-0.207372530545933,0.117149638269412,2381907
-0.106704910887203,1.27596701440546,2002465
-0.011937321851008,-0.461388475074922,2474709
0.0906374315993567,0.643953822115087,2176530
-0.546302337078276,0.734811943696746,1279943
-0.391475212624429,1.08194167580406,1976407
-0.932891326392955,0.507001758253397,2250836
-0.206435775088282,1.00571782262499,1915938
-0.387431453883631,0.988883859779199,2133380
-0.961515975863401,-1.01667413547773,2271329
-0.499562199004857,-2.26795571217508,2286108
-0.667927225680173,0.773362028833832,2040495
-1.07647527051777,0.647871296591934,1125173
-0.71246879183438,1.0507280624428,1767700
-0.625118890001837,-0.3086280661033,2138678
-0.731321908763332,-1.93924296038509,2443354
-0.98005769066752,-0.899674792736628,2234422
-0.247795468374325,-0.166393524089412,2151024
-0.114890849808149,-0.0625823019575687,2057358
-0.815271122617424,0.0496365847848102,2425694
-1.02923852704264,-1.46983273672545,2500377
-0.86004012852624,-0.140750653084143,2183356
-0.488209974840246,-0.875096137953926,2131601
0.756781416236339,1.52830161401836,2152442
-0.798023898634263,-0.557017626606195,2306893
-0.722849667359717,0.105198561445718,2009915
-0.145927529383527,-1.51177505083909,58325
-0.737803193045417,0.405320887193298,2395943
-0.00695241727784602,-2.56588341150545,2480330
-0.856227026907153,0.981829023928035,2076301
-0.250449585762112,-0.0548578771396551,2205389
-0.812671051268503,1.13426711527018,1975401
0.294812998802209,0.742747833294498,2250648
0.5389716876058,0.881286225405275,2185290
0.576673133507213,-0.792401390776171,2091555
0.815847683264354,0.50028654513922,1232870
0.0312164264549896,-1.73513082655514,2139733
-0.435228168497899,-0.486223644467713,2559453
1.86884599045148,-1.04448654363905,1938156
-0.261575854275109,1.04987361907168,2158101
-0.0193145260465838,-0.720522768311496,2199403
-0.0582078574628207,-0.294803485140224,2430773
-0.100350892230861,-0.312243539638459,1738800
-0.709979588405615,-0.657427609604051,1565177
0.499945047091473,0.31486279943926,1978972
0.328093746724369,-0.517499792451909,2487135
0.181467104020132,0.986246868388634,1612262
-0.306410666441254,1.15573616517605,2051378
0.0524961512464821,0.558519451503541,1497807
0.396596777695517,0.802317519641497,2026671
-0.694445892327588,-0.925667697659892,2340322
-0.906871138865658,-1.48922020153953,2293123
-0.556846759980167,-0.313964690888149,2395415
0.309666546723247,0.472062491192796,1966316
2.36365820642998,1.03323310577209,1973544
-0.824332279297329,-0.106677104261482,2010259
0.00185038558526979,-1.22620133376386,2145694
-1.04666584954469,0.24559158447247,965005
-1.03498637953771,0.683680108758475,2096627
1.24042198716789,1.58636833616309,2047354
1.97489504906617,0.137433801184106,1364384
-0.784598691578908,-1.11089922431225,2244172
-1.02483682738575,0.0759187764794777,2132982
2.4481400727931,-1.33633647993251,2134220
0.0673660967884176,-0.18129187759405,1889409
-0.163228913819694,0.724120523787849,1938561
0.0278711406553884,0.756069156634846,2055667
1.88031805151414,1.56618520154103,2176784
1.61788242794586,-0.259428672405505,923666
-0.47948338097706,0.0095698656804175,2086044
0.86522797616395,0.482923873652441,2078198
0.00859493589198074,-0.95544957602426,1501387
0.198595181306813,0.691061092737989,1518948
1.82215072842785,-0.12802766168926,1606693
-0.651144234638543,1.05588656468627,2305115
1.1329935808217,-0.270054143165651,2237571
-0.621211442402135,0.448574932750356,2285214
-0.563534465806089,-0.258059209725093,2426863
1.05033919887846,-2.37307588528159,1979422
-0.536731219063073,-0.207177786725797,2480056
-0.891375792795161,0.00610342553951187,1668599
