"mkm7d_ptv4_wavelet.HHH_firstorder_Median_245","mkm7d_ptv4_lbp.3D.m2_firstorder_Maximum_236","mkm7d_ptv4_wavelet.HHH_glszm_SmallAreaEmphasis_234","sub"
0.00126167935998685,-0.545218305295005,-0.0311177791489089,1085983
-1.03218492381544,-0.320233303886258,-2.32777160354765,1125173
0.750407624572165,1.67975972212191,1.71289050050638,1154608
-0.2283069225306,-0.545218305295005,0.276192250922912,1181124
0.336742293193286,-0.545218305295005,0.681500819691289,1183075
-0.769023563169022,-0.545218305295005,-0.156837547274705,1232870
-0.456062370612852,-0.320233303886258,-0.329782524007105,1279943
-0.308950030548345,-0.545218305295005,1.20948932976338,1329352
0.418125756106567,-0.545218305295005,-0.620356967948968,1330263
0.299675789827356,0.442210958301091,0.693954466735601,1364384
0.643056044772144,-0.545218305295005,0.739661453558912,1386095
0.531962348209539,-0.320233303886258,-0.690763538385454,1458656
0.0266095386141094,-0.451436459621896,-1.15361816163575,1485662
0.146350198124418,1.04380156235272,-0.0765423715125482,1497807
0.691836864150436,-0.404181622657384,-2.82516817773064,1501387
-0.155668099673075,-0.545218305295005,-0.543746984585234,1518948
-0.239063639043824,-0.545218305295005,0.957088012324273,1526417
0.401079121620614,2.72175383562225,0.261545954921934,1565177
-0.204314605531087,-0.154148035744081,-0.29289151849302,1606693
-0.557927299709613,0.457100980918785,-0.800748089104921,1612262
-1.2395470270184,-0.545218305295005,0.883688818643244,1614566
-0.798397704403167,-0.545218305295005,-1.25350523071546,1644034
-0.4370982781206,-0.320233303886258,0.0501402563868842,1668599
0.354809339596202,-0.451436459621896,0.0803450142686444,1671370
-1.90724518756226,-0.545218305295005,0.623593710320655,1684230
0.937118596095121,-0.545218305295005,-4.25149341182708,1692385
0.740716919952054,4.41348445433221,0.711435530333757,1720713
-0.0380096958031685,-0.545218305295005,-0.468715472360545,1738800
0.391163855609847,1.13788962608723,0.561814495616139,1740845
-1.47504153672577,-0.545218305295005,-0.390516820801884,1742294
0.137647899475714,-0.320233303886258,0.181627592225667,1767700
-0.213032269932386,3.03428025504297,0.61128395943068,1768972
