"mkm7d_ptv2_log.sigma.4.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis_250","mkm7d_ptv2_wavelet.LLL_glszm_LowGrayLevelZoneEmphasis_236","sub"
-0.0913168702778971,-0.454893901942849,1085983
-0.60785569186726,-0.797665150690631,1125173
0.476055601482908,2.68778369937609,1154608
-0.419565224213837,-0.608687370846705,1181124
0.695337363546929,0.904438731573081,1183075
0.979856733381071,1.58532584977205,1232870
-0.202844365269172,-0.742520845421406,1279943
-0.516548879626922,-0.401423462560059,1329352
-0.641834885214976,-0.479534569531597,1330263
1.99064963828018,2.9740215529828,1364384
0.194217279424636,2.94815334484393,1386095
-0.601238532395168,-0.750835231496708,1458656
-0.357737593013745,-0.542506657457037,1485662
-0.444429462615774,-0.486267374823237,1497807
-0.485944212395534,-0.390465541562865,1501387
3.06384750060529,1.03775482759028,1518948
0.130853818505492,-0.249081865377498,1526417
-0.798748378166491,0.538508934396677,1565177
-0.728225331682163,-0.799896701299646,1606693
0.0753978084482548,-0.425960136724818,1612262
-0.245979568013519,0.0194086338997268,1614566
0.0807552425816849,0.0685595240635202,1644034
-0.491273651159497,-0.560102267194552,1668599
0.0559520803471458,0.23602276503144,1671370
0.650106257751363,0.190135276611397,1684230
1.18225108770789,0.730350266078384,1692385
-0.610676920732941,-0.7169558542133,1720713
-0.499731927050116,-0.607135185587272,1738800
-0.696700014211421,-0.816270307632297,1740845
0.790917083687561,0.679430529468398,1742294
-0.406776102378639,0.903298150505043,1767700
-0.416456915599049,-0.828207666801642,1768972
-0.751522241334725,-0.292619850199012,1889409
1.12899792653889,0.65106253884929,1915938
-0.505940239445922,-0.615448941887597,1916742
0.991108555325233,1.41328698281973,1919296
0.820907184877041,1.55517173147307,1926770
-0.801851784191216,-0.859621108208902,1938156
-0.0401926889503217,0.717166121803521,1938561
0.164352968220959,0.25948503097773,1966316
0.310021410967062,-0.0158523782239759,1967281
3.17767740037021,6.04157186155897,1973544
1.22519419593462,0.313399758904361,1975401
0.557128040723226,-0.257066110104662,1976407
0.124059112241015,0.245679774692507,1978972
-0.318663059486344,0.298264770668061,1979045
-0.0720343099770561,-0.270888546923488,1979422
3.02773639046833,4.13001265156945,1980052
-0.663474061899169,-0.749998600426769,2001182
1.07750736656779,1.38492526714917,2002465
1.82588058974228,0.311085140315429,2004451
0.679675094249886,0.515598676763703,2006164
-0.32504034695055,-0.693485526822361,2007309
0.126603840802872,-0.233606698445842,2009915
