"lemd_prg_original_glszm_LargeAreaLowGrayLevelEmphasis_249","lemd_prg_wavelet.LHL_glcm_Correlation_249","lemd_prg_logarithm_firstorder_RootMeanSquared_249","lemd_prg_logarithm_glszm_LargeAreaHighGrayLevelEmphasis_244","lemd_prg_log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis_242","lemd_prg_wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis_239","lemd_prg_wavelet.LLH_gldm_LowGrayLevelEmphasis_229","lemd_prg_wavelet.HHL_glcm_ClusterShade_227","sub"
-0.205585742001935,-0.660249300257623,1.05270342297618,-0.272196716691774,-0.172495936443975,-0.920221513329851,-0.909730665692645,-0.243322815587151,1916742
-0.22646042492522,-0.0294391281798718,-1.7002299132776,-0.309578010236609,0.374942988291838,2.37098424747458,1.70375261476503,-0.195859909752309,1980052
-0.0755488163692896,-0.950264423790998,0.64583800155777,-0.308223571053126,-0.194794234896654,-0.206933237931629,5.00611965745673,-0.142242642157704,1926770
-0.236924010203106,0.991779489791663,0.826973534325942,-0.132915583585494,-0.26237340903905,0.535931281116347,-0.811407236783735,0.57903901164044,2196212
-0.236435714001025,-1.09620760480941,0.613094283281259,1.11804567831323,-0.217077219320143,-1.02948685560636,-0.86350149546236,4.56969379114343,2393207
-0.219157302782294,0.331737188811208,0.665492272570716,-0.306436478269162,-0.176334307144712,-0.303666000055209,-0.0126420635459648,-0.610167675718395,2146138
8.95565885084526,1.06539967472474,-0.0717528080622822,-0.306091290924031,0.481016077040784,0.672257880580848,2.53696031910774,-0.216004956113024,2228399
-0.231003203652151,-0.48799122770076,0.801358618560587,-0.306537187260709,-0.145707126884961,-0.677242625175749,-0.287287698280072,0.101493445278265,2234271
-0.235700286288111,0.948070000685654,-1.28371211785994,-0.302296402096018,-0.267960002416948,1.3074374301395,-0.130720945154955,-0.138279911049332,2296332
-0.204915143777734,-2.88138698580279,0.866207833826562,-0.309565362039467,0.0433204312373464,0.506471865053152,-0.453818259069087,-0.165659094774954,1684230
