"letd_prg_gradient_firstorder_InterquartileRange_250","sub"
-0.196677280261182,1916742
0.512881011327921,1980052
-0.372269832124839,1926770
-0.378693684193946,2196212
-1.03488608365373,2393207
-0.335020168183816,2146138
-2.39762550610724,2228399
0.0829213644219012,2234271
-0.320080652225396,2296332
-0.863487049871047,1684230
0.144531731071812,1720713
2.21353972517561,2186951
-0.0890441941641936,2439458
0.254872399058541,2135748
-2.14472551150917,2141116
0.891144634499495,2108003
-0.753611738302314,2006164
0.333896754167866,308862
-0.782872685395175,1085983
1.16704523202104,2004451
0.449960085176438,2359944
-1.05506366198297,2069079
1.40106690634328,2059713
-1.76041034863529,2294873
0.889547431239234,2033049
-0.72505048247443,1485662
0.37672152688174,1526417
1.21882510886992,1386095
0.386632851538961,2132424
0.70060505507231,2138375
-0.0587622588120129,2490180
0.0427841123925842,2034136
0.286998285956016,2510402
0.711200276199476,1330263
1.28191315121481,1768972
-0.20647940297344,2306459
2.99187835799962,2181724
-1.41013601000713,2217034
2.14706224690142,2218615
-0.743891176643711,92173
0.130090205030318,2414406
-0.423426086894004,2381907
-0.746057559866898,2002465
-0.979239659135973,2474709
-0.431511478780723,2176530
-0.855022492128878,1279943
0.317046703433371,1976407
-0.0993901026215027,2250836
0.473441135809137,1915938
-0.184710907530812,2133380
0.563978671038504,2271329
-1.77238350677329,2286108
0.192407978793355,2040495
0.855050645755314,1125173
0.913273709681006,1767700
0.965277346126166,2138678
-0.31265201517808,2443354
-0.872524123545782,2234422
-0.0768852429415239,2151024
-0.899444400022001,2057358
-1.31997033327115,2425694
-0.545930244837607,2500377
-0.383012562113654,2183356
4.2528091611862,2131601
1.99939189708964,2152442
0.617062026963591,2306893
-0.396497595308875,2009915
-0.804391732005919,58325
0.025422410151207,2395943
-0.585007293944077,2480330
0.970719787698217,2076301
-0.15672116911397,2205389
0.561250392520791,1975401
0.077904338406845,2250648
-0.462104635137312,2185290
-0.527043845614886,2091555
0.0328903072493932,1232870
-0.0402481719560933,2139733
0.0561073397134122,2559453
0.545374263371914,1938156
-0.950119685127506,2158101
1.70326549718793,2199403
-1.26175916082907,2430773
-0.593734735171376,1738800
0.53383575711501,1565177
-0.451233912843927,1978972
0.411275908902716,2487135
0.316549757425312,1612262
0.553591187775881,2051378
-0.36236785726008,1497807
-0.748489867527132,2026671
0.0821843647617619,2340322
0.247468452725298,2293123
0.473733793390648,2395415
-0.3643645825987,1966316
1.70303125311563,1973544
1.16863664839519,2010259
0.449799187048885,2145694
0.316152935893806,965005
1.08105382913301,2096627
0.680072366178904,2047354
1.82409908323285,1364384
-0.932330797222794,2132982
-0.348834078059501,2134220
0.386000696638947,1889409
1.07346561019106,1938561
-0.487715532182851,2055667
1.02020383662439,2176784
1.72726927383897,923666
0.972896973108811,2086044
2.0258129581907,2078198
-0.00895877377252237,1501387
-2.19365165922691,1518948
1.07871983045565,1606693
0.166475467042079,2305115
0.932800660462019,2237571
0.0467445664721568,2285214
-1.45352369923073,2426863
-0.391213873271958,2480056
0.035415341249426,1668599
-0.182182651029494,2339674
-0.149777722753122,2133204
0.50615047698861,2294852
0.0492999192166762,2445526
0.169910290313419,2200416
-1.80567425980437,2168082
-0.240699643382275,2075846
-0.599151669057197,215131
0.580076698902643,2274521
0.676470608263519,277752
1.39900141918146,2078899
-0.375036735270634,2172217
1.84561871987904,1614566
-0.12919429081131,2100050
-0.107528098437653,2183291
0.457721229891582,2336735
-0.462110626266462,2352038
-1.41366723599298,2305114
-0.206503639814093,2448298
0.337600951314249,1329352
0.797953914109829,1183075
1.61229705453318,2110540
-0.818821638887849,2070958
-1.09797013191252,2340155
0.0247543084762931,2075832
-0.388626794775349,2498991
-0.4741410859238,1919296
0.0393780193087588,2401405
-1.57408362229679,1644034
-0.954129475247883,2405144
-0.766969732327149,2158329
-0.814385616238321,2319068
-1.302252113458,2504802
-1.98022517216808,2331869
0.876923713634015,2317120
0.410552797769243,2072215
-1.52774759402757,2228400
-0.247605872122645,2145166
-0.540003520325927,1692385
-0.822311743941802,2109902
-1.02473983411408,2219842
-0.185889979902478,2520618
-0.936592260154814,2419459
-1.29233357221339,2276121
-1.025116276729,2350037
-0.197537960428396,2001182
0.548170668290038,2278618
-0.0420370232681435,1740845
-0.52775542836348,2321962
0.637885376395458,2212664
-0.579845300758526,2453577
0.342989563498634,2224150
-1.15417382221591,1967281
1.04521725469924,1742294
-0.804058588915303,2488660
-0.821009127225088,2085349
0.786250061765852,2247869
-2.39903605392334,2157529
-0.0953999652202322,2119177
3.11437743256091,2010554
-0.0437643747317218,2493534
-1.14962773526192,2200813
-0.198613685822223,2116787
1.04988597825144,1154608
0.18691066392477,2267382
1.19946259642914,1181124
-0.315960752413217,2137799
-0.27407504380627,1458656
0.759016022594072,2269346
-0.689907971275225,2092954
-0.120003989469828,2007309
-0.590417011242513,1671370
