"letd_prc_wavelet.LHL_glcm_Correlation_237","letd_prc_gradient_glcm_Imc2_236","sub"
0.111525630952803,0.100861224892103,1916742
1.2409819632572,0.525242652362411,1980052
-2.37695818635467,0.246752496110064,1926770
-0.0106728926775877,0.41909346382204,1979045
0.677788046584372,-0.098287937393972,2196212
-0.127537621282304,-0.321578756876572,2393207
0.0872120421568102,0.31208235639656,2146138
0.452100401193594,-5.82518443465729,2228399
-0.332928760561549,0.483778250083065,2144796
-0.578309362010139,0.334738230523624,2234271
0.592678545406457,-0.581763431035843,2296332
0.0618752443097841,0.452966320653569,1684230
0.451530578841148,0.270163146791234,1720713
-0.0518375019211477,0.457098728908494,2186951
1.87294016410194,0.451837057454617,2439458
0.485611211991946,0.414235568490568,2135748
-0.195284865904485,-1.51930808588071,2141116
0.515950214472168,0.369887860202699,2108003
0.569308903406171,0.392236262093377,2006164
-2.57804650774293,0.516765078683389,308862
-1.01630976115057,-0.22786388946644,1085983
-1.80903904924326,0.492267196759605,2004451
-1.10595837631275,0.447678469331427,2359944
-0.369815824496258,0.361419368859012,2069079
-0.232104876322911,0.393931978339754,2059713
-0.654050729260906,-0.40631628127831,2294873
-0.193678464503937,0.503919716997767,2033049
-1.09329853388516,0.0844883621174262,1485662
-0.920057507540051,0.490817749068172,1526417
1.34708271023067,0.496075782030462,1386095
-0.78083337509991,0.443440519691645,983079
0.124030932133022,0.495268962003608,2132424
-0.157261652519326,0.408111173855553,2138375
-0.326798997665723,0.281380541186632,2490180
-0.36122774154293,-0.479890494051913,2034136
0.476076654133709,0.191664726639102,2510402
-1.04524181367798,0.340668020525618,1330263
-0.0441947106924924,0.326686318966051,1768972
1.33309779469744,0.474732873458105,2306459
0.400051227304734,0.518966166284216,2181724
0.619137074257792,-0.446387394349168,2217034
-0.16472375940131,0.518693941959829,2218615
-0.994999066738698,-0.389359540159599,92173
-0.0851393181723396,0.305292550470161,2414406
-0.147418756865409,0.107610037539981,2381907
0.0423812748716329,0.500343683541238,2002465
1.89252725918214,0.323808557921231,2474709
0.136322987176493,0.28437222212088,2176530
-0.788247319616407,0.293865630213832,1279943
-0.344072945176737,0.477206852067601,1976407
